model,family,ab,metric,n,delta_lowfull,mean_rho,rho_pos
boltz,C,C,mean_overrep,9,,,
boltz,C,C,mean_recall,9,0.048,-0.13,4/9
boltz,C,C,mean_true_rank,9,0.049,-0.097,3/9
boltz,C,C,mean_dcc_true,9,-1.043,0.088,6/9
boltz,C,C,mean_pop_rank,9,,,
boltz,C,C,mean_dcc_pop,9,,,
boltz,Env,A,mean_overrep,6,-0.001,0.137,4/6
boltz,Env,A,mean_recall,6,0.0,0.21,6/6
boltz,Env,A,mean_true_rank,6,-0.011,0.158,5/6
boltz,Env,A,mean_dcc_true,6,-0.413,-0.114,1/6
boltz,Env,A,mean_pop_rank,6,-0.01,0.134,4/6
boltz,Env,A,mean_dcc_pop,6,-0.275,0.017,2/6
boltz,Env,B,mean_overrep,4,-0.017,-0.218,1/2
boltz,Env,B,mean_recall,4,0.048,-0.384,0/3
boltz,Env,B,mean_true_rank,4,0.054,-0.185,1/4
boltz,Env,B,mean_dcc_true,4,-0.314,0.127,2/4
boltz,Env,B,mean_pop_rank,4,0.008,-0.022,1/2
boltz,Env,B,mean_dcc_pop,4,-0.983,0.345,2/2
boltz,HA,A,mean_overrep,7,-0.003,-0.397,0/4
boltz,HA,A,mean_recall,7,0.015,-0.113,3/7
boltz,HA,A,mean_true_rank,7,0.001,-0.11,3/7
boltz,HA,A,mean_dcc_true,7,0.646,0.052,4/7
boltz,HA,A,mean_pop_rank,7,-0.003,-0.009,3/7
boltz,HA,A,mean_dcc_pop,7,0.301,-0.035,3/7
boltz,HA,B,mean_overrep,7,-0.014,0.077,5/7
boltz,HA,B,mean_recall,7,-0.01,0.155,4/6
boltz,HA,B,mean_true_rank,7,-0.002,0.085,4/7
boltz,HA,B,mean_dcc_true,7,0.871,-0.028,3/7
boltz,HA,B,mean_pop_rank,7,-0.002,0.015,3/7
boltz,HA,B,mean_dcc_pop,7,1.248,-0.187,2/7
boltz,RBD,A,mean_overrep,7,0.023,-0.236,1/7
boltz,RBD,A,mean_recall,7,0.021,-0.04,4/7
boltz,RBD,A,mean_true_rank,7,0.008,0.032,5/7
boltz,RBD,A,mean_dcc_true,7,-0.003,-0.17,1/7
boltz,RBD,A,mean_pop_rank,7,0.003,-0.26,0/7
boltz,RBD,A,mean_dcc_pop,7,-0.029,0.132,5/7
boltz,RBD,B,mean_overrep,7,0.074,0.058,5/7
boltz,RBD,B,mean_recall,7,-0.053,-0.026,3/7
boltz,RBD,B,mean_true_rank,7,-0.063,0.008,2/7
boltz,RBD,B,mean_dcc_true,7,1.446,-0.065,4/7
boltz,RBD,B,mean_pop_rank,7,0.03,0.029,5/7
boltz,RBD,B,mean_dcc_pop,7,-1.047,-0.122,2/7
protenix,C,C,mean_overrep,9,,,
protenix,C,C,mean_recall,9,0.006,-0.212,3/9
protenix,C,C,mean_true_rank,9,0.024,-0.133,3/9
protenix,C,C,mean_dcc_true,9,-5.231,0.373,7/9
protenix,C,C,mean_pop_rank,9,,,
protenix,C,C,mean_dcc_pop,9,,,
protenix,Env,A,mean_overrep,6,0.069,-0.271,1/6
protenix,Env,A,mean_recall,6,-0.069,0.307,5/6
protenix,Env,A,mean_true_rank,6,-0.118,0.298,5/6
protenix,Env,A,mean_dcc_true,6,-20.768,0.602,5/6
protenix,Env,A,mean_pop_rank,6,0.12,-0.245,2/6
protenix,Env,A,mean_dcc_pop,6,-11.406,0.511,5/6
protenix,Env,B,mean_overrep,5,-0.022,0.473,1/1
protenix,Env,B,mean_recall,5,0.01,0.027,3/5
protenix,Env,B,mean_true_rank,5,0.102,-0.086,2/5
protenix,Env,B,mean_dcc_true,5,-4.917,-0.195,1/5
protenix,Env,B,mean_pop_rank,5,-0.086,0.546,1/1
protenix,Env,B,mean_dcc_pop,5,0.607,-0.385,0/1
protenix,HA,A,mean_overrep,7,-0.082,-0.059,3/7
protenix,HA,A,mean_recall,7,-0.144,0.274,4/7
protenix,HA,A,mean_true_rank,7,-0.065,0.213,4/7
protenix,HA,A,mean_dcc_true,7,-6.207,0.045,4/7
protenix,HA,A,mean_pop_rank,7,-0.042,-0.007,3/7
protenix,HA,A,mean_dcc_pop,7,-5.29,0.44,6/7
protenix,HA,B,mean_overrep,3,-0.013,-0.022,1/3
protenix,HA,B,mean_recall,3,-0.099,-0.019,1/3
protenix,HA,B,mean_true_rank,3,-0.071,-0.085,2/3
protenix,HA,B,mean_dcc_true,3,-28.108,0.449,2/3
protenix,HA,B,mean_pop_rank,3,-0.004,0.033,1/3
protenix,HA,B,mean_dcc_pop,3,-18.799,0.36,3/3
protenix,RBD,A,mean_overrep,7,-0.457,0.749,7/7
protenix,RBD,A,mean_recall,7,-0.201,0.37,5/7
protenix,RBD,A,mean_true_rank,7,-0.244,0.422,5/7
protenix,RBD,A,mean_dcc_true,7,0.405,0.15,5/7
protenix,RBD,A,mean_pop_rank,7,-0.244,0.725,7/7
protenix,RBD,A,mean_dcc_pop,7,6.318,-0.476,1/7
protenix,RBD,B,mean_overrep,7,-0.219,0.384,5/7
protenix,RBD,B,mean_recall,7,0.024,-0.297,2/7
protenix,RBD,B,mean_true_rank,7,0.124,-0.186,3/7
protenix,RBD,B,mean_dcc_true,7,-9.58,0.627,7/7
protenix,RBD,B,mean_pop_rank,7,-0.117,0.391,6/7
protenix,RBD,B,mean_dcc_pop,7,-0.351,-0.086,3/7
