model,family,ab,n,mean_full,mean_best,delta_lowfull,mean_spearman,spearman_pos
boltz,C,C,9,0.109,0.211,0.076,-0.05,5/9
boltz,Env,A,6,0.239,0.335,0.009,0.023,3/6
boltz,Env,B,4,0.022,0.039,-0.003,0.099,2/3
boltz,HA,A,7,0.171,0.314,0.033,0.113,4/7
boltz,HA,B,7,0.145,0.251,-0.023,0.151,5/7
boltz,RBD,A,7,0.551,0.665,-0.017,-0.115,3/7
boltz,RBD,B,7,0.292,0.449,-0.116,-0.022,4/7
protenix,C,C,9,0.034,0.061,-0.011,0.003,4/9
protenix,Env,A,6,0.014,0.157,0.021,-0.243,2/6
protenix,Env,B,5,0.023,0.04,-0.007,-0.049,2/5
protenix,HA,A,7,0.11,0.197,-0.089,0.312,5/7
protenix,HA,B,3,0.037,0.081,-0.003,-0.075,1/3
protenix,RBD,A,7,0.059,0.143,-0.02,0.289,5/7
protenix,RBD,B,7,0.025,0.065,0.019,-0.116,2/7
