decoy,ag_target,ag_group,ab_target,ab_group
decoy_9b7g_QP_x_8q7s_O,9b7g_QP,HA,8q7s_O,RBD
decoy_9b7g_QP_x_8q7s_H,9b7g_QP,HA,8q7s_H,RBD
decoy_8k3k_D_x_8t4d_OQ,8k3k_D,RBD,8t4d_OQ,Env
decoy_8k3k_D_x_9azr_HL,8k3k_D,RBD,9azr_HL,HA
decoy_8k5h_HL_x_8u44_ST,8k5h_HL,RBD,8u44_ST,HA
decoy_8k5h_HL_x_9azv_HL,8k5h_HL,RBD,9azv_HL,HA
decoy_8q7s_O_x_8ume_HL,8q7s_O,RBD,8ume_HL,HA
decoy_8q7s_O_x_8ulr_HL,8q7s_O,RBD,8ulr_HL,Env
decoy_8t4a_PR_x_8k3k_D,8t4a_PR,Env,8k3k_D,RBD
decoy_8t4a_PR_x_8k5h_HL,8t4a_PR,Env,8k5h_HL,RBD
decoy_8q7s_C_x_8tp5_HL,8q7s_C,RBD,8tp5_HL,HA
decoy_8q7s_C_x_9azv_HL,8q7s_C,RBD,9azv_HL,HA
decoy_9bdg_FI_x_8k5h_HL,9bdg_FI,HA,8k5h_HL,RBD
decoy_9bdg_FI_x_8k5g_HL,9bdg_FI,HA,8k5g_HL,RBD
decoy_8ulr_HL_x_8k3k_D,8ulr_HL,Env,8k3k_D,RBD
decoy_8ulr_HL_x_8k46_I,8ulr_HL,Env,8k46_I,RBD
decoy_8tp5_HL_x_8k5h_HL,8tp5_HL,HA,8k5h_HL,RBD
decoy_8tp5_HL_x_8q7s_H,8tp5_HL,HA,8q7s_H,RBD
decoy_8ume_HL_x_8q7s_O,8ume_HL,HA,8q7s_O,RBD
decoy_8ume_HL_x_8ulr_HL,8ume_HL,HA,8ulr_HL,Env
decoy_8q7s_H_x_9bdg_FI,8q7s_H,RBD,9bdg_FI,HA
decoy_8q7s_H_x_9b7g_QP,8q7s_H,RBD,9b7g_QP,HA
decoy_8u44_ST_x_8ulr_HL,8u44_ST,HA,8ulr_HL,Env
decoy_8u44_ST_x_8k5g_HL,8u44_ST,HA,8k5g_HL,RBD
