run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seed0_r3,0.121,0.595,37,0.55,0.062,nan,0.111,0
seed0_r2,0.119,0.567,30,0.447,0.107,nan,0.062,0
seed0_r1,0.107,0.621,29,0.5,0.07,nan,0.041,0
seed3_r2,0.103,0.655,29,0.543,0.089,nan,0.085,0
seed3_r1,0.101,0.69,29,0.588,0.173,nan,0.097,0
seed5_r0,0.067,0.595,37,0.55,0.078,nan,0.1,0
seed3_r0,0.044,0.303,33,0.208,0.477,nan,0.277,0
seed0_r0,0.035,0.265,34,0.18,0.737,nan,0.274,0
seedfull_r5,0.035,0.179,39,0.123,0.775,nan,0.287,0
seedfull_r4,0.03,0.263,38,0.189,0.707,nan,0.276,0
seedfull_r0,0.028,0.122,41,0.082,0.698,nan,0.407,0
seedfull_r1,0.028,0.1,40,0.066,0.714,nan,0.395,0
seedfull_r2,0.028,0.098,41,0.065,0.738,nan,0.407,0
seedfull_r3,0.028,0.1,40,0.066,0.714,nan,0.412,0
seedfull_r6,0.028,0.122,41,0.082,0.698,nan,0.407,0
seedfull_r7,0.028,0.122,41,0.082,0.698,nan,0.407,0
seed2_r1,0.025,0.108,37,0.069,0.865,nan,0.31,0
seed2_r3,0.023,0.097,31,0.057,0.75,nan,0.3,0
seed2_r0,0.022,0.111,27,0.061,0.788,nan,0.266,0
seed2_r2,0.022,0.1,30,0.058,0.676,nan,0.304,0
seed4_r0,0.021,0.094,32,0.056,0.829,nan,0.312,0
seed4_r2,0.021,0.086,35,0.053,0.634,nan,0.333,0
seed5_r3,0.021,0.108,37,0.069,0.683,nan,0.429,0
seed1_r1,0.02,0.094,32,0.056,0.829,nan,0.296,0
seed1_r2,0.02,0.094,32,0.056,0.829,nan,0.296,0
seed1_r3,0.02,0.121,33,0.074,0.857,nan,0.309,0
seed4_r1,0.02,0.088,34,0.054,0.833,nan,0.338,0
seed4_r3,0.02,0.069,29,0.038,0.848,nan,0.291,0
seed1_r0,0.019,0.091,33,0.055,0.806,nan,0.309,0
seed5_r2,0.019,0.111,27,0.061,0.686,nan,0.316,0
seed3_r3,0.017,0.053,38,0.033,0.458,nan,0.337,0
seed5_r1,0.016,0.118,34,0.073,0.65,nan,0.372,0
