run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seedfull_r1,0.51,0.6,31,0.438,0.409,1.0,0.284,1
seedfull_r0,0.434,0.5,22,0.321,0.656,0.395,0.284,0
seedfull_r4,0.374,0.452,55,0.186,0.303,0.387,0.293,0
seedfull_r3,0.268,0.346,50,0.083,0.373,0.141,0.398,0
seed4_r0,0.172,0.371,35,0.351,0.571,0.5,0.385,0
seedfull_r2,0.084,0.277,47,0.265,0.66,0.444,0.519,0
seed1_r0,0.079,0.214,28,0.162,0.686,0.283,0.365,0
seed0_r0,0.053,0.273,33,0.231,0.73,0.333,0.432,0
seed3_r0,0.051,0.242,33,0.2,0.6,0.422,0.293,0
seed2_r0,0.029,0.231,52,0.218,0.407,0.361,0.25,0
