run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seedfull_r7,0.588,0.545,22,0.48,0.588,1.0,0.292,1
seedfull_r2,0.433,0.571,21,0.5,0.472,0.593,0.227,0
seedfull_r6,0.425,0.542,24,0.5,0.474,0.533,0.234,0
seed5_r0,0.212,0.342,38,0.325,0.707,0.5,0.362,0
seed5_r2,0.18,0.429,35,0.429,0.489,0.462,0.359,0
seed5_r1,0.161,0.333,42,0.326,0.721,0.488,0.487,0
seed0_r1,0.15,0.342,38,0.325,0.795,0.538,0.453,0
seed1_r1,0.113,0.325,40,0.31,0.756,0.476,0.461,0
seed5_r3,0.11,0.309,42,0.295,0.682,0.455,0.487,0
seed0_r3,0.103,0.292,48,0.286,0.509,0.4,0.566,0
seed0_r2,0.098,0.355,31,0.314,0.703,0.559,0.417,0
seed4_r2,0.089,0.306,36,0.275,0.744,0.487,0.446,0
seed2_r3,0.086,0.294,34,0.256,0.65,0.436,0.458,0
seed4_r0,0.085,0.273,44,0.255,0.617,0.375,0.456,0
seed4_r3,0.068,0.283,46,0.271,0.66,0.388,0.519,0
seed2_r0,0.063,0.262,42,0.239,0.682,0.422,0.507,0
seed3_r2,0.061,0.229,35,0.19,0.241,0.213,0.293,0
seedfull_r4,0.06,0.238,21,0.161,0.472,0.303,0.296,0
seedfull_r1,0.059,0.304,23,0.226,0.341,0.364,0.175,0
seed0_r0,0.057,0.283,53,0.283,0.574,0.389,0.55,0
seedfull_r5,0.053,0.28,25,0.212,0.39,0.424,0.231,0
seedfull_r0,0.048,0.312,32,0.27,0.641,0.5,0.321,0
seed2_r2,0.043,0.312,32,0.27,0.641,0.421,0.451,0
seed3_r3,0.043,0.173,52,0.155,0.312,0.233,0.295,0
seed1_r0,0.04,0.258,31,0.211,0.537,0.395,0.275,0
seed4_r1,0.04,0.206,34,0.167,0.535,0.302,0.438,0
seedfull_r3,0.039,0.25,24,0.182,0.6,0.394,0.319,0
seed3_r1,0.036,0.306,36,0.275,0.447,0.318,0.39,0
seed1_r2,0.034,0.424,33,0.412,0.477,0.486,0.3,0
seed1_r3,0.033,0.25,32,0.205,0.684,0.421,0.392,0
seed3_r0,0.027,0.229,48,0.212,0.311,0.207,0.322,0
seed2_r1,0.01,0.032,31,0.022,0.4,0.178,0.378,0
