run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seed4_r2,0.065,0.323,31,0.213,0.65,nan,0.0,0
seed4_r1,0.064,0.323,31,0.213,0.65,nan,0.0,0
seed4_r3,0.064,0.323,31,0.213,0.65,nan,0.0,0
seed0_r3,0.057,0.441,34,0.333,0.865,nan,0.0,0
seed5_r3,0.055,0.323,31,0.213,0.692,nan,0.0,0
seed3_r1,0.053,0.368,38,0.28,0.872,nan,0.0,0
seed1_r0,0.052,0.405,37,0.312,0.946,nan,0.0,0
seed1_r1,0.052,0.405,37,0.312,0.946,nan,0.0,0
seed1_r2,0.052,0.405,37,0.312,0.946,nan,0.0,0
seed3_r0,0.052,0.405,37,0.312,0.946,nan,0.0,0
seed3_r2,0.052,0.405,37,0.312,0.946,nan,0.0,0
seed3_r3,0.052,0.405,37,0.312,0.946,nan,0.0,0
seed5_r0,0.051,0.371,35,0.271,0.892,nan,0.0,0
seed5_r2,0.051,0.371,35,0.271,0.892,nan,0.0,0
seedfull_r3,0.051,0.371,35,0.271,0.842,nan,0.0,0
seedfull_r5,0.051,0.343,35,0.245,0.795,nan,0.0,0
seedfull_r0,0.05,0.387,31,0.267,0.784,nan,0.0,0
seedfull_r6,0.05,0.406,32,0.289,0.861,nan,0.0,0
seed5_r1,0.049,0.345,29,0.222,0.684,nan,0.0,0
seed1_r3,0.048,0.378,37,0.286,0.895,nan,0.0,0
seed2_r0,0.048,0.452,31,0.326,0.833,nan,0.0,0
seedfull_r1,0.046,0.371,35,0.271,0.795,nan,0.0,0
seedfull_r2,0.046,0.371,35,0.271,0.795,nan,0.0,0
seedfull_r4,0.046,0.371,35,0.271,0.795,nan,0.0,0
seed0_r1,0.045,0.412,34,0.304,0.643,nan,0.0,0
seed4_r0,0.045,0.353,34,0.25,0.683,nan,0.0,0
seed0_r2,0.043,0.412,34,0.304,0.769,nan,0.0,0
seed2_r3,0.043,0.46,37,0.37,0.6,nan,0.0,0
seed0_r0,0.042,0.467,30,0.333,0.667,nan,0.0,0
seed2_r2,0.042,0.452,31,0.326,0.692,nan,0.0,0
seed2_r1,0.04,0.5,26,0.333,0.649,nan,0.0,0
seedfull_r7,0.04,0.484,31,0.357,0.833,nan,0.01,0
