run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seed2_r2,0.2,0.441,59,0.433,0.538,nan,0.211,0
seed2_r0,0.186,0.51,51,0.5,0.673,nan,0.265,0
seed5_r0,0.186,0.472,53,0.455,0.593,nan,0.189,0
seed3_r3,0.061,0.214,42,0.15,0.431,nan,0.402,0
seed2_r3,0.049,0.55,40,0.489,0.558,nan,0.108,0
seed4_r3,0.047,0.491,55,0.491,0.455,nan,0.123,0
seed0_r0,0.043,0.22,50,0.167,0.444,nan,0.464,0
seedfull_r7,0.043,0.275,40,0.196,0.528,nan,0.345,0
seedfull_r2,0.038,0.057,35,0.033,0.267,nan,0.403,0
seed4_r2,0.036,0.39,59,0.365,0.408,nan,0.128,0
seed2_r1,0.035,0.41,61,0.397,0.437,nan,0.145,0
seed0_r3,0.033,0.303,66,0.274,0.176,nan,0.061,0
seed4_r0,0.033,0.41,61,0.397,0.457,nan,0.145,0
seed4_r1,0.033,0.429,49,0.382,0.5,nan,0.109,0
seed0_r1,0.032,0.049,61,0.035,0.244,nan,0.457,0
seed5_r1,0.031,0.111,54,0.08,0.203,nan,0.351,0
seedfull_r0,0.031,0.108,37,0.067,0.393,nan,0.429,0
seedfull_r1,0.031,0.154,39,0.1,0.429,nan,0.4,0
seed0_r2,0.029,0.268,56,0.221,0.47,nan,0.344,0
seed3_r1,0.029,0.164,61,0.128,0.2,nan,0.207,0
seed1_r2,0.027,0.511,45,0.469,0.433,nan,0.168,0
seedfull_r4,0.025,0.143,42,0.095,0.431,nan,0.438,0
seed3_r0,0.024,0.338,68,0.319,0.313,nan,0.119,0
seed1_r1,0.023,0.176,68,0.145,0.298,nan,0.382,0
seed1_r3,0.023,0.377,53,0.333,0.492,nan,0.248,0
seed3_r2,0.023,0.265,49,0.206,0.154,nan,0.13,0
seedfull_r5,0.022,0.333,63,0.304,0.444,nan,0.32,0
seed1_r0,0.021,0.31,58,0.269,0.5,nan,0.284,0
seedfull_r6,0.02,0.098,41,0.062,0.344,nan,0.443,0
seed5_r3,0.018,0.182,55,0.139,0.2,nan,0.153,0
seed5_r2,0.017,0.02,49,0.013,0.084,nan,0.22,0
seedfull_r3,0.017,0.276,58,0.232,0.478,nan,0.456,0
