run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seed2_r3,0.2,0.636,33,0.512,0.381,nan,0.01,0
seed4_r1,0.166,0.7,30,0.553,0.528,nan,0.0,0
seed0_r2,0.159,0.667,30,0.513,0.486,nan,0.0,0
seed4_r3,0.155,0.633,30,0.475,0.41,nan,0.0,0
seed1_r2,0.086,0.629,35,0.524,0.622,nan,0.069,0
seed4_r0,0.077,0.286,49,0.219,0.37,nan,0.312,0
seed3_r3,0.062,0.676,34,0.575,0.686,nan,0.039,0
seed0_r3,0.059,0.633,30,0.475,0.833,nan,0.04,0
seed3_r0,0.059,0.733,30,0.595,0.774,nan,0.03,0
seed5_r3,0.059,0.241,54,0.186,0.295,nan,0.257,0
seed3_r2,0.058,0.69,29,0.526,0.688,nan,0.03,0
seed3_r1,0.056,0.677,31,0.538,0.697,nan,0.03,0
seed2_r0,0.055,0.647,34,0.537,0.735,nan,0.049,0
seed5_r2,0.055,0.543,35,0.422,0.714,nan,0.091,0
seedfull_r7,0.05,0.105,38,0.063,0.016,nan,0.405,0
seed1_r3,0.049,0.415,41,0.321,0.435,nan,0.14,0
seed5_r1,0.049,0.514,35,0.391,0.667,nan,0.091,0
seed0_r1,0.048,0.156,32,0.089,0.056,nan,0.029,0
seed1_r0,0.047,0.432,37,0.32,0.476,nan,0.146,0
seedfull_r5,0.046,0.162,37,0.1,0.033,nan,0.341,0
seed2_r2,0.045,0.556,27,0.366,0.733,nan,0.042,0
seed0_r0,0.044,0.593,27,0.4,0.793,nan,0.053,0
seed2_r1,0.042,0.091,55,0.063,0.026,nan,0.333,0
seedfull_r0,0.041,0.14,43,0.091,0.03,nan,0.415,0
seed4_r2,0.039,0.71,31,0.579,0.75,nan,0.03,0
seed5_r0,0.037,0.457,35,0.333,0.579,nan,0.069,0
seedfull_r1,0.033,0.0,26,0.0,0.02,nan,0.338,0
seedfull_r4,0.032,0.143,35,0.085,0.017,nan,0.367,0
seedfull_r6,0.031,0.512,43,0.44,0.447,nan,0.0,0
seedfull_r2,0.03,0.035,29,0.018,0.059,nan,0.342,0
seedfull_r3,0.026,0.488,43,0.412,0.388,nan,0.0,0
seed1_r1,0.025,0.6,35,0.488,0.277,nan,0.0,0
