run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seed5_r2,0.119,0.341,44,0.278,0.509,nan,0.064,0
seed2_r3,0.085,0.284,81,0.277,0.379,nan,0.125,0
seedfull_r6,0.076,0.531,32,0.425,0.651,nan,0.072,0
seed1_r0,0.067,0.203,79,0.182,0.405,nan,0.18,0
seed2_r0,0.065,0.234,77,0.214,0.487,nan,0.274,0
seed2_r1,0.062,0.291,79,0.284,0.372,nan,0.144,0
seed1_r1,0.057,0.184,87,0.167,0.355,nan,0.161,0
seed5_r1,0.056,0.32,50,0.271,0.483,nan,0.07,0
seed4_r0,0.055,0.203,74,0.179,0.345,nan,0.159,0
seed3_r0,0.054,0.21,100,0.202,0.287,nan,0.075,0
seed3_r2,0.053,0.184,114,0.178,0.275,nan,0.155,0
seed2_r2,0.052,0.232,82,0.216,0.274,nan,0.116,0
seed3_r1,0.052,0.221,95,0.212,0.367,nan,0.219,0
seed4_r2,0.05,0.292,48,0.237,0.5,nan,0.071,0
seed5_r0,0.048,0.306,49,0.254,0.443,nan,0.061,0
seed4_r3,0.047,0.28,50,0.23,0.483,nan,0.07,0
seed1_r2,0.042,0.195,77,0.172,0.303,nan,0.155,0
seed0_r0,0.041,0.259,81,0.247,0.395,nan,0.177,0
seed1_r3,0.037,0.176,85,0.158,0.292,nan,0.146,0
seed0_r1,0.036,0.269,67,0.243,0.413,nan,0.168,0
seedfull_r4,0.034,0.221,77,0.2,0.318,nan,0.057,0
seed0_r2,0.033,0.319,47,0.263,0.365,nan,0.102,0
seed4_r1,0.032,0.194,93,0.18,0.32,nan,0.1,0
seed0_r3,0.029,0.293,58,0.258,0.448,nan,0.15,0
seed3_r3,0.019,0.184,87,0.167,0.299,nan,0.112,0
seedfull_r0,0.019,0.178,90,0.162,0.303,nan,0.052,0
seedfull_r5,0.019,0.176,85,0.158,0.319,nan,0.047,0
seedfull_r1,0.018,0.165,97,0.151,0.295,nan,0.056,0
seedfull_r2,0.018,0.163,92,0.147,0.248,nan,0.045,0
seedfull_r3,0.018,0.178,90,0.162,0.316,nan,0.052,0
seedfull_r7,0.016,0.236,55,0.194,0.382,nan,0.085,0
seed5_r3,0.014,0.34,47,0.286,0.433,nan,0.155,0
