run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seed3_r0,0.109,0.41,39,0.296,0.619,nan,0.004,0
seed3_r3,0.086,0.46,37,0.333,0.692,nan,0.011,0
seed2_r1,0.083,0.679,28,0.475,0.425,nan,0.011,0
seedfull_r6,0.083,0.488,41,0.385,0.667,nan,0.003,0
seedfull_r2,0.077,0.649,37,0.545,0.435,nan,0.033,0
seedfull_r1,0.065,0.615,39,0.522,0.478,nan,0.029,0
seed1_r1,0.061,0.433,30,0.271,0.735,nan,0.004,0
seedfull_r4,0.059,0.558,43,0.48,0.358,nan,0.04,0
seed1_r0,0.058,0.368,38,0.255,0.523,nan,0.0,0
seedfull_r3,0.057,0.577,26,0.357,0.571,nan,0.004,0
seedfull_r5,0.054,0.455,44,0.364,0.622,nan,0.01,0
seed0_r1,0.048,0.424,33,0.28,0.442,nan,0.018,0
seed0_r2,0.047,0.379,29,0.224,0.568,nan,0.0,0
seed5_r2,0.046,0.318,22,0.152,0.457,nan,0.0,0
seedfull_r0,0.046,0.379,29,0.224,0.568,nan,0.0,0
seed5_r1,0.044,0.29,31,0.17,0.395,nan,0.0,0
seed2_r3,0.041,0.395,43,0.298,0.5,nan,0.01,0
seed0_r0,0.04,0.393,56,0.338,0.328,nan,0.007,0
seed1_r2,0.04,0.457,46,0.375,0.389,nan,0.01,0
seed1_r3,0.038,0.375,24,0.196,0.559,nan,0.0,0
seed3_r1,0.038,0.486,35,0.347,0.641,nan,0.007,0
seed4_r1,0.035,0.12,25,0.057,0.35,nan,0.0,0
seed0_r3,0.033,0.5,38,0.38,0.675,nan,0.004,0
seed4_r2,0.033,0.087,23,0.038,0.368,nan,0.0,0
seed5_r3,0.033,0.368,57,0.313,0.246,nan,0.01,0
seedfull_r7,0.032,0.08,25,0.037,0.317,nan,0.0,0
seed2_r2,0.031,0.143,28,0.073,0.39,nan,0.0,0
seed5_r0,0.03,0.487,39,0.373,0.333,nan,0.056,0
seed4_r0,0.027,0.548,42,0.46,0.479,nan,0.007,0
seed2_r0,0.01,0.327,52,0.258,0.246,nan,0.108,0
seed3_r2,0.003,0.0,32,0.0,0.0,nan,0.13,0
seed4_r3,0.003,0.0,30,0.0,0.0,nan,0.122,0
