run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,success
seed7_r1,0.679,0.765,34,0.684,0.233,0.889,1
seed4_r1,0.676,0.758,33,0.658,0.235,0.861,1
seed4_r0,0.675,0.735,34,0.641,0.233,0.838,1
seed4_r2,0.661,0.622,45,0.596,0.245,0.717,1
seedfull_r3,0.658,0.703,37,0.634,0.225,0.775,1
seed3_r0,0.655,0.725,40,0.707,0.287,0.762,1
seed4_r3,0.654,0.634,41,0.578,0.242,0.786,1
seed7_r2,0.651,0.683,41,0.651,0.27,0.786,1
seed7_r3,0.647,0.781,32,0.676,0.238,0.886,1
seed3_r2,0.627,0.771,35,0.711,0.244,0.769,1
seed3_r1,0.62,0.684,38,0.619,0.279,0.8,1
seed3_r3,0.617,0.675,40,0.628,0.258,0.805,1
seed5_r2,0.609,0.628,43,0.587,0.237,0.711,1
seed1_r0,0.583,0.675,40,0.628,0.217,0.762,1
seed6_r1,0.551,0.684,38,0.619,0.294,0.714,1
seed6_r0,0.22,0.388,67,0.366,0.23,0.443,0
seed6_r3,0.211,0.404,57,0.359,0.217,0.422,0
seed6_r2,0.209,0.278,90,0.263,0.2,0.292,0
seed7_r0,0.18,0.558,43,0.49,0.307,0.453,0
seed2_r2,0.054,0.186,113,0.172,0.581,0.176,0
seedfull_r9,0.047,0.173,104,0.155,0.479,0.15,0
seed2_r0,0.045,0.15,113,0.135,0.555,0.148,0
seed2_r3,0.045,0.15,113,0.135,0.555,0.148,0
seed0_r0,0.044,0.179,106,0.162,0.534,0.176,0
seed2_r1,0.042,0.194,93,0.171,0.447,0.187,0
seedfull_r0,0.039,0.15,120,0.136,0.524,0.141,0
seedfull_r2,0.039,0.158,114,0.143,0.525,0.156,0
seedfull_r5,0.039,0.16,106,0.143,0.575,0.138,0
seedfull_r7,0.039,0.158,120,0.145,0.512,0.149,0
seedfull_r1,0.013,0.364,66,0.333,0.516,0.333,0
seedfull_r4,0.013,0.329,70,0.299,0.511,0.316,0
seedfull_r6,0.013,0.343,70,0.316,0.543,0.316,0
seedfull_r8,0.013,0.329,73,0.304,0.543,0.305,0
seed1_r1,0.012,0.286,84,0.267,0.545,0.283,0
seed1_r2,0.012,0.281,82,0.258,0.604,0.275,0
seed5_r0,0.012,0.317,79,0.298,0.573,0.299,0
seed5_r3,0.012,0.317,79,0.298,0.557,0.299,0
seed0_r1,0.011,0.013,74,0.01,0.339,0.009,0
seed0_r2,0.011,0.012,86,0.009,0.328,0.0,0
seed0_r3,0.011,0.012,81,0.009,0.33,0.0,0
seed1_r3,0.011,0.244,86,0.221,0.681,0.237,0
seed5_r1,0.01,0.267,90,0.25,0.558,0.253,0
