run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seed2_r0,0.325,0.593,27,0.485,0.607,nan,0.083,0
seed3_r0,0.232,0.633,30,0.576,0.548,nan,0.091,0
seed0_r0,0.145,0.625,24,0.484,0.75,nan,0.067,0
seedfull_r0,0.061,0.5,34,0.436,0.486,nan,0.102,0
seed4_r0,0.051,0.684,19,0.464,0.682,nan,0.06,0
seedfull_r2,0.033,0.458,24,0.314,0.448,nan,0.063,0
seedfull_r4,0.023,0.154,26,0.091,0.023,nan,0.038,0
seedfull_r3,0.016,0.212,33,0.146,0.159,nan,0.12,0
seed1_r0,0.009,0.0,51,0.0,0.0,nan,0.08,0
seedfull_r1,0.008,0.0,45,0.0,0.0,nan,0.111,0
