run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seed0_r3,0.039,0.0,34,0.0,0.033,nan,0.115,0
seed2_r3,0.037,0.0,36,0.0,0.684,nan,0.38,0
seed3_r0,0.037,0.0,28,0.0,0.474,nan,0.329,0
seed4_r1,0.036,0.0,32,0.0,0.538,nan,0.312,0
seed4_r2,0.036,0.0,31,0.0,0.639,nan,0.3,0
seedfull_r1,0.036,0.0,34,0.0,0.676,nan,0.338,0
seed0_r1,0.035,0.0,34,0.0,0.722,nan,0.338,0
seed5_r0,0.035,0.0,34,0.0,0.722,nan,0.338,0
seed3_r2,0.034,0.0,32,0.0,0.667,nan,0.329,0
seed0_r0,0.033,0.0,38,0.0,0.65,nan,0.337,0
seed0_r2,0.032,0.0,36,0.0,0.778,nan,0.397,0
seedfull_r5,0.031,0.0,30,0.0,0.706,nan,0.272,0
seedfull_r0,0.03,0.0,32,0.0,0.714,nan,0.312,0
seedfull_r7,0.03,0.0,32,0.0,0.667,nan,0.329,0
seed1_r0,0.029,0.0,28,0.0,0.647,nan,0.312,0
seed1_r1,0.029,0.0,25,0.0,0.559,nan,0.273,0
seed4_r0,0.029,0.0,35,0.0,0.465,nan,0.317,0
seed5_r1,0.029,0.0,32,0.0,0.714,nan,0.4,0
seed5_r3,0.029,0.0,33,0.0,0.743,nan,0.395,0
seed1_r3,0.028,0.0,39,0.0,0.523,nan,0.455,0
seed3_r1,0.028,0.0,38,0.0,0.048,nan,0.11,0
seed1_r2,0.027,0.0,36,0.0,0.6,nan,0.416,0
seed4_r3,0.027,0.0,31,0.0,0.595,nan,0.387,0
seedfull_r3,0.024,0.0,27,0.0,0.571,nan,0.282,0
seed2_r1,0.019,0.04,25,0.024,0.0,nan,0.0,0
seed5_r2,0.019,0.0,29,0.0,0.583,nan,0.378,0
seed2_r0,0.016,0.394,33,0.342,0.109,nan,0.277,0
seed2_r2,0.013,0.0,39,0.0,0.558,nan,0.436,0
seed3_r3,0.013,0.0,30,0.0,0.45,nan,0.373,0
seedfull_r2,0.013,0.0,40,0.0,0.581,nan,0.449,0
seedfull_r4,0.013,0.0,35,0.0,0.658,nan,0.403,0
seedfull_r6,0.01,0.0,31,0.0,0.686,nan,0.387,0
