run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seedfull_r2,0.33,0.733,30,0.688,0.812,nan,0.139,0
seedfull_r7,0.252,0.75,28,0.677,0.806,nan,0.135,0
seedfull_r0,0.221,0.618,34,0.568,0.771,nan,0.159,0
seedfull_r4,0.196,0.75,28,0.677,0.75,nan,0.13,0
seed1_r1,0.195,0.704,27,0.594,0.774,nan,0.13,0
seed4_r1,0.173,0.688,32,0.647,0.667,nan,0.149,0
seed1_r0,0.168,0.742,31,0.719,0.735,nan,0.144,0
seed4_r2,0.163,0.636,33,0.583,0.605,nan,0.154,0
seed3_r3,0.15,0.769,26,0.667,0.742,nan,0.12,0
seed2_r2,0.141,0.524,42,0.5,0.458,nan,0.197,0
seedfull_r6,0.136,0.704,27,0.594,0.833,nan,0.13,0
seed4_r0,0.132,0.647,34,0.611,0.676,nan,0.164,0
seed5_r1,0.125,0.733,30,0.688,0.812,nan,0.139,0
seed3_r0,0.124,0.714,28,0.625,0.806,nan,0.135,0
seedfull_r1,0.124,0.742,31,0.719,0.788,nan,0.15,0
seed1_r3,0.123,0.613,31,0.528,0.735,nan,0.15,0
seed2_r0,0.123,0.724,29,0.656,0.727,nan,0.135,0
seed3_r1,0.114,0.783,23,0.621,0.759,nan,0.111,0
seedfull_r3,0.11,0.559,34,0.487,0.55,nan,0.164,0
seed1_r2,0.108,0.568,37,0.525,0.757,nan,0.173,0
seed3_r2,0.107,0.677,31,0.618,0.788,nan,0.144,0
seed5_r0,0.07,0.568,37,0.525,0.667,nan,0.173,0
seed2_r1,0.068,0.667,27,0.545,0.618,nan,0.125,0
seed5_r2,0.054,0.429,42,0.375,0.429,nan,0.203,0
seed0_r3,0.041,0.629,35,0.595,0.75,nan,0.163,0
seed0_r1,0.034,0.469,49,0.46,0.571,nan,0.225,0
seedfull_r5,0.03,0.4,50,0.37,0.444,nan,0.23,0
seed5_r3,0.018,0.0,31,0.0,0.0,nan,0.139,0
seed0_r0,0.016,0.0,38,0.0,0.0,nan,0.172,0
seed4_r3,0.016,0.0,36,0.0,0.0,nan,0.168,0
seed0_r2,0.015,0.0,38,0.0,0.0,nan,0.172,0
seed2_r3,0.011,0.0,34,0.0,0.0,nan,0.153,0
