run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seedfull_r7,0.085,0.455,44,0.417,0.296,nan,0.201,0
seedfull_r6,0.067,0.308,65,0.29,0.264,nan,0.295,0
seedfull_r2,0.055,0.531,32,0.436,0.16,nan,0.149,0
seedfull_r5,0.054,0.525,40,0.488,0.2,nan,0.193,0
seedfull_r3,0.05,0.38,50,0.345,0.188,nan,0.23,0
seed4_r0,0.041,0.068,74,0.054,0.176,nan,0.344,0
seedfull_r1,0.041,0.339,62,0.323,0.205,nan,0.281,0
seedfull_r0,0.036,0.453,53,0.453,0.234,nan,0.25,0
seed0_r2,0.031,0.061,33,0.036,0.283,nan,0.159,0
seedfull_r4,0.028,0.354,48,0.309,0.213,nan,0.22,0
seed1_r3,0.027,0.217,69,0.192,0.234,nan,0.327,0
seed4_r2,0.023,0.026,38,0.016,0.208,nan,0.172,0
seed3_r1,0.022,0.063,79,0.051,0.154,nan,0.355,0
seed3_r3,0.022,0.0,47,0.0,0.014,nan,0.215,0
seed0_r3,0.021,0.36,50,0.321,0.288,nan,0.242,0
seed4_r3,0.021,0.258,66,0.233,0.243,nan,0.306,0
seed1_r1,0.018,0.21,62,0.178,0.239,nan,0.3,0
seed2_r1,0.017,0.029,68,0.022,0.19,nan,0.316,0
seed3_r0,0.016,0.143,56,0.111,0.123,nan,0.246,0
seed0_r1,0.015,0.2,55,0.162,0.246,nan,0.266,0
seed1_r2,0.015,0.102,49,0.074,0.172,nan,0.231,0
seed4_r1,0.015,0.275,69,0.257,0.357,nan,0.321,0
seed0_r0,0.014,0.21,57,0.174,0.297,nan,0.275,0
seed1_r0,0.014,0.147,75,0.125,0.263,nan,0.362,0
seed2_r3,0.012,0.128,39,0.086,0.204,nan,0.188,0
seed3_r2,0.012,0.018,56,0.013,0.155,nan,0.252,0
seed5_r0,0.01,0.045,44,0.03,0.25,nan,0.213,0
seed5_r1,0.009,0.0,49,0.0,0.19,nan,0.237,0
seed2_r0,0.007,0.264,53,0.222,0.145,nan,0.25,0
seed5_r3,0.007,0.062,48,0.043,0.233,nan,0.232,0
seed2_r2,0.006,0.081,62,0.062,0.189,nan,0.293,0
seed5_r2,0.006,0.177,79,0.157,0.221,nan,0.368,0
