run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seedfull_r4,0.187,0.7,30,0.553,0.388,nan,0.12,0
seedfull_r1,0.087,0.714,28,0.541,0.347,nan,0.112,0
seed1_r3,0.083,0.529,34,0.4,0.714,nan,0.135,0
seed2_r1,0.082,0.594,32,0.452,0.667,nan,0.127,0
seed3_r1,0.082,0.6,30,0.439,0.478,nan,0.12,0
seed5_r1,0.081,0.516,31,0.364,0.725,nan,0.124,0
seed2_r2,0.072,0.476,42,0.392,0.86,nan,0.167,0
seed4_r3,0.071,0.63,27,0.436,0.444,nan,0.108,0
seed5_r3,0.071,0.462,39,0.36,0.791,nan,0.155,0
seedfull_r3,0.071,0.667,30,0.513,0.619,nan,0.12,0
seed5_r0,0.07,0.46,37,0.347,0.875,nan,0.147,0
seed0_r0,0.069,0.333,39,0.236,0.604,nan,0.155,0
seed2_r3,0.069,0.452,42,0.365,0.818,nan,0.167,0
seed5_r2,0.067,0.409,44,0.327,0.745,nan,0.175,0
seed4_r1,0.066,0.429,42,0.34,0.818,nan,0.167,0
seed1_r2,0.065,0.442,43,0.358,0.884,nan,0.171,0
seed3_r2,0.065,0.667,30,0.513,0.308,nan,0.12,0
seed0_r3,0.06,0.359,39,0.259,0.132,nan,0.155,0
seed1_r0,0.056,0.372,43,0.286,0.761,nan,0.171,0
seed1_r1,0.056,0.633,30,0.475,0.333,nan,0.12,0
seed4_r2,0.054,0.656,32,0.525,0.346,nan,0.127,0
seed0_r2,0.049,0.37,46,0.293,0.75,nan,0.183,0
seed2_r0,0.049,0.469,32,0.326,0.667,nan,0.127,0
seedfull_r5,0.047,0.386,44,0.304,0.783,nan,0.175,0
seedfull_r2,0.045,0.391,46,0.316,0.714,nan,0.183,0
seed3_r0,0.038,0.516,31,0.364,0.255,nan,0.124,0
seedfull_r0,0.036,0.354,48,0.283,0.686,nan,0.191,0
seedfull_r6,0.034,0.326,46,0.25,0.647,nan,0.183,0
seedfull_r7,0.034,0.326,46,0.25,0.647,nan,0.183,0
seed0_r1,0.033,0.39,41,0.296,0.681,nan,0.163,0
seed3_r3,0.033,0.262,42,0.183,0.6,nan,0.167,0
seed4_r0,0.033,0.128,47,0.086,0.328,nan,0.187,0
