run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seedfull_r5,0.052,0.452,42,0.413,0.469,nan,,0
seed3_r2,0.042,0.421,38,0.356,0.619,nan,,0
seed3_r1,0.038,0.488,43,0.467,0.404,nan,,0
seed4_r2,0.037,0.522,23,0.353,0.606,nan,,0
seed1_r0,0.028,0.378,37,0.304,0.558,nan,,0
seed3_r0,0.025,0.531,32,0.447,0.319,nan,,0
seed1_r1,0.023,0.349,43,0.294,0.587,nan,,0
seed4_r0,0.023,0.609,23,0.438,0.514,nan,,0
seed0_r3,0.021,0.438,32,0.341,0.378,nan,,0
seedfull_r3,0.018,0.417,36,0.341,0.467,nan,,0
seed5_r1,0.017,0.396,53,0.382,0.482,nan,,0
seed0_r1,0.015,0.2,40,0.145,0.628,nan,,0
seed0_r2,0.015,0.439,41,0.391,0.315,nan,,0
seed1_r2,0.015,0.179,39,0.127,0.568,nan,,0
seed4_r3,0.014,0.308,39,0.24,0.725,nan,,0
seed5_r2,0.014,0.243,37,0.176,0.675,nan,,0
seed3_r3,0.01,0.222,54,0.185,0.424,nan,,0
seed5_r3,0.01,0.243,37,0.176,0.675,nan,,0
seed1_r3,0.009,0.237,38,0.173,0.659,nan,,0
seed2_r3,0.009,0.3,30,0.205,0.875,nan,,0
seed4_r1,0.009,0.262,42,0.204,0.674,nan,,0
seed5_r0,0.009,0.278,36,0.204,0.833,nan,,0
seedfull_r1,0.009,0.277,47,0.228,0.604,nan,,0
seedfull_r2,0.009,0.27,37,0.2,0.811,nan,,0
seedfull_r7,0.009,0.286,42,0.226,0.6,nan,,0
seed2_r0,0.008,0.28,25,0.171,0.719,nan,,0
seed2_r1,0.008,0.321,28,0.214,0.812,nan,,0
seed2_r2,0.008,0.296,27,0.19,0.839,nan,,0
seedfull_r0,0.007,0.359,39,0.292,0.438,nan,,0
seedfull_r4,0.007,0.333,30,0.233,0.765,nan,,0
seed0_r0,0.006,0.323,31,0.227,0.794,nan,,0
seedfull_r6,0.006,0.375,32,0.279,0.771,nan,,0
