run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seed2_r2,0.154,0.565,46,0.542,0.0,nan,,0
seed2_r3,0.146,0.714,35,0.658,0.0,nan,,0
seed2_r1,0.137,0.595,42,0.556,0.0,nan,,0
seed2_r0,0.111,0.667,39,0.634,0.0,nan,,0
seedfull_r1,0.063,0.4,40,0.308,0.0,nan,,0
seedfull_r6,0.062,0.378,37,0.275,0.02,nan,,0
seedfull_r7,0.062,0.389,36,0.28,0.02,nan,,0
seed0_r1,0.06,0.679,28,0.514,0.0,nan,,0
seedfull_r5,0.055,0.441,34,0.319,0.0,nan,,0
seedfull_r0,0.048,0.389,36,0.28,0.02,nan,,0
seedfull_r4,0.048,0.4,35,0.286,0.02,nan,,0
seedfull_r3,0.043,0.487,39,0.396,0.0,nan,,0
seed3_r3,0.023,0.15,40,0.097,0.0,nan,,0
seed0_r2,0.02,0.064,47,0.042,0.0,nan,,0
seed0_r3,0.01,0.0,36,0.0,0.0,nan,,0
seedfull_r2,0.01,0.167,30,0.094,0.023,nan,,0
seed5_r1,0.009,0.0,46,0.0,0.326,nan,,0
seed5_r2,0.009,0.0,42,0.0,0.357,nan,,0
seed1_r0,0.008,0.0,46,0.0,0.326,nan,,0
seed1_r1,0.008,0.0,39,0.0,0.385,nan,,0
seed1_r2,0.008,0.0,39,0.0,0.385,nan,,0
seed1_r3,0.008,0.0,43,0.0,0.349,nan,,0
seed3_r0,0.008,0.0,34,0.0,0.441,nan,,0
seed3_r1,0.008,0.0,35,0.0,0.429,nan,,0
seed3_r2,0.008,0.0,36,0.0,0.417,nan,,0
seed4_r0,0.008,0.0,42,0.0,0.357,nan,,0
seed4_r1,0.008,0.0,50,0.0,0.3,nan,,0
seed4_r2,0.008,0.0,51,0.0,0.294,nan,,0
seed4_r3,0.008,0.0,52,0.0,0.288,nan,,0
seed5_r0,0.008,0.0,40,0.0,0.375,nan,,0
seed5_r3,0.008,0.0,40,0.0,0.375,nan,,0
seed0_r0,0.007,0.0,31,0.0,0.438,nan,,0
