target,n_run,site_diff,reach_diff
8k3k_D,4,-0.1200000000000001,0.0
8k46_I,4,0.15800000000000014,0.13
8k5g_HL,4,0.548,0.0
8k5h_HL,4,0.6240000000000001,0.0
8kep_HL,4,0.2350000000000001,0.0
8q7s_C,4,0.0,0.0
8q7s_H,4,0.0,0.0
8q7s_O,4,0.05800000000000005,0.0
8siq_HL,4,0.488,0.14100000000000001
8sis_HL,4,1.1719999999999997,0.0
8sit_HL,4,0.605,0.129
8t4a_PR,4,0.6620000000000004,0.0
8t4d_OQ,4,1.3130000000000002,0.0
8tp5_HL,4,0.508,0.06299999999999994
8u44_ST,4,-0.28900000000000015,-0.10499999999999998
8ulr_HL,4,1.0150000000000001,0.0
8ume_HL,4,0.4780000000000002,-0.026000000000000023
8xsi_HL,4,0.5800000000000003,0.0
9azr_HL,4,-0.20199999999999996,-0.017000000000000015
9azt_HL,4,0.657,0.05399999999999994
9azv_HL,4,0.1389999999999998,0.17200000000000001
9b7g_QP,4,0.010000000000000009,0.0
9bdg_FI,4,0.5060000000000002,0.285
9kkj_HL,4,0.24,0.138
9ml9_HL,4,0.6229999999999998,0.239
9mqr_DE,4,0.09800000000000009,0.0
9w43_AB,4,0.4630000000000001,0.0
9y0a_AB,4,0.29000000000000004,0.0
9yc6_HL,4,-0.2759999999999998,0.0
9zdu_HL,4,0.613,0.17200000000000004
