k,selector,best_f1,usable_rate,ceil_ratio,n_target,n_scored
1,ncomp,0.3542,0.35,0.6451,20,20
1,largest,0.3454,0.35,0.6291,20,20
1,smallest,0.3066,0.2,0.5585,20,20
1,abepi_mean,0.3045,0.3,0.5547,20,20
1,abepi_max,0.3752,0.4,0.6835,20,20
1,abepi_cmax,0.3483,0.4,0.6345,20,20
1,abepi_top3,0.3405,0.35,0.6202,20,20
1,abepi_maxeq,0.2833,0.3,0.5161,20,20
1,iptm_max,0.3648,0.35,0.6645,20,20
1,iptm_mean,0.3382,0.4,0.616,20,20
1,random,0.305,0.3085,0.5556,20,20
1,oracle,0.549,0.7,1.0,20,20
2,ncomp,0.4483,0.45,0.8166,20,20
2,largest,0.4857,0.55,0.8848,20,20
2,smallest,0.4166,0.45,0.7589,20,20
2,abepi_mean,0.5054,0.55,0.9207,20,20
2,abepi_max,0.5036,0.6,0.9174,20,20
2,abepi_cmax,0.4627,0.5,0.8429,20,20
2,abepi_top3,0.5328,0.6,0.9706,20,20
2,abepi_maxeq,0.4971,0.6,0.9055,20,20
2,iptm_max,0.5077,0.6,0.9248,20,20
2,iptm_mean,0.4888,0.55,0.8904,20,20
2,random,0.4499,0.5196,0.8195,20,20
2,oracle,0.549,0.7,1.0,20,20
3,ncomp,0.4925,0.6,0.897,20,20
3,largest,0.5273,0.65,0.9605,20,20
3,smallest,0.4925,0.6,0.897,20,20
3,abepi_mean,0.5131,0.6,0.9346,20,20
3,abepi_max,0.5441,0.65,0.9911,20,20
3,abepi_cmax,0.5131,0.6,0.9346,20,20
3,abepi_top3,0.5441,0.65,0.9911,20,20
3,abepi_maxeq,0.5109,0.65,0.9307,20,20
3,iptm_max,0.5478,0.7,0.9978,20,20
3,iptm_mean,0.5478,0.7,0.9978,20,20
3,random,0.5035,0.6144,0.9171,20,20
3,oracle,0.549,0.7,1.0,20,20
