run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seed3_r0,0.059,0.55,40,0.5,0.39,nan,0.108,0
seed3_r1,0.059,0.537,41,0.489,0.381,nan,0.096,0
seed3_r2,0.059,0.55,40,0.5,0.39,nan,0.097,0
seed4_r3,0.057,0.571,42,0.545,0.405,nan,0.139,0
seed4_r1,0.054,0.639,36,0.59,0.432,nan,0.112,0
seed3_r3,0.053,0.525,40,0.467,0.39,nan,0.087,0
seed2_r2,0.051,0.481,27,0.325,0.517,nan,0.042,0
seed1_r1,0.049,0.485,33,0.372,0.471,nan,0.019,0
seed4_r0,0.047,0.632,38,0.6,0.41,nan,0.144,0
seed0_r3,0.04,0.613,31,0.5,0.548,nan,0.13,0
seed1_r2,0.04,0.484,31,0.357,0.455,nan,0.0,0
seed0_r1,0.039,0.6,35,0.525,0.486,nan,0.137,0
seed0_r2,0.039,0.618,34,0.538,0.5,nan,0.138,0
seed1_r0,0.039,0.515,33,0.405,0.471,nan,0.019,0
seed1_r3,0.039,0.5,34,0.395,0.457,nan,0.019,0
seed0_r0,0.038,0.6,35,0.525,0.486,nan,0.137,0
seed4_r2,0.033,0.792,24,0.613,0.464,nan,0.043,0
seed2_r0,0.031,0.393,28,0.256,0.452,nan,0.0,0
seed2_r1,0.029,0.5,24,0.316,0.519,nan,0.01,0
seed2_r3,0.026,0.314,35,0.22,0.368,nan,0.0,0
seed5_r0,0.014,0.077,26,0.04,0.049,nan,0.338,0
seed5_r1,0.014,0.081,37,0.05,0.038,nan,0.341,0
seed5_r2,0.014,0.088,34,0.053,0.041,nan,0.321,0
seed5_r3,0.014,0.088,34,0.053,0.041,nan,0.321,0
seedfull_r0,0.014,0.032,31,0.018,0.021,nan,0.333,0
seedfull_r1,0.014,0.03,33,0.017,0.02,nan,0.359,0
seedfull_r2,0.014,0.032,31,0.018,0.021,nan,0.333,0
seedfull_r3,0.014,0.031,32,0.018,0.021,nan,0.346,0
seedfull_r4,0.014,0.031,32,0.018,0.021,nan,0.346,0
seedfull_r5,0.014,0.032,31,0.018,0.021,nan,0.316,0
seedfull_r6,0.014,0.029,34,0.017,0.02,nan,0.338,0
seedfull_r7,0.014,0.032,31,0.018,0.021,nan,0.333,0
