run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seed0_r3,0.525,0.609,23,0.583,0.576,0.917,0.28,1
seed0_r2,0.512,0.52,25,0.481,0.5,0.714,0.256,1
seedfull_r1,0.51,0.6,25,0.6,0.543,0.846,0.289,1
seed0_r1,0.489,0.481,27,0.448,0.556,0.724,0.266,0
seedfull_r0,0.434,0.5,28,0.483,0.541,0.759,0.263,0
seedfull_r5,0.419,0.667,21,0.636,0.562,0.913,0.237,0
seedfull_r4,0.374,0.452,31,0.438,0.579,0.688,0.284,0
seed1_r2,0.326,0.419,31,0.394,0.667,0.588,0.3,0
seedfull_r3,0.268,0.346,26,0.281,0.528,0.485,0.286,0
seed2_r3,0.111,0.318,22,0.233,0.378,0.286,0.284,0
seedfull_r7,0.104,0.333,24,0.258,0.559,0.343,0.293,0
seed1_r1,0.083,0.289,38,0.262,0.675,0.419,0.388,0
seed1_r3,0.082,0.375,32,0.343,0.794,0.528,0.329,0
seed5_r1,0.08,0.359,39,0.35,0.7,0.512,0.349,0
seed3_r1,0.078,0.325,40,0.31,0.605,0.432,0.487,0
seedfull_r2,0.066,0.277,47,0.265,0.434,0.373,0.263,0
seed4_r2,0.059,0.278,36,0.244,0.667,0.405,0.397,0
seed3_r3,0.055,0.355,31,0.314,0.5,0.421,0.387,0
seed3_r2,0.046,0.333,42,0.326,0.651,0.477,0.474,0
seed4_r0,0.04,0.382,34,0.361,0.575,0.462,0.39,0
seed5_r2,0.034,0.326,43,0.318,0.532,0.404,0.398,0
seed2_r1,0.032,0.194,31,0.15,0.364,0.2,0.333,0
seed4_r1,0.032,0.203,59,0.194,0.375,0.281,0.32,0
seed2_r2,0.03,0.378,37,0.368,0.571,0.538,0.447,0
seed1_r0,0.029,0.178,45,0.154,0.321,0.193,0.326,0
seedfull_r6,0.029,0.196,51,0.179,0.429,0.254,0.265,0
seed2_r0,0.028,0.204,44,0.18,0.377,0.196,0.232,0
seed5_r3,0.027,0.4,35,0.389,0.684,0.487,0.35,0
seed3_r0,0.024,0.196,51,0.179,0.356,0.213,0.253,0
seed4_r3,0.02,0.154,52,0.136,0.306,0.21,0.42,0
seed5_r0,0.02,0.286,42,0.267,0.651,0.383,0.42,0
seed0_r0,0.019,0.217,46,0.196,0.415,0.278,0.227,0
