run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seedfull_r5,0.123,0.246,65,0.229,0.481,nan,0.327,0
seedfull_r6,0.123,0.262,65,0.246,0.52,nan,0.34,0
seed0_r3,0.106,0.241,58,0.215,0.486,nan,0.26,0
seedfull_r1,0.105,0.214,70,0.197,0.545,nan,0.336,0
seedfull_r2,0.105,0.219,73,0.205,0.525,nan,0.364,0
seed4_r1,0.093,0.283,53,0.254,0.729,nan,0.465,0
seed1_r1,0.088,0.318,66,0.318,0.533,nan,0.562,0
seed0_r0,0.083,0.245,53,0.213,0.594,nan,0.299,0
seed0_r2,0.082,0.255,55,0.226,0.6,nan,0.306,0
seed3_r2,0.078,0.232,69,0.216,0.513,nan,0.42,0
seed5_r3,0.073,0.274,73,0.27,0.488,nan,0.537,0
seed1_r3,0.072,0.315,54,0.293,0.411,nan,0.512,0
seedfull_r0,0.07,0.192,73,0.175,0.488,nan,0.377,0
seedfull_r4,0.07,0.203,59,0.176,0.521,nan,0.294,0
seed4_r2,0.068,0.224,58,0.197,0.597,nan,0.472,0
seed4_r0,0.049,0.241,58,0.215,0.574,nan,0.506,0
seedfull_r7,0.042,0.153,72,0.134,0.494,nan,0.272,0
seedfull_r3,0.04,0.175,63,0.151,0.534,nan,0.32,0
seed3_r3,0.03,0.216,74,0.203,0.597,nan,0.47,0
seed3_r0,0.028,0.341,44,0.3,0.722,nan,0.463,0
seed5_r2,0.028,0.258,66,0.243,0.643,nan,0.495,0
seed3_r1,0.026,0.326,46,0.288,0.863,nan,0.451,0
seed1_r2,0.025,0.341,44,0.3,0.661,nan,0.444,0
seed4_r3,0.025,0.214,56,0.185,0.615,nan,0.5,0
seed2_r3,0.024,0.292,48,0.255,0.796,nan,0.424,0
seed2_r1,0.02,0.318,44,0.275,0.755,nan,0.393,0
seed2_r2,0.019,0.226,53,0.194,0.7,nan,0.34,0
seed5_r1,0.018,0.317,60,0.306,0.677,nan,0.602,0
seed1_r0,0.016,0.326,43,0.28,0.559,nan,0.487,0
seed5_r0,0.016,0.194,67,0.173,0.526,nan,0.458,0
seed2_r0,0.014,0.333,45,0.294,0.679,nan,0.422,0
seed0_r1,0.013,0.295,44,0.25,0.755,nan,0.427,0
