run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seed3_r3,0.419,0.71,31,0.647,0.788,nan,0.405,0
seed3_r1,0.378,0.677,31,0.6,0.903,nan,0.387,0
seed3_r0,0.356,0.774,31,0.75,0.735,nan,0.387,0
seed3_r2,0.341,0.714,28,0.606,0.75,nan,0.329,0
seed1_r0,0.219,0.613,31,0.514,0.686,nan,0.387,0
seed0_r0,0.205,0.679,28,0.559,0.75,nan,0.312,0
seed5_r1,0.201,0.724,29,0.636,0.781,nan,0.36,0
seed0_r2,0.199,0.679,28,0.559,0.75,nan,0.312,0
seed1_r1,0.187,0.697,33,0.657,0.694,nan,0.413,0
seed5_r2,0.183,0.647,34,0.595,0.722,nan,0.427,0
seed4_r3,0.171,0.808,26,0.7,0.742,nan,0.338,0
seed0_r3,0.168,0.667,27,0.529,0.774,nan,0.282,0
seed5_r3,0.165,0.697,33,0.657,0.743,nan,0.395,0
seed5_r0,0.16,0.606,33,0.526,0.649,nan,0.395,0
seedfull_r7,0.16,0.667,30,0.571,0.812,nan,0.338,0
seed4_r2,0.153,0.742,31,0.697,0.735,nan,0.387,0
seed0_r1,0.149,0.643,28,0.514,0.75,nan,0.312,0
seed2_r0,0.149,0.75,32,0.727,0.765,nan,0.4,0
seed1_r2,0.142,0.679,28,0.559,0.806,nan,0.329,0
seed2_r2,0.141,0.72,25,0.562,0.828,nan,0.307,0
seed2_r1,0.133,0.697,33,0.657,0.848,nan,0.413,0
seedfull_r3,0.132,0.645,31,0.556,0.903,nan,0.351,0
seed1_r3,0.13,0.593,27,0.444,0.667,nan,0.282,0
seedfull_r5,0.12,0.618,34,0.553,0.771,nan,0.408,0
seedfull_r1,0.119,0.625,32,0.541,0.818,nan,0.382,0
seed4_r1,0.098,0.786,28,0.71,0.806,nan,0.347,0
seedfull_r6,0.095,0.552,29,0.421,0.629,nan,0.325,0
seedfull_r0,0.09,0.731,26,0.594,0.8,nan,0.32,0
seedfull_r2,0.09,0.607,28,0.472,0.75,nan,0.347,0
seedfull_r4,0.09,0.586,29,0.459,0.727,nan,0.342,0
seed2_r3,0.084,0.733,30,0.667,0.812,nan,0.355,0
seed4_r0,0.073,0.625,32,0.541,0.714,nan,0.346,0
