run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seed4_r3,0.229,0.742,31,0.719,0.818,nan,0.387,0
seed4_r0,0.205,0.733,30,0.688,0.844,nan,0.373,0
seed4_r2,0.196,0.655,29,0.559,0.758,nan,0.36,0
seed4_r1,0.189,0.7,30,0.636,0.788,nan,0.373,0
seed2_r3,0.153,0.667,30,0.588,0.788,nan,0.373,0
seed2_r1,0.149,0.571,28,0.444,0.781,nan,0.347,0
seed0_r1,0.148,0.643,28,0.529,0.781,nan,0.347,0
seed1_r2,0.147,0.692,26,0.562,0.833,nan,0.32,0
seed2_r0,0.146,0.655,29,0.559,0.812,nan,0.36,0
seedfull_r6,0.141,0.636,33,0.583,0.771,nan,0.395,0
seed1_r0,0.136,0.655,29,0.559,0.871,nan,0.378,0
seedfull_r5,0.121,0.667,30,0.588,0.903,nan,0.373,0
seedfull_r0,0.117,0.697,33,0.676,0.771,nan,0.395,0
seedfull_r1,0.113,0.677,31,0.618,0.765,nan,0.368,0
seed5_r0,0.112,0.52,25,0.361,0.543,nan,0.289,0
seedfull_r4,0.111,0.629,35,0.595,0.778,nan,0.403,0
seed1_r1,0.107,0.739,23,0.567,0.677,nan,0.28,0
seed3_r0,0.107,0.724,29,0.656,0.657,nan,0.36,0
seedfull_r3,0.106,0.647,34,0.611,0.8,nan,0.39,0
seedfull_r7,0.106,0.611,36,0.579,0.757,nan,0.416,0
seed3_r2,0.105,0.704,27,0.594,0.806,nan,0.333,0
seed1_r3,0.104,0.68,25,0.531,0.688,nan,0.324,0
seed3_r3,0.102,0.75,28,0.677,0.727,nan,0.347,0
seed5_r1,0.097,0.581,31,0.486,0.714,nan,0.387,0
seed3_r1,0.095,0.679,28,0.576,0.727,nan,0.329,0
seed5_r2,0.093,0.486,35,0.405,0.561,nan,0.421,0
seed2_r2,0.088,0.76,25,0.633,0.636,nan,0.289,0
seed5_r3,0.087,0.5,26,0.351,0.375,nan,0.356,0
seed0_r2,0.081,0.654,26,0.515,0.571,nan,0.286,0
seedfull_r2,0.078,0.45,40,0.391,0.533,nan,0.361,0
seed0_r0,0.07,0.741,27,0.645,0.867,nan,0.351,0
seed0_r3,0.064,0.741,27,0.645,0.867,nan,0.351,0
