run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seedfull_r0,0.19,0.7,20,0.424,0.593,nan,0.0,0
seedfull_r1,0.18,0.545,22,0.324,0.731,nan,0.0,0
seedfull_r4,0.18,0.6,20,0.343,0.792,nan,0.0,0
seedfull_r2,0.174,0.6,20,0.343,0.792,nan,0.0,0
seed0_r1,0.141,0.423,26,0.262,0.75,nan,0.0,0
seed2_r0,0.134,0.273,44,0.203,0.457,nan,0.009,0
seed2_r1,0.133,0.265,49,0.206,0.412,nan,0.034,0
seed2_r3,0.133,0.185,81,0.161,0.268,nan,0.413,0
seed0_r0,0.123,0.417,24,0.244,0.808,nan,0.0,0
seed2_r2,0.12,0.141,85,0.12,0.271,nan,0.197,0
seed4_r0,0.119,0.216,74,0.188,0.276,nan,0.312,0
seed4_r1,0.105,0.25,64,0.213,0.318,nan,0.257,0
seed4_r2,0.104,0.284,67,0.253,0.324,nan,0.228,0
seed1_r0,0.094,0.191,68,0.159,0.282,nan,0.226,0
seed1_r3,0.092,0.25,56,0.203,0.162,nan,0.217,0
seedfull_r5,0.085,0.308,39,0.222,0.0,nan,0.333,0
seed3_r2,0.081,0.137,73,0.111,0.143,nan,0.39,0
seed4_r3,0.078,0.292,65,0.26,0.333,nan,0.266,0
seedfull_r3,0.071,0.323,31,0.208,0.0,nan,0.3,0
seed0_r3,0.069,0.194,67,0.16,0.25,nan,0.148,0
seedfull_r7,0.068,0.344,32,0.229,0.0,nan,0.28,0
seed0_r2,0.066,0.44,25,0.268,0.5,nan,0.0,0
seed5_r3,0.059,0.206,68,0.173,0.167,nan,0.185,0
seed3_r0,0.039,0.197,61,0.158,0.273,nan,0.107,0
seed1_r1,0.032,0.067,30,0.036,0.039,nan,0.051,0
seedfull_r6,0.032,0.138,29,0.077,0.0,nan,0.36,0
seed1_r2,0.028,0.269,78,0.25,0.217,nan,0.258,0
seed5_r1,0.028,0.225,71,0.195,0.253,nan,0.18,0
seed3_r3,0.023,0.236,55,0.188,0.13,nan,0.067,0
seed5_r2,0.023,0.237,76,0.212,0.165,nan,0.129,0
seed3_r1,0.019,0.254,71,0.225,0.205,nan,0.091,0
seed5_r0,0.012,0.167,54,0.125,0.085,nan,0.085,0
