run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seed4_r2,0.121,0.118,102,0.113,0.172,nan,0.261,0
seedfull_r4,0.106,0.15,80,0.143,0.253,nan,0.169,0
seed4_r3,0.089,0.12,83,0.112,0.17,nan,0.292,0
seed5_r2,0.065,0.164,67,0.153,0.329,nan,0.252,0
seed1_r2,0.054,0.359,39,0.341,0.622,nan,0.057,0
seed0_r1,0.053,0.35,40,0.333,0.396,nan,0.131,0
seed1_r3,0.051,0.341,44,0.333,0.592,nan,0.084,0
seed0_r0,0.044,0.288,52,0.283,0.387,nan,0.17,0
seed2_r0,0.043,0.311,45,0.298,0.549,nan,0.093,0
seed3_r0,0.042,0.112,98,0.107,0.234,nan,0.104,0
seed2_r3,0.041,0.34,47,0.34,0.528,nan,0.112,0
seedfull_r7,0.039,0.161,62,0.147,0.315,nan,0.117,0
seed0_r3,0.037,0.326,46,0.319,0.702,nan,0.103,0
seed2_r1,0.034,0.348,46,0.348,0.538,nan,0.124,0
seed5_r0,0.031,0.269,52,0.259,0.483,nan,0.078,0
seed4_r1,0.029,0.159,88,0.156,0.258,nan,0.06,0
seedfull_r1,0.029,0.163,86,0.159,0.319,nan,0.285,0
seed1_r1,0.027,0.203,69,0.197,0.304,nan,0.119,0
seed2_r2,0.026,0.259,58,0.254,0.438,nan,0.111,0
seed3_r1,0.025,0.182,66,0.171,0.333,nan,0.211,0
seed5_r1,0.025,0.294,51,0.288,0.466,nan,0.128,0
seed0_r2,0.023,0.173,75,0.167,0.239,nan,0.131,0
seed1_r0,0.023,0.181,83,0.179,0.36,nan,0.14,0
seedfull_r0,0.023,0.146,82,0.14,0.318,nan,0.041,0
seedfull_r2,0.023,0.141,85,0.135,0.28,nan,0.04,0
seedfull_r5,0.023,0.176,68,0.167,0.378,nan,0.069,0
seed3_r3,0.02,0.176,85,0.174,0.322,nan,0.083,0
seed3_r2,0.018,0.194,62,0.182,0.352,nan,0.186,0
seed5_r3,0.017,0.159,82,0.153,0.289,nan,0.048,0
seed4_r0,0.016,0.143,91,0.138,0.225,nan,0.405,0
seedfull_r3,0.015,0.161,93,0.16,0.27,nan,0.078,0
seedfull_r6,0.015,0.154,91,0.151,0.316,nan,0.038,0
