run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seed2_r2,0.114,0.686,35,0.632,0.188,nan,0.142,0
seed0_r0,0.1,0.6,35,0.512,0.171,nan,0.142,0
seed2_r1,0.097,0.35,60,0.318,0.163,nan,0.239,0
seed0_r3,0.093,0.568,37,0.488,0.167,nan,0.15,0
seed1_r0,0.091,0.383,60,0.359,0.446,nan,0.121,0
seed1_r2,0.082,0.677,31,0.568,0.2,nan,0.126,0
seed2_r3,0.073,0.537,41,0.478,0.173,nan,0.167,0
seed0_r1,0.07,0.605,38,0.548,0.181,nan,0.154,0
seed4_r2,0.041,0.684,38,0.667,0.181,nan,0.154,0
seed2_r0,0.036,0.724,29,0.6,0.206,nan,0.118,0
seed1_r1,0.014,0.314,51,0.258,0.241,nan,0.188,0
seedfull_r1,0.01,0.239,71,0.21,0.439,nan,0.149,0
seed4_r0,0.008,0.019,53,0.013,0.25,nan,0.137,0
seed4_r3,0.008,0.035,58,0.024,0.28,nan,0.13,0
seedfull_r2,0.008,0.236,89,0.221,0.495,nan,0.136,0
seedfull_r7,0.008,0.222,90,0.206,0.457,nan,0.147,0
seed0_r2,0.007,0.29,62,0.254,0.473,nan,0.081,0
seed1_r3,0.007,0.015,65,0.011,0.349,nan,0.123,0
seed4_r1,0.007,0.03,67,0.022,0.373,nan,0.138,0
seedfull_r3,0.007,0.319,72,0.303,0.451,nan,0.12,0
seedfull_r4,0.007,0.193,57,0.151,0.486,nan,0.082,0
seed3_r2,0.006,0.0,59,0.0,0.395,nan,0.093,0
seed3_r3,0.006,0.0,45,0.0,0.484,nan,0.062,0
seed3_r0,0.005,0.0,65,0.0,0.436,nan,0.076,0
seed3_r1,0.005,0.0,54,0.0,0.443,nan,0.056,0
seed5_r0,0.005,0.0,67,0.0,0.425,nan,0.072,0
seed5_r1,0.005,0.0,65,0.0,0.418,nan,0.08,0
seed5_r2,0.005,0.0,64,0.0,0.405,nan,0.073,0
seed5_r3,0.005,0.0,61,0.0,0.459,nan,0.073,0
seedfull_r0,0.005,0.0,74,0.0,0.36,nan,0.077,0
seedfull_r5,0.005,0.0,60,0.0,0.466,nan,0.059,0
seedfull_r6,0.005,0.0,65,0.0,0.436,nan,0.099,0
