run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seed2_r0,0.325,0.593,27,0.485,0.222,nan,0.083,0
seed2_r3,0.288,0.593,27,0.485,0.222,nan,0.083,0
seed3_r1,0.273,0.613,31,0.559,0.194,nan,0.095,0
seed3_r0,0.232,0.633,30,0.576,0.2,nan,0.091,0
seed3_r2,0.204,0.543,35,0.5,0.171,nan,0.106,0
seed0_r2,0.154,0.667,24,0.533,0.25,nan,0.071,0
seed0_r0,0.145,0.625,24,0.484,0.25,nan,0.067,0
seedfull_r7,0.062,0.625,24,0.484,0.25,nan,0.08,0
seedfull_r0,0.061,0.5,34,0.436,0.143,nan,0.102,0
seed0_r3,0.057,0.667,27,0.581,0.222,nan,0.096,0
seed1_r3,0.054,0.419,31,0.325,0.194,nan,0.108,0
seed4_r0,0.051,0.684,19,0.464,0.316,nan,0.06,0
seedfull_r2,0.033,0.458,24,0.314,0.2,nan,0.063,0
seed0_r1,0.032,0.5,24,0.353,0.25,nan,0.08,0
seed4_r3,0.031,0.44,25,0.306,0.24,nan,0.084,0
seedfull_r6,0.03,0.133,30,0.083,0.0,nan,0.038,0
seed3_r3,0.024,0.154,39,0.109,0.0,nan,0.04,0
seed4_r2,0.024,0.132,38,0.091,0.0,nan,0.033,0
seedfull_r4,0.023,0.154,26,0.091,0.0,nan,0.038,0
seed2_r1,0.022,0.444,18,0.25,0.263,nan,0.065,0
seed1_r1,0.02,0.146,48,0.111,0.019,nan,0.073,0
seed5_r0,0.019,0.098,41,0.068,0.022,nan,0.059,0
seedfull_r3,0.016,0.212,33,0.146,0.147,nan,0.12,0
seed1_r2,0.011,0.059,34,0.037,0.053,nan,0.111,0
seedfull_r5,0.01,0.0,36,0.0,0.0,nan,0.106,0
seed1_r0,0.009,0.0,51,0.0,0.0,nan,0.08,0
seed4_r1,0.008,0.0,44,0.0,0.0,nan,0.039,0
seedfull_r1,0.008,0.0,45,0.0,0.0,nan,0.111,0
seed2_r2,0.007,0.0,30,0.0,0.0,nan,0.117,0
seed5_r2,0.007,0.0,33,0.0,0.0,nan,0.13,0
seed5_r1,0.006,0.0,29,0.0,0.0,nan,0.113,0
seed5_r3,0.006,0.0,32,0.0,0.0,nan,0.126,0
