run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seedfull_r0,0.126,0.361,61,0.349,0.156,nan,0.282,0
seedfull_r6,0.12,0.361,61,0.349,0.175,nan,0.282,0
seedfull_r3,0.102,0.333,66,0.324,0.162,nan,0.306,0
seedfull_r7,0.102,0.4,60,0.4,0.159,nan,0.278,0
seed0_r0,0.06,0.37,54,0.345,0.218,nan,0.255,0
seed0_r1,0.06,0.364,55,0.339,0.236,nan,0.266,0
seed0_r3,0.048,0.309,55,0.274,0.236,nan,0.266,0
seed0_r2,0.041,0.258,62,0.229,0.154,nan,0.287,0
seedfull_r1,0.034,0.333,63,0.318,0.206,nan,0.292,0
seed2_r0,0.029,0.333,51,0.293,0.185,nan,0.229,0
seed2_r1,0.023,0.383,47,0.34,0.071,nan,0.221,0
seed3_r2,0.022,0.0,25,0.0,0.118,nan,0.115,0
seed3_r3,0.022,0.0,24,0.0,0.121,nan,0.105,0
seedfull_r2,0.022,0.524,42,0.5,0.078,nan,0.203,0
seed3_r1,0.021,0.0,25,0.0,0.118,nan,0.115,0
seed1_r0,0.019,0.0,33,0.0,0.0,nan,0.154,0
seed2_r3,0.019,0.077,39,0.05,0.106,nan,0.177,0
seed4_r0,0.019,0.079,38,0.051,0.159,nan,0.172,0
seed1_r3,0.018,0.089,45,0.062,0.055,nan,0.217,0
seed1_r1,0.017,0.0,26,0.0,0.147,nan,0.115,0
seed5_r3,0.017,0.104,48,0.075,0.109,nan,0.214,0
seed3_r0,0.016,0.0,50,0.0,0.05,nan,0.242,0
seed5_r1,0.016,0.018,56,0.013,0.169,nan,0.264,0
seedfull_r4,0.016,0.526,38,0.476,0.062,nan,0.178,0
seed2_r2,0.015,0.0,41,0.0,0.08,nan,0.187,0
seed1_r2,0.014,0.0,27,0.0,0.143,nan,0.109,0
seed5_r2,0.014,0.024,42,0.015,0.222,nan,0.191,0
seed4_r3,0.013,0.0,32,0.0,0.286,nan,0.138,0
seed5_r0,0.01,0.022,45,0.015,0.208,nan,0.2,0
seedfull_r5,0.009,0.523,44,0.511,0.075,nan,0.213,0
seed4_r1,0.008,0.0,46,0.0,0.18,nan,0.211,0
seed4_r2,0.007,0.025,40,0.016,0.0,nan,0.193,0
