run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seed2_r0,0.409,0.59,39,0.548,0.614,nan,0.155,0
seed2_r3,0.315,0.583,36,0.512,0.659,nan,0.143,0
seedfull_r2,0.283,0.583,36,0.512,0.744,nan,0.139,0
seed4_r0,0.197,0.6,30,0.474,0.632,nan,0.12,0
seedfull_r1,0.194,0.8,20,0.533,0.576,nan,0.075,0
seedfull_r5,0.188,0.792,24,0.613,0.75,nan,0.096,0
seed1_r1,0.177,0.767,30,0.697,0.771,nan,0.12,0
seedfull_r3,0.165,0.8,25,0.645,0.781,nan,0.1,0
seed0_r3,0.159,0.629,35,0.564,0.718,nan,0.139,0
seed0_r0,0.15,0.625,24,0.429,0.556,nan,0.096,0
seedfull_r0,0.147,0.684,38,0.684,0.75,nan,0.147,0
seed5_r0,0.145,0.706,34,0.667,0.737,nan,0.135,0
seed5_r3,0.145,0.676,34,0.622,0.737,nan,0.135,0
seed5_r2,0.138,0.649,37,0.615,0.683,nan,0.147,0
seedfull_r6,0.137,0.605,38,0.561,0.795,nan,0.147,0
seed5_r1,0.134,0.667,33,0.595,0.757,nan,0.131,0
seed1_r3,0.123,0.852,27,0.767,0.788,nan,0.108,0
seedfull_r7,0.112,0.571,42,0.545,0.682,nan,0.163,0
seed1_r0,0.109,0.857,21,0.621,0.606,nan,0.084,0
seed1_r2,0.105,0.595,42,0.581,0.762,nan,0.167,0
seed2_r2,0.099,0.739,23,0.531,0.528,nan,0.092,0
seed0_r1,0.094,0.688,32,0.611,0.829,nan,0.127,0
seed3_r3,0.087,0.688,32,0.611,0.778,nan,0.127,0
seedfull_r4,0.078,0.657,35,0.605,0.763,nan,0.139,0
seed3_r2,0.07,0.692,26,0.529,0.657,nan,0.104,0
seed0_r2,0.068,0.815,27,0.71,0.788,nan,0.108,0
seed3_r0,0.065,0.714,28,0.588,0.765,nan,0.112,0
seed4_r3,0.064,0.5,42,0.447,0.574,nan,0.167,0
seed3_r1,0.061,0.75,20,0.484,0.625,nan,0.08,0
seed4_r1,0.06,0.667,30,0.556,0.676,nan,0.12,0
seed2_r1,0.055,0.639,36,0.59,0.744,nan,0.143,0
seed4_r2,0.042,0.531,32,0.415,0.488,nan,0.127,0
