run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seed0_r3,0.142,0.408,49,0.377,0.475,nan,0.245,0
seed1_r0,0.108,0.309,55,0.274,0.409,nan,0.196,0
seed1_r1,0.104,0.34,53,0.305,0.468,nan,0.223,0
seed2_r1,0.057,0.328,67,0.319,0.235,nan,0.138,0
seed3_r2,0.054,0.05,40,0.032,0.66,nan,0.395,0
seed5_r0,0.049,0.42,50,0.396,0.492,nan,0.23,0
seedfull_r5,0.042,0.024,42,0.015,0.481,nan,0.513,0
seed3_r3,0.037,0.053,38,0.033,0.727,nan,0.388,0
seed4_r2,0.036,0.025,40,0.016,0.345,nan,0.345,0
seed0_r2,0.032,0.103,39,0.068,0.604,nan,0.349,0
seed3_r1,0.032,0.059,34,0.036,0.8,nan,0.321,0
seedfull_r6,0.032,0.081,37,0.052,0.705,nan,0.325,0
seed2_r0,0.031,0.053,38,0.033,0.767,nan,0.354,0
seedfull_r1,0.029,0.056,36,0.034,0.762,nan,0.416,0
seed4_r0,0.028,0.021,47,0.014,0.466,nan,0.429,0
seedfull_r2,0.028,0.029,35,0.017,0.521,nan,0.403,0
seed0_r1,0.027,0.0,56,0.0,0.343,nan,0.554,0
seed1_r3,0.027,0.217,46,0.167,0.312,nan,0.322,0
seed2_r2,0.025,0.056,54,0.04,0.614,nan,0.512,0
seed5_r3,0.025,0.31,58,0.281,0.477,nan,0.248,0
seedfull_r0,0.025,0.053,38,0.033,0.767,nan,0.388,0
seedfull_r3,0.025,0.075,40,0.049,0.733,nan,0.412,0
seedfull_r7,0.025,0.054,37,0.034,0.705,nan,0.375,0
seed0_r0,0.024,0.268,56,0.231,0.27,nan,0.183,0
seed5_r1,0.024,0.388,49,0.352,0.5,nan,0.232,0
seed2_r3,0.022,0.273,44,0.214,0.519,nan,0.33,0
seed3_r0,0.022,0.089,45,0.062,0.627,nan,0.356,0
seed5_r2,0.019,0.412,51,0.389,0.508,nan,0.24,0
seedfull_r4,0.019,0.269,67,0.247,0.364,nan,0.296,0
seed1_r2,0.017,0.102,49,0.074,0.582,nan,0.452,0
seed4_r3,0.016,0.25,56,0.212,0.469,nan,0.29,0
seed4_r1,0.011,0.019,53,0.013,0.444,nan,0.482,0
