run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seed3_r1,0.098,0.318,22,0.189,0.562,nan,,0
seed0_r2,0.092,0.083,24,0.045,0.529,nan,,0
seed0_r1,0.065,0.333,24,0.211,0.677,nan,,0
seedfull_r6,0.064,0.08,25,0.044,0.472,nan,,0
seedfull_r2,0.063,0.111,18,0.053,0.586,nan,,0
seedfull_r7,0.063,0.105,19,0.051,0.516,nan,,0
seed0_r0,0.058,0.348,23,0.216,0.645,nan,,0
seed0_r3,0.051,0.091,22,0.048,0.667,nan,,0
seed3_r2,0.035,0.241,29,0.159,0.839,nan,,0
seed5_r2,0.034,0.172,29,0.109,0.583,nan,,0
seed3_r3,0.032,0.194,31,0.128,0.844,nan,,0
seed2_r3,0.03,0.188,32,0.125,0.765,nan,,0
seed4_r0,0.029,0.133,30,0.083,0.184,nan,,0
seed2_r0,0.028,0.261,23,0.154,0.645,nan,,0
seed5_r1,0.027,0.156,32,0.102,0.818,nan,,0
seedfull_r3,0.026,0.158,19,0.079,0.567,nan,,0
seedfull_r0,0.02,0.151,33,0.1,0.794,nan,,0
seed1_r0,0.019,0.091,22,0.048,0.515,nan,,0
seed1_r2,0.019,0.105,19,0.051,0.516,nan,,0
seed3_r0,0.019,0.229,35,0.163,0.8,nan,,0
seed5_r3,0.018,0.241,29,0.159,0.781,nan,,0
seed2_r2,0.017,0.273,22,0.158,0.667,nan,,0
seed4_r1,0.016,0.15,20,0.077,0.143,nan,,0
seed2_r1,0.014,0.062,32,0.038,0.5,nan,,0
seedfull_r5,0.014,0.185,27,0.114,0.964,nan,,0
seed1_r3,0.013,0.192,26,0.116,0.35,nan,,0
seed4_r3,0.013,0.056,18,0.026,0.15,nan,,0
seed1_r1,0.012,0.103,39,0.07,0.426,nan,,0
seed4_r2,0.011,0.059,17,0.026,0.154,nan,,0
seed5_r0,0.009,0.154,26,0.091,0.929,nan,,0
seedfull_r4,0.008,0.188,32,0.125,0.875,nan,,0
seedfull_r1,0.007,0.212,33,0.146,0.848,nan,,0
