run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seedfull_r5,0.144,0.5,14,0.28,0.367,nan,,0
seedfull_r2,0.102,0.167,30,0.116,0.781,nan,,0
seed4_r3,0.093,0.273,22,0.176,0.633,nan,,0
seedfull_r6,0.091,0.16,25,0.103,0.677,nan,,0
seed5_r3,0.088,0.261,23,0.171,0.613,nan,,0
seed1_r3,0.086,0.179,28,0.122,0.897,nan,,0
seed4_r0,0.085,0.273,22,0.176,0.531,nan,,0
seedfull_r7,0.085,0.185,27,0.125,0.742,nan,,0
seedfull_r1,0.082,0.222,27,0.154,0.8,nan,,0
seed5_r0,0.081,0.174,23,0.108,0.613,nan,,0
seed0_r2,0.078,0.333,18,0.2,0.5,nan,,0
seed1_r1,0.076,0.138,29,0.093,0.75,nan,,0
seedfull_r3,0.076,0.16,25,0.103,0.793,nan,,0
seed1_r0,0.074,0.174,23,0.108,0.064,nan,,0
seed5_r2,0.072,0.208,24,0.135,0.889,nan,,0
seed1_r2,0.071,0.2,20,0.118,0.044,nan,,0
seed2_r1,0.07,0.192,26,0.128,0.893,nan,,0
seed0_r1,0.069,0.167,24,0.105,0.889,nan,,0
seed3_r1,0.068,0.12,25,0.075,0.733,nan,,0
seed4_r2,0.068,0.2,20,0.118,0.741,nan,,0
seed5_r1,0.068,0.174,23,0.108,0.724,nan,,0
seed0_r0,0.065,0.174,23,0.108,0.852,nan,,0
seed2_r0,0.065,0.033,30,0.021,0.357,nan,,0
seed3_r2,0.064,0.16,25,0.103,0.793,nan,,0
seedfull_r0,0.064,0.231,26,0.158,0.71,nan,,0
seed2_r3,0.062,0.191,21,0.114,0.778,nan,,0
seed3_r0,0.059,0.194,31,0.14,0.871,nan,,0
seedfull_r4,0.058,0.238,21,0.147,0.655,nan,,0
seed3_r3,0.056,0.2,25,0.132,0.733,nan,,0
seed0_r3,0.05,0.0,33,0.0,0.132,nan,,0
seed2_r2,0.048,0.0,26,0.0,0.06,nan,,0
seed4_r1,0.046,0.08,25,0.049,0.793,nan,,0
