run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seed0_r0,0.074,0.273,55,0.259,0.431,nan,,0
seedfull_r7,0.063,0.25,52,0.228,0.724,nan,,0
seed0_r1,0.062,0.231,65,0.221,0.548,nan,,0
seedfull_r2,0.06,0.237,59,0.222,0.672,nan,,0
seed2_r1,0.052,0.311,45,0.286,0.755,nan,,0
seed5_r1,0.051,0.417,36,0.385,0.5,nan,,0
seed4_r2,0.049,0.3,40,0.261,0.517,nan,,0
seed2_r0,0.046,0.293,41,0.255,0.745,nan,,0
seed0_r3,0.045,0.207,58,0.188,0.342,nan,,0
seed4_r0,0.042,0.282,39,0.239,0.45,nan,,0
seed3_r3,0.041,0.35,40,0.318,0.517,nan,,0
seed5_r3,0.041,0.21,57,0.19,0.312,nan,,0
seed1_r0,0.04,0.087,69,0.074,0.286,nan,,0
seed1_r3,0.039,0.268,41,0.229,0.483,nan,,0
seed1_r1,0.037,0.351,37,0.31,0.466,nan,,0
seedfull_r6,0.037,0.2,50,0.172,0.531,nan,,0
seed1_r2,0.033,0.203,74,0.195,0.386,nan,,0
seed3_r0,0.033,0.207,58,0.188,0.493,nan,,0
seed2_r2,0.032,0.28,50,0.259,0.69,nan,,0
seed3_r2,0.032,0.306,36,0.256,0.448,nan,,0
seed4_r1,0.032,0.105,38,0.077,0.387,nan,,0
seed0_r2,0.031,0.214,56,0.194,0.486,nan,,0
seed5_r0,0.031,0.141,64,0.123,0.318,nan,,0
seed2_r3,0.029,0.159,69,0.145,0.539,nan,,0
seedfull_r0,0.029,0.26,50,0.236,0.607,nan,,0
seedfull_r4,0.028,0.192,47,0.161,0.638,nan,,0
seed5_r2,0.024,0.309,42,0.277,0.364,nan,,0
seedfull_r1,0.024,0.036,56,0.028,0.195,nan,,0
seed3_r1,0.023,0.044,45,0.033,0.224,nan,,0
seed4_r3,0.023,0.269,52,0.25,0.333,nan,,0
seedfull_r3,0.023,0.2,60,0.182,0.543,nan,,0
seedfull_r5,0.023,0.238,63,0.227,0.708,nan,,0
