run,dockq,recall,n_pred,jac_to_true,jac_to_fail_consensus,jac_to_succ_consensus,jac_to_popular,success
seedfull_r1,0.317,0.429,56,0.414,0.667,nan,0.217,0
seed5_r3,0.311,0.436,55,0.421,0.701,nan,0.185,0
seed0_r3,0.276,0.462,52,0.444,0.79,nan,0.19,0
seed0_r2,0.269,0.361,61,0.338,0.765,nan,0.301,0
seed2_r3,0.269,0.41,61,0.403,0.846,nan,0.241,0
seed2_r1,0.261,0.391,64,0.385,0.864,nan,0.269,0
seed5_r1,0.261,0.446,56,0.439,0.797,nan,0.206,0
seed4_r1,0.244,0.512,41,0.457,0.493,nan,0.118,0
seed4_r0,0.242,0.431,58,0.424,0.773,nan,0.236,0
seedfull_r5,0.239,0.411,56,0.39,0.797,nan,0.217,0
seed4_r2,0.238,0.421,57,0.407,0.841,nan,0.238,0
seed5_r0,0.238,0.758,33,0.735,0.415,nan,0.01,0
seedfull_r4,0.236,0.377,61,0.359,0.714,nan,0.229,0
seedfull_r3,0.235,0.379,58,0.355,0.828,nan,0.297,0
seedfull_r6,0.232,0.377,61,0.359,0.818,nan,0.276,0
seedfull_r7,0.232,0.397,58,0.377,0.746,nan,0.248,0
seed5_r2,0.227,0.4,55,0.373,0.839,nan,0.255,0
seed0_r0,0.226,0.4,65,0.4,0.771,nan,0.255,0
seed0_r1,0.22,0.344,61,0.318,0.319,nan,0.207,0
seedfull_r0,0.214,0.449,49,0.415,0.77,nan,0.173,0
seed4_r3,0.213,0.394,66,0.394,0.736,nan,0.252,0
seedfull_r2,0.204,0.377,61,0.359,0.765,nan,0.252,0
seed2_r2,0.18,0.424,59,0.417,0.553,nan,0.128,0
seed1_r1,0.074,0.414,58,0.4,0.671,nan,0.272,0
seed1_r3,0.037,0.2,50,0.152,0.535,nan,0.367,0
seed1_r2,0.031,0.268,56,0.224,0.691,nan,0.316,0
seed1_r0,0.029,0.279,61,0.243,0.622,nan,0.301,0
seed3_r0,0.028,0.35,60,0.323,0.7,nan,0.267,0
seed3_r2,0.021,0.0,41,0.0,0.25,nan,0.373,0
seed3_r3,0.02,0.087,46,0.059,0.4,nan,0.4,0
seed3_r1,0.019,0.0,29,0.0,0.354,nan,0.342,0
seed2_r0,0.016,0.393,61,0.381,0.714,nan,0.276,0
