feature,agg,auc,sep,acc,thr,dir
rung,평균,1.0,1.0,1.0,5.0455,클수록 적용가능
rung,최대,1.0,1.0,1.0,11.0,클수록 적용가능
rung,표준편차,1.0,1.0,1.0,3.2401,클수록 적용가능
n_contact,최대,1.0,1.0,1.0,51.0,클수록 적용가능
iptm,최소,0.0,1.0,1.0,0.561,작을수록 적용가능
ptm,최소,0.0,1.0,1.0,0.623,작을수록 적용가능
plddt,평균,1.0,1.0,1.0,25.9899,클수록 적용가능
plddt,최대,1.0,1.0,1.0,55.768,클수록 적용가능
plddt,표준편차,1.0,1.0,1.0,3.8399,클수록 적용가능
iptm,평균,0.004,0.993,0.983,0.6285,작을수록 적용가능
n_contact,표준편차,0.993,0.985,0.983,5.5369,클수록 적용가능
ptm,평균,0.026,0.948,0.966,0.7379,작을수록 적용가능
ptm,표준편차,0.97,0.941,0.966,0.0501,클수록 적용가능
iptm,표준편차,0.952,0.904,0.949,0.0615,클수록 적용가능
n_contact,평균,0.933,0.867,0.966,25.1182,클수록 적용가능
neff80,최소,0.1,0.8,0.983,2.0,작을수록 적용가능
overrep,최대,0.836,0.671,0.9,0.0,클수록 적용가능
overrep,표준편차,0.809,0.618,0.9,0.0,클수록 적용가능
overrep,평균,0.778,0.556,0.9,0.0,클수록 적용가능
iptm,최대,0.385,0.23,0.915,0.173,클수록 적용가능
n_contact,최소,0.387,0.226,0.915,8.0,클수록 적용가능
overrep,최소,0.413,0.173,0.9,0.0,클수록 적용가능
neff80,평균,0.478,0.044,0.915,5.5462,클수록 적용가능
neff80,최대,0.478,0.044,0.915,27.685,클수록 적용가능
neff80,표준편차,0.485,0.03,0.915,7.7874,클수록 적용가능
ptm,최대,0.515,0.03,0.915,0.4,클수록 적용가능
plddt,최소,0.507,0.015,0.915,0.59,클수록 적용가능
rung,최소,0.5,0.0,0.915,0.0,클수록 적용가능
