cons_frac,merge_frac,max_res,f1,recall,precision,n_res,n_cand,n_cons,n_group,n_target
0.8,0.0,30,0.586,0.5945,0.6166,23.7,3.4,6.37,7.07,30
0.7,0.5,0,0.5825,0.684,0.5264,31.6,2.83,6.9,7.07,30
0.7,0.5,40,0.5825,0.6541,0.5371,28.7,2.83,6.9,7.07,30
0.7,0.0,40,0.5804,0.7196,0.4967,33.9,2.83,6.9,7.07,30
0.8,0.0,40,0.578,0.6145,0.6007,26.0,3.4,6.37,7.07,30
0.8,0.0,0,0.5777,0.6248,0.5977,27.0,3.4,6.37,7.07,30
0.8,0.5,30,0.5768,0.5489,0.6521,20.3,3.4,6.37,7.07,30
0.7,0.0,30,0.5754,0.6385,0.5323,28.0,2.83,6.9,7.07,30
0.7,0.5,30,0.5721,0.6125,0.5454,26.1,2.83,6.9,7.07,30
0.8,0.5,0,0.5707,0.5527,0.6478,21.2,3.4,6.37,7.07,30
0.8,0.5,40,0.5701,0.55,0.648,21.0,3.4,6.37,7.07,30
0.7,0.75,0,0.5692,0.6077,0.5622,26.2,2.83,6.9,7.07,30
0.7,0.75,40,0.5688,0.5924,0.5679,24.5,2.83,6.9,7.07,30
0.8,0.75,30,0.5687,0.5034,0.7083,17.1,3.4,6.37,7.07,30
0.8,0.75,0,0.5661,0.5062,0.7032,17.6,3.4,6.37,7.07,30
0.8,0.75,40,0.5661,0.5048,0.7037,17.5,3.4,6.37,7.07,30
0.7,0.0,0,0.5588,0.7673,0.4613,42.1,2.83,6.9,7.07,30
0.7,0.75,30,0.5583,0.5643,0.5679,23.1,2.83,6.9,7.07,30
0.5,0.75,0,0.5418,0.6759,0.4686,34.6,2.47,7.07,7.07,30
0.5,0.5,40,0.5391,0.6799,0.4553,35.2,2.47,7.07,7.07,30
0.5,0.0,40,0.539,0.7205,0.4368,38.3,2.47,7.07,7.07,30
0.5,0.75,40,0.5372,0.6453,0.4721,32.4,2.47,7.07,7.07,30
0.5,0.5,0,0.5306,0.74,0.4321,42.4,2.47,7.07,7.07,30
0.7,1.0,0,0.527,0.5055,0.6316,20.4,2.83,6.9,7.07,30
0.7,1.0,40,0.5265,0.4941,0.6358,19.0,2.83,6.9,7.07,30
0.5,0.0,30,0.5255,0.5977,0.4767,29.0,2.47,7.07,7.07,30
0.5,0.75,30,0.5255,0.5856,0.4854,28.0,2.47,7.07,7.07,30
0.5,0.5,30,0.5241,0.592,0.4781,28.7,2.47,7.07,7.07,30
0.5,1.0,0,0.5221,0.5631,0.5183,26.2,2.47,7.07,7.07,30
0.7,1.0,30,0.5181,0.474,0.6349,18.1,2.83,6.9,7.07,30
0.8,1.0,30,0.516,0.436,0.7277,14.2,3.4,6.37,7.07,30
0.5,1.0,40,0.5151,0.538,0.5178,24.7,2.47,7.07,7.07,30
0.8,1.0,0,0.5134,0.4388,0.7226,14.8,3.4,6.37,7.07,30
0.8,1.0,40,0.5134,0.4374,0.7231,14.6,3.4,6.37,7.07,30
0.5,1.0,30,0.4992,0.4964,0.5171,22.3,2.47,7.07,7.07,30
0.5,0.0,0,0.4816,0.8435,0.3521,61.3,2.47,7.07,7.07,30
