rank,zdock_score,dockq
1,1738.959,0.898
2,1681.337,0.005
3,1560.542,0.006
4,1495.553,0.003
5,1489.405,0.005
6,1457.916,0.005
7,1456.378,0.004
8,1419.832,0.003
9,1404.595,0.003
10,1390.008,0.004
11,1376.146,0.007
12,1366.442,0.003
13,1365.305,0.005
14,1359.715,0.008
15,1357.552,0.009
16,1354.733,0.004
17,1346.677,0.003
18,1325.861,0.003
19,1325.221,0.03
20,1322.479,0.005
21,1317.43,0.005
22,1312.229,0.005
23,1309.139,0.007
24,1306.254,0.004
25,1305.605,0.005
26,1304.746,0.009
27,1304.652,0.006
28,1303.447,0.006
29,1302.896,0.004
30,1298.04,0.003
31,1298.031,0.067
32,1293.564,0.005
33,1285.46,0.005
34,1282.599,0.005
35,1277.414,0.004
36,1277.075,0.005
37,1276.95,0.004
38,1276.343,0.003
39,1275.949,0.004
40,1275.888,0.006
41,1274.342,0.004
42,1272.591,0.004
43,1271.482,0.012
44,1269.436,0.004
45,1268.888,0.005
46,1268.803,0.005
47,1268.002,0.005
48,1267.95,0.005
49,1267.696,0.005
50,1265.05,0.004
51,1261.261,0.004
52,1259.191,0.006
53,1259.143,0.009
54,1259.026,0.02
55,1258.883,0.004
56,1258.217,0.005
57,1257.265,0.012
58,1256.25,0.004
59,1255.241,0.006
60,1254.984,0.004
61,1253.838,0.005
62,1251.475,0.004
63,1250.618,0.005
64,1248.452,0.004
65,1248.438,0.004
66,1247.069,0.006
67,1246.709,0.003
68,1241.554,0.004
69,1241.463,0.004
70,1240.742,0.006
71,1239.909,0.007
72,1238.627,0.005
73,1237.621,0.003
74,1237.077,0.003
75,1236.948,0.006
76,1236.114,0.002
77,1236.034,0.004
78,1235.542,0.004
79,1235.213,0.003
80,1230.983,0.004
81,1229.297,0.002
82,1227.02,0.003
83,1225.155,0.006
84,1222.599,0.004
85,1222.377,0.004
86,1221.751,0.024
87,1220.953,0.005
88,1218.138,0.007
89,1217.244,0.006
90,1215.004,0.004
91,1214.342,0.029
92,1213.981,0.003
93,1212.854,0.005
94,1212.817,0.013
95,1212.727,0.003
96,1212.274,0.004
97,1210.756,0.003
98,1210.515,0.005
99,1209.065,0.004
100,1208.234,0.003
101,1206.824,0.003
102,1206.484,0.004
103,1206.429,0.002
104,1206.139,0.005
105,1200.936,0.006
106,1200.331,0.003
107,1196.81,0.005
108,1195.731,0.005
109,1195.414,0.011
110,1195.362,0.004
111,1195.053,0.004
112,1194.889,0.003
113,1194.683,0.004
114,1193.812,0.006
115,1193.669,0.005
116,1193.15,0.008
117,1191.969,0.005
118,1190.881,0.003
119,1190.403,0.005
120,1190.376,0.004
121,1190.005,0.01
122,1188.639,0.009
123,1188.58,0.006
124,1188.335,0.003
125,1187.102,0.004
126,1186.641,0.005
127,1184.191,0.004
128,1184.159,0.009
129,1183.009,0.004
130,1182.743,0.008
131,1181.866,0.005
132,1181.514,0.004
133,1181.447,0.003
134,1181.225,0.005
135,1180.539,0.005
136,1179.312,0.005
137,1179.262,0.011
138,1178.42,0.003
139,1178.28,0.005
140,1178.152,0.007
141,1177.776,0.003
142,1177.758,0.003
143,1176.377,0.004
144,1176.359,0.004
145,1175.461,0.005
146,1174.372,0.028
147,1173.296,0.006
148,1172.206,0.003
149,1172.164,0.004
150,1171.927,0.005
151,1171.341,0.01
152,1169.998,0.004
153,1169.938,0.004
154,1169.427,0.007
155,1169.293,0.005
156,1168.875,0.003
157,1168.662,0.004
158,1167.742,0.005
159,1166.81,0.004
160,1166.578,0.004
161,1166.008,0.004
162,1164.879,0.03
163,1164.628,0.003
164,1164.543,0.003
165,1163.801,0.006
166,1163.472,0.003
167,1163.189,0.005
168,1163.038,0.005
169,1162.25,0.003
170,1161.963,0.004
171,1159.968,0.004
172,1159.709,0.013
173,1159.69,0.003
174,1158.928,0.005
175,1158.123,0.012
176,1158.026,0.004
177,1157.768,0.006
178,1157.071,0.005
179,1156.283,0.004
180,1155.621,0.005
181,1154.723,0.006
182,1153.966,0.004
183,1153.872,0.003
184,1153.87,0.005
185,1152.929,0.005
186,1152.492,0.003
187,1152.393,0.009
188,1152.235,0.003
189,1150.932,0.005
190,1150.608,0.005
191,1150.545,0.022
192,1150.164,0.003
193,1150.066,0.002
194,1150.046,0.004
195,1150.007,0.004
196,1149.443,0.004
197,1148.678,0.002
198,1148.095,0.005
199,1147.954,0.007
200,1146.951,0.006
201,1146.917,0.006
202,1146.507,0.003
203,1145.203,0.008
204,1144.862,0.008
205,1144.838,0.005
206,1144.024,0.002
207,1143.846,0.005
208,1143.668,0.003
209,1143.666,0.005
210,1142.684,0.003
211,1140.351,0.003
212,1140.068,0.003
213,1139.798,0.018
214,1139.776,0.004
215,1139.252,0.003
216,1139.108,0.002
217,1138.687,0.004
218,1138.528,0.004
219,1138.374,0.003
220,1137.516,0.003
221,1137.265,0.005
222,1135.905,0.004
223,1135.635,0.004
224,1133.509,0.004
225,1133.413,0.004
226,1132.185,0.003
227,1132.11,0.002
228,1131.328,0.007
229,1131.203,0.004
230,1130.527,0.012
231,1130.042,0.003
232,1129.845,0.005
233,1129.41,0.004
234,1129.137,0.003
235,1128.492,0.004
236,1128.32,0.006
237,1128.294,0.004
238,1128.213,0.115
239,1128.027,0.003
240,1128.022,0.003
241,1127.999,0.003
242,1127.034,0.004
243,1126.638,0.005
244,1126.449,0.006
245,1126.334,0.004
246,1126.324,0.018
247,1126.291,0.007
248,1125.607,0.003
249,1125.065,0.025
250,1124.86,0.005
251,1124.569,0.013
