rank,zdock_score,dockq
1,1924.805,0.908
2,1690.506,0.034
3,1620.76,0.186
4,1584.238,0.689
5,1568.484,0.047
6,1568.373,0.498
7,1552.408,0.283
8,1534.156,0.031
9,1517.149,0.285
10,1501.436,0.55
11,1466.831,0.221
12,1451.586,0.05
13,1443.604,0.049
14,1415.473,0.035
15,1414.381,0.132
16,1414.228,0.034
17,1393.742,0.04
18,1392.828,0.046
19,1387.488,0.046
20,1369.961,0.045
21,1360.613,0.024
22,1358.965,0.023
23,1353.038,0.032
24,1345.076,0.093
25,1336.795,0.034
26,1331.807,0.054
27,1330.642,0.264
28,1322.146,0.359
29,1319.364,0.192
30,1319.248,0.027
31,1312.569,0.283
32,1311.315,0.066
33,1310.493,0.055
34,1305.263,0.023
35,1302.238,0.044
36,1298.785,0.025
37,1296.091,0.035
38,1292.848,0.109
39,1288.68,0.057
40,1285.489,0.023
41,1282.196,0.024
42,1277.417,0.276
43,1275.684,0.055
44,1270.308,0.032
45,1269.521,0.044
46,1269.387,0.024
47,1263.657,0.282
48,1263.233,0.027
49,1262.103,0.037
50,1261.549,0.13
51,1260.437,0.024
52,1259.195,0.047
53,1253.273,0.077
54,1251.653,0.023
55,1251.284,0.031
56,1250.427,0.03
57,1249.254,0.024
58,1248.038,0.027
59,1246.273,0.091
60,1242.424,0.026
61,1240.846,0.119
62,1240.701,0.057
63,1238.032,0.02
64,1237.921,0.15
65,1237.523,0.098
66,1237.088,0.074
67,1236.937,0.029
68,1235.775,0.026
69,1234.75,0.024
70,1234.038,0.038
71,1233.993,0.146
72,1233.71,0.033
73,1232.895,0.029
74,1230.664,0.191
75,1226.436,0.038
76,1222.599,0.085
77,1222.305,0.034
78,1221.873,0.022
79,1220.699,0.051
80,1219.699,0.047
81,1217.901,0.023
82,1217.684,0.026
83,1217.572,0.027
84,1215.816,0.044
85,1215.748,0.062
86,1214.739,0.025
87,1213.381,0.03
88,1212.849,0.077
89,1212.467,0.028
90,1210.865,0.042
91,1210.582,0.02
92,1210.242,0.026
93,1208.318,0.039
94,1205.98,0.044
95,1203.625,0.064
96,1203.479,0.021
97,1203.182,0.047
98,1203.041,0.026
99,1202.269,0.046
100,1198.72,0.034
101,1198.571,0.022
102,1198.214,0.138
103,1197.113,0.041
104,1196.223,0.026
105,1194.608,0.344
106,1194.464,0.035
107,1194.365,0.144
108,1190.074,0.048
109,1187.353,0.071
110,1186.839,0.03
111,1186.533,0.06
112,1185.799,0.046
113,1185.586,0.022
114,1185.158,0.035
115,1184.203,0.024
116,1183.59,0.032
117,1183.107,0.112
118,1182.588,0.027
119,1181.868,0.175
120,1180.071,0.04
121,1177.587,0.03
122,1175.777,0.039
123,1174.781,0.042
124,1174.636,0.123
125,1174.478,0.083
126,1174.024,0.047
127,1172.622,0.061
128,1172.332,0.059
129,1170.681,0.026
130,1170.575,0.066
131,1169.865,0.105
132,1169.784,0.022
133,1168.809,0.057
134,1168.616,0.037
135,1168.347,0.177
136,1168.152,0.105
137,1167.403,0.028
138,1165.156,0.05
139,1165.061,0.033
140,1164.664,0.053
141,1163.073,0.023
142,1163.072,0.044
143,1162.324,0.025
144,1161.7,0.181
145,1160.519,0.051
146,1159.528,0.627
147,1159.279,0.026
148,1157.642,0.044
149,1157.371,0.024
150,1156.88,0.029
151,1156.399,0.047
152,1156.252,0.036
153,1155.375,0.024
154,1154.92,0.05
155,1154.519,0.024
156,1152.98,0.045
157,1152.922,0.029
158,1152.454,0.035
159,1152.246,0.032
160,1150.974,0.033
161,1149.541,0.034
162,1148.168,0.042
163,1145.774,0.027
164,1144.743,0.025
165,1143.207,0.023
166,1142.816,0.04
167,1140.556,0.054
168,1140.047,0.035
169,1139.824,0.037
170,1138.906,0.028
171,1137.977,0.04
172,1137.969,0.029
173,1136.653,0.026
174,1136.611,0.021
175,1136.371,0.047
176,1136.252,0.027
177,1136.043,0.043
178,1133.594,0.033
179,1133.515,0.038
180,1132.695,0.029
181,1132.055,0.034
182,1130.318,0.045
183,1130.203,0.022
184,1129.796,0.023
185,1129.477,0.041
186,1129.222,0.054
187,1129.048,0.029
188,1128.679,0.025
189,1128.644,0.037
190,1128.244,0.025
191,1127.646,0.056
192,1127.344,0.048
193,1126.711,0.028
194,1126.376,0.053
195,1126.348,0.036
196,1126.19,0.129
197,1125.8,0.038
198,1125.166,0.08
199,1124.916,0.027
200,1124.551,0.037
201,1124.278,0.06
202,1123.977,0.031
203,1123.342,0.027
204,1122.02,0.024
205,1121.887,0.025
206,1121.766,0.036
207,1121.36,0.031
208,1120.846,0.031
209,1120.396,0.043
210,1120.023,0.024
211,1119.877,0.145
212,1119.718,0.084
213,1119.619,0.042
214,1119.102,0.028
215,1119.011,0.029
216,1118.982,0.039
217,1118.503,0.044
218,1118.159,0.051
219,1117.731,0.237
220,1116.865,0.022
221,1116.191,0.042
222,1116.037,0.041
223,1114.991,0.035
224,1114.726,0.023
225,1114.226,0.036
226,1114.161,0.036
227,1114.057,0.028
228,1113.465,0.315
229,1113.336,0.039
230,1113.205,0.031
231,1111.707,0.032
232,1111.31,0.024
233,1111.252,0.027
234,1110.775,0.041
235,1110.369,0.023
236,1110.146,0.052
237,1109.279,0.047
238,1109.275,0.036
239,1109.062,0.028
240,1108.903,0.036
241,1107.67,0.035
242,1107.572,0.095
243,1107.495,0.072
244,1106.519,0.026
245,1106.021,0.022
246,1104.562,0.029
247,1104.507,0.037
248,1104.293,0.026
249,1101.959,0.031
250,1101.797,0.039
251,1101.406,0.032
252,1100.921,0.047
253,1100.312,0.086
254,1100.119,0.022
255,1099.739,0.044
256,1099.408,0.034
257,1098.93,0.03
258,1098.65,0.075
259,1097.728,0.032
260,1097.678,0.028
261,1097.54,0.029
262,1097.301,0.024
263,1096.604,0.023
264,1096.407,0.025
265,1095.578,0.057
266,1095.46,0.042
267,1095.256,0.028
268,1095.022,0.071
269,1094.994,0.025
270,1094.459,0.081
271,1094.449,0.038
272,1094.111,0.057
273,1093.68,0.057
274,1093.622,0.393
275,1092.778,0.024
276,1091.707,0.047
277,1090.839,0.038
278,1090.352,0.024
279,1090.084,0.054
280,1089.853,0.034
281,1089.52,0.053
282,1089.375,0.037
283,1089.1,0.023
284,1088.807,0.031
285,1088.398,0.022
286,1088.182,0.067
287,1088.181,0.024
288,1086.606,0.024
289,1086.152,0.038
290,1085.619,0.104
291,1085.201,0.023
292,1084.104,0.029
293,1083.345,0.031
294,1083.288,0.093
295,1082.37,0.024
296,1081.955,0.699
297,1080.877,0.065
298,1080.761,0.026
299,1080.25,0.02
300,1080.187,0.083
301,1079.316,0.028
302,1078.561,0.043
303,1078.435,0.076
304,1077.935,0.027
305,1077.73,0.122
306,1077.488,0.13
307,1076.233,0.024
308,1075.719,0.106
309,1075.297,0.053
310,1075.23,0.052
311,1074.852,0.025
312,1074.672,0.04
313,1073.412,0.027
314,1073.039,0.031
315,1072.992,0.044
316,1072.818,0.037
317,1071.895,0.043
318,1071.843,0.039
319,1071.322,0.026
320,1070.856,0.056
321,1070.766,0.017
322,1070.174,0.144
323,1069.915,0.038
324,1069.236,0.022
325,1068.937,0.037
326,1067.877,0.026
327,1067.832,0.054
328,1067.45,0.027
329,1066.961,0.022
330,1066.871,0.029
331,1066.28,0.03
332,1066.278,0.031
333,1065.819,0.03
334,1065.634,0.036
335,1065.27,0.023
336,1065.091,0.029
337,1064.832,0.025
338,1064.387,0.043
339,1064.229,0.026
340,1063.521,0.136
341,1063.423,0.021
342,1063.222,0.034
343,1062.965,0.023
344,1062.823,0.03
345,1062.812,0.033
346,1062.754,0.027
347,1061.976,0.182
348,1061.619,0.032
349,1061.399,0.058
350,1061.188,0.036
351,1060.924,0.026
352,1060.576,0.045
353,1060.171,0.042
354,1059.976,0.032
355,1058.888,0.04
356,1058.022,0.06
357,1057.764,0.035
358,1057.667,0.03
359,1057.338,0.159
360,1056.993,0.031
361,1056.176,0.026
362,1056.074,0.031
363,1055.44,0.024
364,1054.794,0.025
365,1054.711,0.041
366,1054.396,0.029
367,1054.256,0.041
368,1053.767,0.033
369,1053.497,0.045
370,1053.053,0.031
371,1052.823,0.04
372,1052.568,0.033
373,1051.971,0.023
374,1051.903,0.022
375,1051.849,0.048
376,1051.262,0.031
377,1051.007,0.022
378,1050.963,0.163
379,1050.664,0.02
380,1050.281,0.031
381,1050.086,0.04
382,1050.083,0.029
383,1049.581,0.022
384,1049.545,0.035
385,1049.441,0.032
386,1049.118,0.04
387,1048.667,0.038
388,1048.459,0.028
389,1048.178,0.028
390,1047.965,0.025
391,1047.938,0.028
392,1047.43,0.023
393,1047.353,0.038
394,1047.117,0.024
395,1046.976,0.027
396,1046.961,0.035
397,1046.691,0.041
398,1046.541,0.023
399,1046.129,0.048
400,1046.015,0.03
401,1045.723,0.1
402,1045.458,0.034
403,1045.396,0.035
404,1045.282,0.06
405,1045.174,0.059
406,1044.869,0.111
407,1044.727,0.05
408,1043.928,0.028
409,1043.906,0.024
410,1043.235,0.024
411,1042.739,0.032
412,1042.367,0.051
413,1042.094,0.024
414,1041.996,0.065
415,1041.991,0.046
416,1041.553,0.047
417,1040.859,0.024
418,1040.853,0.034
419,1040.66,0.116
420,1040.459,0.027
421,1040.086,0.037
422,1039.998,0.031
423,1039.76,0.029
424,1039.757,0.066
425,1039.594,0.035
426,1039.311,0.17
427,1039.193,0.024
428,1039.112,0.03
429,1038.78,0.069
430,1038.733,0.094
431,1038.425,0.03
432,1038.389,0.041
433,1038.317,0.038
434,1038.303,0.03
435,1038.121,0.048
436,1037.794,0.033
437,1037.781,0.024
438,1037.594,0.018
439,1037.49,0.035
440,1037.305,0.05
441,1037.22,0.029
442,1037.068,0.23
443,1036.863,0.018
444,1036.823,0.022
445,1036.723,0.023
446,1035.885,0.03
447,1035.383,0.03
448,1035.344,0.038
449,1035.184,0.021
450,1035.04,0.03
451,1034.693,0.033
452,1034.662,0.022
453,1034.625,0.042
454,1034.045,0.022
455,1033.889,0.021
456,1033.779,0.023
457,1033.703,0.018
458,1033.307,0.066
459,1033.274,0.029
460,1033.237,0.16
461,1033.231,0.028
462,1033.174,0.036
463,1033.157,0.261
464,1032.928,0.054
465,1032.296,0.037
466,1032.293,0.057
467,1032.286,0.049
468,1032.186,0.022
469,1032.01,0.022
470,1031.297,0.022
471,1031.239,0.035
472,1031.139,0.047
473,1030.925,0.026
474,1030.649,0.099
475,1029.967,0.03
476,1029.759,0.029
477,1029.477,0.025
478,1028.885,0.056
479,1028.423,0.018
480,1027.998,0.038
481,1027.925,0.061
482,1027.758,0.027
483,1027.451,0.031
484,1027.447,0.031
485,1027.392,0.025
486,1027.36,0.023
487,1026.896,0.039
488,1026.799,0.046
489,1026.575,0.028
490,1026.425,0.022
491,1026.257,0.065
492,1026.048,0.046
493,1025.926,0.099
494,1025.736,0.036
495,1025.698,0.035
496,1025.564,0.028
497,1025.057,0.048
498,1024.292,0.052
499,1023.58,0.028
500,1023.383,0.035
501,1023.239,0.025
502,1022.993,0.054
503,1022.463,0.035
504,1022.377,0.023
505,1022.377,0.02
506,1022.319,0.024
507,1022.292,0.028
508,1022.268,0.024
509,1022.172,0.033
510,1021.797,0.019
511,1021.776,0.045
512,1021.625,0.03
513,1020.163,0.049
514,1020.13,0.026
515,1019.899,0.027
516,1019.814,0.045
517,1019.62,0.036
518,1019.156,0.034
519,1018.852,0.052
520,1018.618,0.101
521,1018.256,0.042
522,1018.197,0.022
523,1017.733,0.023
524,1017.691,0.026
525,1017.516,0.022
526,1017.404,0.022
527,1017.215,0.033
528,1017.139,0.037
529,1016.994,0.025
530,1016.929,0.051
531,1016.625,0.04
532,1016.486,0.049
533,1016.483,0.078
534,1016.189,0.029
535,1016.147,0.03
536,1016.125,0.056
537,1016.089,0.022
538,1015.797,0.037
539,1015.785,0.023
540,1015.704,0.042
541,1015.584,0.092
542,1015.562,0.03
543,1014.795,0.061
544,1014.557,0.071
545,1014.129,0.022
546,1014.047,0.037
547,1014.029,0.036
548,1013.304,0.081
549,1013.227,0.042
550,1012.828,0.04
551,1012.789,0.02
552,1012.179,0.036
553,1012.142,0.032
554,1011.832,0.024
555,1011.344,0.202
556,1011.326,0.02
557,1011.308,0.041
558,1011.14,0.031
559,1011.033,0.083
560,1010.66,0.031
561,1010.373,0.024
562,1009.906,0.022
563,1009.717,0.027
564,1009.541,0.022
565,1009.156,0.05
566,1008.857,0.035
567,1008.674,0.047
568,1008.256,0.035
569,1008.068,0.023
570,1007.611,0.025
571,1007.536,0.036
572,1007.53,0.023
573,1007.297,0.028
574,1007.153,0.025
575,1007.054,0.029
576,1006.898,0.022
577,1006.812,0.036
578,1006.702,0.124
579,1006.308,0.048
580,1006.157,0.05
581,1006.046,0.033
582,1006.008,0.023
583,1005.9,0.055
584,1005.749,0.052
585,1005.541,0.149
586,1005.271,0.027
587,1004.957,0.042
588,1004.951,0.048
589,1004.723,0.028
590,1004.719,0.032
591,1004.63,0.025
592,1004.49,0.028
593,1004.158,0.032
594,1003.879,0.035
595,1003.641,0.025
596,1003.417,0.023
597,1002.949,0.027
598,1001.607,0.024
599,1001.586,0.023
600,1001.567,0.023
601,1001.423,0.101
602,1000.54,0.028
603,1000.485,0.029
604,1000.399,0.027
605,1000.344,0.032
606,1000.234,0.047
607,1000.198,0.048
608,999.766,0.034
609,999.699,0.044
610,999.688,0.031
611,999.627,0.085
612,999.586,0.03
613,998.59,0.092
614,998.449,0.035
615,998.189,0.043
616,998.053,0.036
617,997.891,0.034
618,997.84,0.02
619,997.78,0.038
620,997.779,0.029
621,997.523,0.03
622,997.518,0.04
623,997.115,0.023
624,997.008,0.055
625,996.829,0.062
626,996.274,0.032
627,995.989,0.044
628,995.71,0.051
629,995.183,0.023
630,995.107,0.03
631,995.093,0.043
632,994.883,0.079
633,994.717,0.028
634,994.468,0.051
635,994.367,0.043
636,994.362,0.025
637,994.285,0.032
638,994.081,0.024
639,993.876,0.029
640,993.427,0.028
641,992.961,0.023
642,991.783,0.124
643,991.716,0.047
644,991.675,0.047
645,991.491,0.019
646,991.372,0.022
647,991.247,0.039
648,991.131,0.062
649,991.008,0.033
650,990.896,0.026
651,990.565,0.023
652,990.399,0.031
653,990.313,0.026
654,989.912,0.03
655,989.801,0.032
656,989.759,0.033
657,989.552,0.028
658,989.465,0.051
659,989.451,0.019
660,989.387,0.025
661,989.327,0.03
662,989.316,0.052
663,988.375,0.031
664,987.936,0.046
665,987.733,0.034
666,987.699,0.032
667,987.555,0.098
668,987.424,0.028
669,987.089,0.026
670,987.088,0.031
671,987.025,0.065
672,986.94,0.067
673,986.936,0.043
674,986.77,0.033
675,986.451,0.023
676,986.439,0.031
677,986.088,0.028
678,986.058,0.029
679,986.042,0.035
680,985.725,0.049
681,985.645,0.028
682,985.617,0.051
683,985.547,0.04
684,985.385,0.19
685,985.353,0.039
686,985.244,0.076
687,985.204,0.021
688,985.103,0.06
689,984.945,0.061
690,984.746,0.039
691,984.667,0.026
692,984.574,0.028
693,984.48,0.025
694,983.898,0.023
695,983.832,0.029
696,983.451,0.059
697,983.218,0.036
698,983.179,0.027
699,983.137,0.029
700,982.961,0.03
701,982.851,0.037
702,982.518,0.039
703,982.444,0.016
704,982.336,0.045
705,982.288,0.025
706,982.203,0.039
707,982.03,0.061
708,981.878,0.023
709,981.869,0.019
710,981.757,0.036
711,981.451,0.027
712,981.167,0.021
713,981.156,0.03
714,981.134,0.037
715,981.093,0.046
716,981.084,0.032
717,980.658,0.023
718,980.532,0.019
719,979.69,0.063
720,979.436,0.044
721,979.205,0.03
722,978.857,0.062
723,978.653,0.022
724,978.562,0.025
725,978.368,0.029
726,978.257,0.023
727,978.245,0.031
728,978.081,0.017
729,978.078,0.033
730,977.77,0.033
731,977.603,0.053
732,977.556,0.02
733,977.375,0.034
734,977.312,0.027
735,976.865,0.029
736,976.729,0.051
737,976.658,0.022
738,976.368,0.021
739,976.172,0.13
740,976.163,0.061
741,975.927,0.029
742,975.729,0.022
743,975.636,0.07
744,975.499,0.013
745,975.461,0.02
746,975.203,0.024
747,974.833,0.025
748,974.754,0.035
749,974.469,0.036
750,974.465,0.027
751,974.245,0.022
752,974.156,0.028
753,973.816,0.03
754,973.351,0.032
755,973.343,0.212
756,973.33,0.049
757,972.981,0.022
758,972.859,0.032
759,972.625,0.023
760,972.257,0.027
761,972.006,0.023
762,971.593,0.062
763,971.576,0.045
764,971.534,0.024
765,971.473,0.037
766,971.399,0.023
767,970.954,0.141
768,970.51,0.017
769,970.482,0.026
770,970.267,0.036
771,970.208,0.026
772,969.822,0.039
773,969.816,0.03
774,969.639,0.035
775,968.966,0.032
776,968.845,0.041
777,968.396,0.042
778,967.902,0.044
779,967.899,0.022
780,967.722,0.036
781,967.698,0.045
782,967.509,0.025
783,967.377,0.023
784,967.198,0.018
785,967.163,0.182
786,967.074,0.043
787,966.854,0.021
788,966.803,0.034
789,966.501,0.04
790,966.407,0.022
791,966.205,0.026
792,966.197,0.049
793,965.567,0.02
794,965.226,0.025
795,965.213,0.039
796,965.159,0.023
797,965.1,0.023
798,965.093,0.033
799,964.925,0.04
800,964.716,0.053
801,964.603,0.037
802,964.489,0.025
803,964.446,0.025
804,964.341,0.025
805,964.221,0.09
806,963.826,0.022
807,963.82,0.026
808,963.579,0.03
809,963.559,0.06
810,963.496,0.031
811,963.342,0.046
812,962.969,0.027
813,962.719,0.029
814,962.713,0.054
815,962.639,0.026
816,962.402,0.022
817,962.102,0.026
818,961.803,0.045
819,961.568,0.02
820,961.562,0.022
821,961.448,0.04
822,961.355,0.04
823,960.885,0.028
824,960.826,0.092
825,960.795,0.021
826,960.596,0.029
827,960.434,0.051
828,960.334,0.026
829,960.237,0.07
830,959.962,0.036
831,959.62,0.026
832,959.354,0.021
833,959.102,0.071
834,958.793,0.023
835,958.681,0.026
836,958.563,0.022
837,957.919,0.046
838,957.806,0.027
839,957.682,0.028
840,957.68,0.024
841,957.605,0.049
842,957.605,0.066
843,957.559,0.024
844,957.512,0.022
845,957.24,0.036
846,957.141,0.041
847,956.984,0.061
848,956.709,0.038
849,956.682,0.036
850,956.676,0.028
851,956.364,0.022
852,956.14,0.032
853,956.064,0.018
854,955.609,0.036
855,955.459,0.034
856,955.378,0.024
857,955.344,0.027
858,955.316,0.019
859,954.866,0.057
860,954.502,0.022
861,954.203,0.025
862,953.898,0.021
863,953.776,0.023
864,953.581,0.025
865,953.472,0.033
866,953.439,0.03
867,953.232,0.04
868,952.594,0.025
869,952.495,0.024
870,952.321,0.019
871,952.307,0.028
872,951.753,0.025
873,951.596,0.041
874,951.467,0.027
875,951.339,0.06
876,951.313,0.031
877,951.132,0.017
878,950.911,0.052
879,950.846,0.04
880,950.684,0.038
881,950.65,0.027
882,950.547,0.039
883,950.091,0.017
884,949.967,0.025
885,949.596,0.03
886,949.477,0.044
887,949.404,0.037
888,949.296,0.037
889,949.288,0.055
890,948.409,0.046
891,948.281,0.03
892,947.968,0.184
893,947.903,0.034
894,947.737,0.037
895,947.598,0.021
896,947.592,0.031
897,947.479,0.124
898,947.468,0.031
899,947.112,0.026
900,947.105,0.031
901,946.921,0.022
902,946.883,0.021
903,946.747,0.036
904,946.716,0.021
905,946.629,0.07
906,946.547,0.019
907,946.438,0.027
908,946.437,0.031
909,946.395,0.028
910,945.657,0.173
911,945.483,0.02
912,944.793,0.029
913,944.735,0.02
914,944.645,0.079
915,944.617,0.047
916,944.355,0.028
917,943.77,0.036
918,943.37,0.032
919,943.007,0.034
920,942.83,0.025
921,942.355,0.025
922,942.27,0.03
923,941.994,0.04
924,940.637,0.049
925,940.479,0.037
926,940.45,0.036
927,940.35,0.026
928,940.288,0.05
