rank,zdock_score,dockq
1,1479.008,0.104
2,1460.358,0.135
3,1456.249,0.04
4,1364.404,0.066
5,1345.785,0.045
6,1342.636,0.121
7,1334.05,0.102
8,1323.936,0.242
9,1319.662,0.051
10,1311.827,0.078
11,1309.844,0.112
12,1307.524,0.044
13,1302.75,0.083
14,1298.413,0.046
15,1288.405,0.073
16,1279.259,0.11
17,1277.802,0.096
18,1275.876,0.045
19,1275.075,0.096
20,1270.631,0.034
21,1268.571,0.039
22,1264.663,0.043
23,1262.026,0.07
24,1252.995,0.033
25,1251.375,0.031
26,1251.048,0.114
27,1251.025,0.132
28,1246.494,0.037
29,1243.749,0.096
30,1241.545,0.065
31,1241.105,0.072
32,1237.514,0.088
33,1236.875,0.049
34,1227.832,0.071
35,1222.696,0.117
36,1222.288,0.07
37,1216.703,0.084
38,1215.441,0.125
39,1211.147,0.053
40,1210.842,0.122
41,1208.227,0.296
42,1204.76,0.069
43,1201.02,0.052
44,1200.936,0.051
45,1200.378,0.09
46,1197.664,0.088
47,1197.126,0.046
48,1191.717,0.054
49,1190.877,0.08
50,1189.799,0.038
51,1188.171,0.029
52,1186.934,0.027
53,1184.9,0.072
54,1184.667,0.049
55,1180.66,0.195
56,1179.615,0.068
57,1177.361,0.074
58,1176.001,0.062
59,1172.96,0.104
60,1172.291,0.071
61,1170.219,0.05
62,1170.037,0.168
63,1168.513,0.06
64,1168.216,0.073
65,1167.065,0.067
66,1167.059,0.932
67,1166.902,0.078
68,1165.967,0.037
69,1161.573,0.084
70,1158.895,0.055
71,1151.519,0.068
72,1150.902,0.047
73,1150.829,0.05
74,1150.099,0.733
75,1149.286,0.045
76,1149.284,0.073
77,1148.594,0.072
78,1148.566,0.054
79,1147.118,0.117
80,1145.855,0.061
81,1145.169,0.048
82,1144.852,0.044
83,1143.541,0.046
84,1143.466,0.102
85,1143.436,0.076
86,1138.887,0.04
87,1137.683,0.06
88,1135.463,0.08
89,1133.269,0.138
90,1131.216,0.054
91,1130.539,0.055
92,1129.984,0.052
93,1129.47,0.042
94,1127.454,0.079
95,1127.223,0.069
96,1124.516,0.103
97,1123.16,0.065
98,1122.805,0.039
99,1122.605,0.07
100,1121.662,0.059
101,1121.115,0.07
102,1118.5,0.122
103,1118.448,0.055
104,1117.519,0.039
105,1117.401,0.041
106,1116.423,0.052
107,1116.417,0.049
108,1113.478,0.044
109,1109.85,0.03
110,1108.853,0.091
111,1108.68,0.051
112,1107.653,0.058
113,1106.778,0.069
114,1106.74,0.031
115,1106.145,0.035
116,1105.467,0.069
117,1100.646,0.093
118,1100.609,0.036
119,1100.443,0.06
120,1100.023,0.046
121,1099.8,0.147
122,1098.709,0.05
123,1098.704,0.064
124,1094.908,0.22
125,1094.625,0.173
126,1093.799,0.034
127,1093.706,0.111
128,1093.586,0.079
129,1092.47,0.036
130,1091.074,0.056
131,1089.438,0.05
132,1089.25,0.05
133,1088.758,0.035
134,1088.49,0.047
135,1088.318,0.077
136,1087.94,0.041
137,1087.937,0.247
138,1087.542,0.073
139,1086.49,0.082
140,1085.061,0.056
141,1083.106,0.048
142,1082.795,0.058
143,1082.615,0.046
144,1081.738,0.034
145,1080.674,0.065
146,1080.288,0.043
147,1079.264,0.052
148,1078.208,0.097
149,1076.393,0.054
150,1075.673,0.031
151,1075.243,0.181
152,1075.179,0.049
153,1074.716,0.074
154,1073.835,0.07
155,1073.772,0.036
156,1073.244,0.026
157,1072.119,0.068
158,1071.704,0.057
159,1071.593,0.04
160,1071.337,0.074
161,1071.018,0.075
162,1070.299,0.071
163,1069.981,0.05
164,1068.589,0.049
165,1068.224,0.038
166,1068.096,0.063
167,1066.474,0.112
168,1065.388,0.034
169,1065.039,0.037
170,1064.34,0.045
171,1063.543,0.063
172,1062.393,0.049
173,1061.954,0.042
174,1061.62,0.03
175,1059.073,0.045
176,1058.867,0.053
177,1058.808,0.148
178,1058.725,0.051
179,1058.618,0.047
180,1058.168,0.054
181,1057.598,0.116
182,1057.504,0.064
183,1056.737,0.098
184,1056.341,0.076
185,1056.163,0.058
186,1055.083,0.073
187,1054.807,0.075
188,1052.484,0.066
189,1050.157,0.053
190,1050.145,0.034
191,1049.98,0.062
192,1049.477,0.054
193,1049.001,0.038
194,1047.285,0.056
195,1047.108,0.076
196,1046.746,0.063
197,1046.595,0.046
198,1046.464,0.046
199,1045.974,0.071
200,1045.858,0.053
201,1045.123,0.048
202,1044.011,0.045
203,1043.887,0.05
204,1043.54,0.044
205,1043.366,0.084
206,1043.284,0.112
207,1043.14,0.056
208,1042.988,0.049
209,1042.555,0.041
210,1041.925,0.063
211,1041.59,0.034
212,1040.774,0.068
213,1040.622,0.044
214,1039.56,0.059
215,1038.05,0.112
216,1037.98,0.055
217,1037.581,0.137
218,1036.597,0.041
219,1035.081,0.045
220,1034.638,0.07
221,1033.591,0.045
222,1032.937,0.046
223,1032.877,0.049
224,1031.589,0.082
225,1030.41,0.064
226,1030.314,0.041
227,1026.489,0.067
228,1026.246,0.051
229,1026.186,0.076
230,1024.526,0.033
231,1024.212,0.062
232,1023.675,0.085
233,1022.329,0.095
234,1021.932,0.052
235,1020.307,0.065
236,1020.278,0.07
237,1020.141,0.027
238,1020.075,0.04
239,1019.445,0.034
240,1019.417,0.047
241,1019.165,0.045
242,1019.098,0.095
243,1018.831,0.07
244,1018.727,0.045
245,1018.189,0.052
246,1017.824,0.06
247,1017.428,0.056
248,1016.999,0.062
249,1016.89,0.087
250,1016.533,0.035
251,1015.915,0.034
252,1015.553,0.047
253,1015.397,0.085
254,1015.043,0.047
255,1013.757,0.052
256,1013.756,0.058
257,1013.698,0.049
258,1012.998,0.053
259,1012.956,0.058
260,1012.253,0.03
261,1011.337,0.041
262,1010.988,0.031
263,1010.48,0.05
264,1010.427,0.042
265,1009.855,0.04
266,1006.96,0.092
267,1006.516,0.054
268,1005.051,0.055
269,1005.05,0.07
270,1003.742,0.054
271,1003.713,0.167
272,1003.604,0.048
273,1003.547,0.137
274,1002.805,0.058
275,1002.716,0.056
276,1002.151,0.034
277,1001.779,0.047
278,1001.661,0.055
279,1001.233,0.047
280,1000.994,0.054
281,1000.886,0.129
282,1000.812,0.04
283,1000.718,0.04
284,1000.581,0.077
285,1000.085,0.047
286,999.717,0.039
287,998.688,0.087
288,998.643,0.144
289,998.511,0.028
290,998.06,0.071
291,997.963,0.071
292,997.855,0.144
293,997.809,0.04
294,997.412,0.054
295,997.01,0.066
296,996.411,0.063
297,996.226,0.042
298,995.834,0.038
299,995.591,0.044
300,995.373,0.149
301,995.023,0.057
302,994.106,0.064
303,993.682,0.081
304,993.032,0.035
305,992.441,0.043
306,992.047,0.07
307,991.529,0.029
308,991.114,0.04
309,990.729,0.05
310,990.596,0.041
311,989.796,0.068
312,989.338,0.048
313,989.232,0.04
314,989.114,0.028
315,988.326,0.073
316,988.005,0.064
317,987.956,0.04
318,987.654,0.055
319,987.507,0.041
320,986.754,0.046
321,986.554,0.136
322,986.392,0.048
323,985.867,0.073
324,985.644,0.042
325,985.086,0.067
326,984.605,0.046
327,984.555,0.062
328,983.525,0.03
329,983.338,0.063
330,983.116,0.038
331,981.769,0.071
332,981.406,0.042
333,980.954,0.05
334,980.38,0.039
335,980.174,0.053
336,980.079,0.089
337,979.459,0.043
338,979.159,0.083
339,979.068,0.061
340,979.028,0.048
341,978.96,0.051
342,978.942,0.053
343,978.686,0.052
344,978.565,0.062
345,978.222,0.06
346,978.12,0.069
347,978.103,0.025
348,978.059,0.082
349,977.646,0.035
350,977.523,0.058
351,977.306,0.05
352,976.623,0.032
353,976.317,0.049
354,976.316,0.052
355,976.249,0.036
356,976.083,0.281
357,975.896,0.178
358,975.588,0.073
359,975.555,0.085
360,975.526,0.081
361,974.651,0.066
362,974.452,0.035
363,973.306,0.057
364,973.255,0.044
365,972.336,0.047
366,972.183,0.026
367,971.818,0.044
368,971.656,0.052
369,970.771,0.049
370,970.037,0.071
371,969.79,0.046
372,969.365,0.049
373,969.26,0.054
374,968.405,0.107
375,968.038,0.066
376,967.937,0.053
377,967.826,0.06
378,967.139,0.03
379,966.871,0.034
380,966.791,0.045
381,966.026,0.045
382,965.352,0.056
383,964.502,0.082
384,964.346,0.034
385,964.038,0.042
386,963.942,0.03
387,963.781,0.085
388,963.34,0.055
389,963.129,0.083
390,962.508,0.059
391,962.446,0.055
392,962.215,0.039
393,961.947,0.107
394,961.839,0.041
395,960.9,0.077
396,960.311,0.043
397,960.241,0.045
398,959.931,0.083
399,959.869,0.045
400,959.504,0.058
401,958.803,0.047
402,957.181,0.053
403,957.077,0.029
404,957.036,0.338
405,956.9,0.059
406,956.336,0.03
407,956.04,0.181
408,955.943,0.028
409,955.92,0.046
410,954.944,0.056
411,954.591,0.06
412,953.831,0.055
413,953.721,0.053
414,953.565,0.045
415,953.493,0.064
416,953.091,0.048
417,952.539,0.194
418,952.52,0.066
419,952.166,0.039
420,951.573,0.047
421,951.167,0.054
422,951.035,0.038
423,950.78,0.03
424,950.767,0.044
425,950.447,0.051
426,949.988,0.052
427,949.987,0.032
428,949.966,0.044
429,949.789,0.076
430,949.771,0.08
431,949.222,0.061
432,948.832,0.055
433,948.598,0.053
434,948.116,0.102
435,948.011,0.056
436,947.327,0.05
437,946.836,0.078
438,946.817,0.027
439,946.697,0.043
440,946.672,0.721
441,946.531,0.032
442,946.395,0.041
443,944.923,0.076
444,944.695,0.062
445,944.46,0.042
446,944.397,0.032
447,944.17,0.054
448,944.131,0.029
449,944.127,0.05
450,942.932,0.073
451,942.423,0.082
452,942.348,0.046
453,942.104,0.065
454,941.976,0.085
455,941.384,0.053
456,940.935,0.055
457,940.57,0.037
458,940.276,0.039
459,940.19,0.034
460,939.792,0.05
461,939.76,0.094
462,939.406,0.038
463,939.404,0.075
464,938.736,0.055
465,938.543,0.043
466,938.497,0.048
467,938.468,0.061
468,938.465,0.031
469,938.319,0.05
470,938.01,0.048
471,937.699,0.063
472,937.536,0.087
473,937.384,0.051
474,937.111,0.03
475,937.008,0.033
476,936.983,0.054
477,936.767,0.065
478,936.157,0.047
479,935.504,0.05
480,935.502,0.046
481,934.323,0.083
482,934.04,0.115
483,933.789,0.06
484,933.649,0.057
485,933.329,0.043
486,932.624,0.125
487,932.127,0.043
488,931.84,0.032
489,931.833,0.055
490,931.494,0.044
491,931.21,0.052
492,930.801,0.058
493,930.425,0.55
494,930.274,0.031
495,929.728,0.044
496,929.559,0.061
497,929.454,0.041
498,929.439,0.1
499,928.783,0.03
500,928.52,0.045
501,928.126,0.035
502,927.363,0.045
503,927.343,0.058
504,927.038,0.043
505,926.848,0.054
506,926.794,0.035
507,926.577,0.061
508,925.927,0.034
509,925.461,0.087
510,925.389,0.035
511,925.119,0.07
512,924.987,0.12
513,924.471,0.052
514,924.352,0.033
515,924.212,0.047
516,924.209,0.038
517,923.926,0.051
518,923.266,0.05
519,922.783,0.047
520,922.453,0.04
521,922.311,0.072
522,921.877,0.134
523,920.911,0.059
524,920.668,0.037
525,920.5,0.048
526,920.454,0.056
527,920.311,0.043
528,920.041,0.047
529,920.015,0.037
530,919.639,0.061
531,919.608,0.043
532,919.295,0.052
533,919.273,0.067
534,919.161,0.034
535,919.144,0.059
536,918.871,0.072
537,918.827,0.028
538,918.624,0.034
539,918.595,0.108
540,918.462,0.082
541,916.945,0.028
542,916.799,0.06
543,916.004,0.026
544,915.827,0.041
545,915.611,0.044
546,915.607,0.049
547,915.591,0.048
548,914.527,0.032
549,914.302,0.058
550,914.179,0.036
551,913.884,0.053
552,913.738,0.052
553,913.597,0.041
554,913.095,0.057
555,912.934,0.05
556,912.579,0.145
557,912.382,0.081
558,912.026,0.066
559,911.884,0.043
560,911.102,0.045
561,911.025,0.053
562,910.471,0.257
563,910.44,0.047
564,910.383,0.023
565,910.196,0.046
566,909.38,0.095
567,909.008,0.072
568,909.0,0.117
569,908.612,0.094
570,908.386,0.041
571,908.381,0.045
572,907.987,0.04
573,907.891,0.034
574,907.675,0.061
575,907.119,0.065
576,906.343,0.05
577,906.169,0.086
578,906.004,0.049
579,905.766,0.058
580,905.596,0.063
581,905.577,0.052
582,905.24,0.042
583,904.698,0.039
584,904.665,0.32
585,904.57,0.043
586,903.858,0.71
587,902.853,0.061
588,902.505,0.07
589,902.436,0.03
590,902.191,0.043
591,901.935,0.042
592,901.75,0.05
593,901.56,0.055
594,900.876,0.035
595,900.468,0.04
596,900.172,0.041
597,899.904,0.029
598,899.843,0.045
599,899.249,0.054
600,899.218,0.06
601,899.105,0.092
602,899.03,0.045
603,898.892,0.06
604,898.674,0.045
605,898.574,0.051
606,897.988,0.123
607,897.595,0.048
608,897.331,0.067
609,897.063,0.044
610,896.879,0.075
611,896.406,0.049
612,896.313,0.028
613,896.208,0.043
614,896.078,0.065
615,895.5,0.045
616,895.165,0.038
617,895.054,0.019
618,894.633,0.067
619,894.526,0.043
620,894.446,0.053
621,894.184,0.044
622,894.113,0.047
623,893.759,0.043
624,893.704,0.062
625,893.409,0.065
626,893.067,0.048
627,892.941,0.041
628,892.541,0.07
629,892.422,0.047
630,892.408,0.075
631,892.05,0.036
632,892.027,0.063
633,891.944,0.043
634,891.729,0.064
635,891.546,0.048
636,891.544,0.049
637,891.52,0.028
638,891.507,0.045
639,891.38,0.062
640,891.114,0.052
641,890.946,0.044
642,890.827,0.076
643,890.718,0.07
644,890.616,0.062
645,890.34,0.03
646,890.317,0.043
647,889.883,0.065
648,889.854,0.092
649,889.774,0.066
650,889.513,0.063
651,889.497,0.039
652,889.183,0.098
653,889.041,0.055
654,888.994,0.048
655,888.845,0.033
656,887.584,0.062
657,887.581,0.041
658,887.576,0.032
659,887.545,0.06
660,887.458,0.045
661,887.423,0.088
662,887.14,0.039
663,887.121,0.061
664,886.87,0.485
665,886.784,0.047
666,886.282,0.057
667,886.088,0.059
668,885.874,0.035
669,885.68,0.081
670,885.604,0.067
671,885.482,0.05
672,885.286,0.035
