rank,zdock_score,dockq
1,816.36,0.878
2,773.688,0.01
3,761.289,0.641
4,750.088,0.015
5,744.753,0.026
6,739.669,0.01
7,730.254,0.016
8,728.223,0.016
9,728.125,0.015
10,724.456,0.01
11,720.705,0.04
12,716.667,0.01
13,693.811,0.013
14,692.316,0.01
15,691.799,0.017
16,690.71,0.01
17,687.172,0.047
18,683.947,0.014
19,679.794,0.598
20,679.422,0.054
21,675.468,0.011
22,675.063,0.009
23,673.11,0.015
24,672.369,0.012
25,670.319,0.014
26,669.11,0.01
27,667.133,0.015
28,665.359,0.016
29,665.251,0.014
30,663.722,0.014
31,663.479,0.033
32,662.908,0.015
33,662.62,0.013
34,660.726,0.018
35,660.531,0.013
36,659.773,0.016
37,655.807,0.014
38,651.633,0.049
39,650.545,0.044
40,650.297,0.011
41,649.302,0.014
42,646.848,0.011
43,643.516,0.015
44,643.031,0.079
45,642.256,0.017
46,640.22,0.02
47,639.941,0.01
48,638.853,0.053
49,638.403,0.014
50,637.465,0.027
51,636.547,0.009
52,636.162,0.028
53,635.92,0.025
54,633.951,0.009
55,633.349,0.013
56,632.762,0.017
57,632.673,0.014
58,632.558,0.016
59,632.498,0.017
60,632.421,0.009
61,632.17,0.013
62,631.779,0.011
63,630.774,0.021
64,628.761,0.013
65,626.883,0.024
66,626.373,0.011
67,625.459,0.008
68,625.432,0.014
69,625.074,0.012
70,624.867,0.013
71,624.835,0.009
72,624.577,0.074
73,624.427,0.016
74,622.629,0.025
75,622.311,0.013
76,621.571,0.018
77,620.696,0.015
78,619.296,0.013
79,619.135,0.015
80,617.992,0.016
81,617.581,0.011
82,617.454,0.013
83,617.402,0.016
84,616.825,0.017
85,615.894,0.029
86,615.456,0.027
87,615.259,0.046
88,614.74,0.009
89,614.373,0.015
90,614.109,0.015
91,614.099,0.013
92,612.947,0.179
93,612.709,0.51
94,612.534,0.083
95,612.513,0.015
96,612.339,0.012
97,611.267,0.035
98,611.17,0.015
99,609.984,0.012
100,609.346,0.017
101,609.21,0.042
102,608.844,0.043
103,607.788,0.031
104,607.715,0.169
105,607.346,0.027
106,606.428,0.014
107,606.208,0.019
108,605.353,0.011
109,605.154,0.041
110,604.443,0.013
111,603.147,0.029
112,603.113,0.016
113,602.693,0.014
114,602.108,0.054
115,601.904,0.015
116,599.606,0.014
117,598.241,0.029
118,597.975,0.01
119,597.905,0.013
120,597.819,0.01
121,597.671,0.02
122,597.353,0.02
123,596.31,0.016
124,595.913,0.032
125,595.731,0.045
126,595.272,0.03
127,593.728,0.016
128,593.219,0.013
129,592.598,0.039
130,592.22,0.017
131,591.351,0.007
132,591.055,0.013
133,590.92,0.037
134,590.71,0.01
135,589.826,0.013
136,589.702,0.018
137,588.134,0.016
138,587.865,0.014
139,587.825,0.014
140,587.66,0.013
141,586.921,0.01
142,586.614,0.016
143,585.188,0.012
144,585.107,0.018
145,585.002,0.015
146,584.426,0.01
147,583.846,0.014
148,583.311,0.028
149,583.237,0.033
150,583.224,0.018
151,583.209,0.051
152,582.981,0.016
153,582.891,0.024
154,582.769,0.02
155,581.561,0.027
156,580.763,0.02
157,580.596,0.01
158,580.528,0.012
159,580.133,0.015
160,579.853,0.024
161,579.013,0.012
162,578.677,0.012
163,578.52,0.01
164,578.06,0.068
165,578.011,0.034
166,576.93,0.014
167,576.458,0.338
168,576.144,0.043
169,575.536,0.011
170,575.388,0.016
171,575.002,0.01
172,574.781,0.016
173,574.45,0.016
174,574.096,0.01
175,573.172,0.03
176,572.929,0.01
177,572.585,0.015
178,572.559,0.027
179,571.919,0.012
180,571.555,0.013
181,571.049,0.048
182,570.889,0.007
183,570.73,0.051
184,570.278,0.05
185,570.207,0.019
186,569.507,0.01
187,569.491,0.014
188,568.851,0.011
189,568.729,0.014
190,568.337,0.015
191,568.117,0.008
192,567.88,0.015
193,567.435,0.024
194,566.117,0.014
195,566.101,0.325
196,566.081,0.021
197,566.032,0.024
198,565.787,0.013
199,565.733,0.031
200,564.579,0.012
201,564.427,0.009
202,564.315,0.01
203,564.123,0.014
204,564.042,0.059
205,563.588,0.014
206,563.392,0.022
207,563.055,0.023
208,562.701,0.011
209,562.464,0.009
210,562.364,0.015
211,561.941,0.013
212,561.825,0.009
213,561.795,0.014
214,561.712,0.021
215,561.686,0.03
216,561.445,0.008
217,561.175,0.006
218,560.782,0.013
219,560.729,0.011
220,560.492,0.01
221,560.371,0.009
222,560.251,0.012
223,560.25,0.031
224,560.217,0.014
225,559.935,0.01
226,559.565,0.021
227,559.244,0.012
228,558.394,0.014
229,558.259,0.013
230,558.209,0.01
231,558.114,0.014
232,558.056,0.028
233,558.037,0.012
234,557.494,0.062
235,556.858,0.012
236,556.689,0.014
237,556.598,0.01
238,556.318,0.016
239,556.264,0.031
240,555.326,0.014
241,555.208,0.012
242,554.799,0.013
243,554.596,0.008
244,554.544,0.016
245,554.432,0.599
246,554.212,0.015
247,554.052,0.018
248,553.186,0.078
249,552.942,0.01
