rank,zdock_score,dockq
1,1447.69,0.006
2,1377.862,0.005
3,1347.571,0.006
4,1332.078,0.009
5,1256.724,0.007
6,1253.963,0.007
7,1224.024,0.053
8,1220.169,0.01
9,1213.909,0.005
10,1210.937,0.006
11,1196.64,0.005
12,1192.979,0.006
13,1192.487,0.006
14,1177.838,0.034
15,1174.283,0.007
16,1172.784,0.005
17,1155.602,0.038
18,1152.984,0.007
19,1151.854,0.005
20,1142.45,0.007
21,1134.535,0.037
22,1133.572,0.024
23,1130.14,0.005
24,1129.947,0.022
25,1116.449,0.02
26,1116.125,0.009
27,1114.704,0.007
28,1114.102,0.051
29,1110.883,0.005
30,1109.096,0.03
31,1107.631,0.007
32,1104.441,0.006
33,1102.094,0.006
34,1102.05,0.006
35,1100.375,0.042
36,1099.072,0.007
37,1095.567,0.005
38,1095.368,0.031
39,1094.793,0.035
40,1090.839,0.006
41,1090.723,0.007
42,1090.693,0.007
43,1090.389,0.033
44,1088.336,0.007
45,1087.783,0.005
46,1086.757,0.006
47,1083.52,0.024
48,1081.887,0.025
49,1081.832,0.018
50,1081.691,0.009
51,1080.254,0.006
52,1077.286,0.007
53,1076.143,0.004
54,1074.869,0.006
55,1071.883,0.007
56,1070.379,0.016
57,1069.58,0.038
58,1065.596,0.007
59,1064.535,0.01
60,1061.056,0.014
61,1058.235,0.007
62,1058.218,0.044
63,1057.499,0.008
64,1056.352,0.006
65,1056.229,0.034
66,1053.822,0.006
67,1052.734,0.005
68,1052.696,0.009
69,1050.824,0.007
70,1050.598,0.006
71,1050.421,0.014
72,1050.143,0.032
73,1049.355,0.005
74,1049.248,0.046
75,1048.539,0.007
76,1048.459,0.006
77,1047.477,0.042
78,1044.129,0.008
79,1043.458,0.006
80,1043.325,0.009
81,1043.047,0.026
82,1042.68,0.006
83,1041.939,0.045
84,1041.647,0.006
85,1038.067,0.008
86,1037.15,0.006
87,1036.637,0.008
88,1034.874,0.006
89,1034.46,0.006
90,1034.276,0.006
91,1033.443,0.036
92,1032.547,0.005
93,1030.52,0.006
94,1029.885,0.031
95,1029.75,0.029
96,1028.352,0.005
97,1027.555,0.017
98,1026.363,0.006
99,1025.898,0.004
100,1025.852,0.006
101,1025.418,0.031
102,1025.064,0.006
103,1024.482,0.028
104,1024.474,0.006
105,1023.592,0.043
106,1023.197,0.005
107,1023.192,0.007
108,1022.006,0.01
109,1020.965,0.008
110,1019.237,0.005
111,1018.064,0.024
112,1016.714,0.007
113,1015.816,0.005
114,1015.703,0.039
115,1014.35,0.035
116,1013.835,0.005
117,1013.592,0.032
118,1012.719,0.01
119,1011.877,0.007
120,1010.528,0.025
121,1010.474,0.005
122,1010.409,0.005
123,1009.951,0.027
124,1009.484,0.007
125,1008.519,0.006
126,1007.2,0.005
127,1007.131,0.022
128,1004.391,0.008
129,1003.698,0.009
130,1003.621,0.005
131,1003.289,0.043
132,1003.24,0.005
133,1002.975,0.025
134,1002.916,0.039
135,1002.741,0.006
136,1001.277,0.016
137,1001.273,0.005
138,1001.165,0.009
139,1000.53,0.005
140,999.63,0.007
141,999.266,0.016
142,998.543,0.007
143,998.205,0.023
144,998.193,0.034
145,997.111,0.007
146,996.631,0.008
147,996.191,0.018
148,995.007,0.006
149,994.941,0.006
150,993.635,0.025
151,993.427,0.007
152,992.79,0.046
153,992.51,0.006
154,991.371,0.017
155,990.553,0.028
156,990.052,0.006
157,990.051,0.005
158,988.976,0.025
159,988.297,0.005
160,988.117,0.006
161,987.918,0.006
162,987.707,0.03
163,987.152,0.005
164,986.844,0.005
165,986.818,0.012
166,986.474,0.005
167,986.248,0.007
168,986.203,0.006
169,985.821,0.007
170,984.788,0.006
171,983.777,0.012
172,983.533,0.021
173,983.333,0.006
174,983.238,0.019
175,983.15,0.01
176,982.742,0.012
177,982.453,0.011
178,982.062,0.036
179,982.041,0.037
180,981.926,0.017
181,981.812,0.04
182,981.78,0.013
183,981.418,0.03
