rank,zdock_score,dockq
1,1069.799,0.004
2,1042.417,0.004
3,1037.134,0.005
4,1032.082,0.005
5,995.956,0.005
6,991.029,0.005
7,973.989,0.005
8,970.485,0.005
9,963.725,0.005
10,955.752,0.005
11,950.315,0.004
12,947.349,0.004
13,945.223,0.004
14,944.353,0.005
15,943.644,0.005
16,936.05,0.004
17,935.348,0.005
18,934.207,0.004
19,928.11,0.005
20,927.715,0.005
21,925.127,0.005
22,924.086,0.005
23,921.4,0.005
24,920.271,0.004
25,910.967,0.004
26,909.94,0.005
27,905.516,0.005
28,905.433,0.005
29,902.778,0.004
30,898.77,0.006
31,898.402,0.007
32,897.525,0.005
33,896.321,0.004
34,893.718,0.004
35,892.927,0.004
36,892.278,0.004
37,892.07,0.006
38,891.82,0.004
39,891.617,0.004
40,889.787,0.004
41,889.647,0.004
42,889.611,0.004
43,889.027,0.004
44,888.694,0.004
45,887.922,0.006
46,885.211,0.004
47,882.636,0.004
48,882.053,0.006
49,881.26,0.005
50,878.081,0.004
51,877.496,0.004
52,875.535,0.005
53,870.873,0.005
54,868.777,0.008
55,868.212,0.004
56,867.556,0.004
57,863.88,0.004
58,862.877,0.004
59,862.421,0.004
60,862.266,0.004
61,860.786,0.005
62,859.596,0.004
63,858.832,0.005
64,858.141,0.007
65,856.963,0.004
66,856.262,0.004
67,855.961,0.004
68,853.273,0.006
69,852.821,0.005
70,850.827,0.004
71,850.379,0.004
72,849.529,0.006
73,849.006,0.004
74,848.758,0.005
75,848.627,0.004
76,848.077,0.006
77,847.172,0.005
78,845.7,0.004
79,842.985,0.004
80,841.797,0.003
81,839.9,0.004
82,839.071,0.004
83,839.008,0.006
84,837.799,0.004
85,837.755,0.004
86,836.918,0.005
87,836.627,0.004
88,835.693,0.004
89,834.272,0.005
90,832.792,0.004
91,830.942,0.004
92,829.744,0.005
93,829.667,0.004
94,828.199,0.004
95,828.117,0.004
96,828.011,0.004
97,827.129,0.005
98,826.903,0.004
99,826.698,0.004
100,826.0,0.004
101,825.792,0.004
102,823.564,0.004
103,822.189,0.006
104,821.879,0.005
105,821.684,0.004
106,820.195,0.005
107,818.006,0.005
108,817.544,0.004
109,817.061,0.006
110,815.85,0.005
111,815.758,0.006
112,815.607,0.004
113,815.491,0.005
114,814.366,0.004
115,813.839,0.004
116,813.25,0.004
117,813.107,0.005
118,812.902,0.005
119,811.788,0.005
120,811.513,0.004
121,810.75,0.004
122,810.144,0.006
123,809.856,0.004
124,809.135,0.004
125,808.911,0.004
126,808.522,0.005
127,807.563,0.004
128,807.545,0.006
129,807.328,0.005
130,807.282,0.004
131,806.714,0.005
132,806.582,0.004
133,806.549,0.004
134,806.309,0.004
135,805.999,0.005
136,805.102,0.005
137,804.348,0.007
138,802.941,0.004
139,802.911,0.004
140,802.843,0.004
141,802.117,0.004
142,801.313,0.004
143,801.264,0.004
144,801.24,0.004
145,800.206,0.004
146,798.006,0.005
147,797.953,0.005
148,797.4,0.005
149,797.016,0.004
150,796.593,0.004
151,796.286,0.004
152,794.182,0.004
153,793.83,0.004
154,790.546,0.005
155,790.229,0.004
156,789.492,0.005
157,789.383,0.006
158,788.169,0.003
159,787.88,0.004
160,787.705,0.005
161,787.571,0.005
162,787.508,0.004
163,787.105,0.004
164,785.473,0.005
165,785.387,0.004
166,785.32,0.004
167,785.292,0.005
168,784.062,0.005
169,784.058,0.005
170,784.0,0.005
171,783.915,0.004
172,783.374,0.005
173,783.188,0.004
174,782.379,0.004
175,781.789,0.004
176,781.618,0.004
177,780.961,0.005
178,779.719,0.004
179,779.563,0.004
180,779.477,0.004
181,778.152,0.004
182,778.128,0.004
183,777.689,0.005
184,777.394,0.004
185,776.394,0.004
186,776.138,0.004
187,775.703,0.005
188,775.614,0.004
189,773.905,0.004
190,773.869,0.006
191,773.366,0.004
192,773.148,0.007
193,773.031,0.006
194,772.986,0.004
195,772.215,0.004
196,772.194,0.004
197,772.129,0.004
198,771.99,0.005
199,771.848,0.006
200,771.61,0.004
201,771.424,0.005
202,771.271,0.004
203,771.091,0.004
204,770.868,0.005
205,770.469,0.004
206,769.812,0.005
207,769.635,0.004
208,769.53,0.004
209,769.497,0.005
210,769.374,0.005
211,769.337,0.004
212,769.115,0.004
213,769.001,0.004
214,768.78,0.004
215,768.665,0.005
216,767.68,0.006
217,767.181,0.004
218,767.084,0.004
219,766.636,0.004
220,766.445,0.004
221,766.429,0.004
222,765.845,0.005
223,765.725,0.004
224,765.576,0.004
225,765.258,0.005
226,763.952,0.004
227,763.615,0.003
228,763.24,0.004
229,763.029,0.005
230,762.983,0.005
231,762.75,0.004
232,762.622,0.004
233,762.139,0.004
234,762.005,0.004
235,761.891,0.004
236,761.68,0.004
237,761.597,0.004
238,761.5,0.007
239,761.446,0.005
240,761.413,0.005
241,761.345,0.004
242,761.281,0.005
243,761.101,0.004
244,761.07,0.004
245,760.324,0.006
246,760.16,0.004
247,760.118,0.004
248,759.918,0.007
249,759.846,0.005
250,759.828,0.004
251,759.589,0.004
252,759.283,0.004
253,759.161,0.004
254,758.975,0.005
255,758.334,0.006
256,758.11,0.005
257,757.708,0.005
258,756.34,0.003
259,756.0,0.005
260,755.562,0.004
261,755.519,0.004
262,755.39,0.004
263,755.351,0.004
264,755.166,0.005
265,754.445,0.004
266,753.47,0.004
267,752.711,0.008
268,752.413,0.004
269,752.404,0.003
270,752.23,0.006
271,751.822,0.004
272,751.743,0.004
273,751.699,0.004
274,751.402,0.004
275,751.244,0.004
276,751.204,0.004
277,750.668,0.005
278,750.376,0.004
279,750.195,0.004
280,749.547,0.005
281,749.428,0.005
282,749.305,0.004
283,749.195,0.004
284,748.924,0.006
285,748.913,0.004
286,748.876,0.005
287,748.605,0.004
288,747.994,0.005
289,747.378,0.004
290,747.136,0.004
291,746.714,0.005
292,746.471,0.005
293,746.354,0.005
294,746.03,0.003
295,745.758,0.005
296,745.363,0.005
297,745.262,0.006
298,745.195,0.004
299,745.151,0.004
300,745.137,0.006
301,745.059,0.005
302,744.996,0.005
303,744.773,0.006
304,744.625,0.005
305,743.799,0.004
306,743.798,0.004
307,743.318,0.004
308,743.098,0.006
309,742.992,0.004
310,742.847,0.005
311,742.605,0.006
312,742.573,0.008
313,742.162,0.005
314,741.966,0.005
315,741.679,0.004
316,741.265,0.004
317,741.207,0.006
318,741.088,0.005
319,740.984,0.004
320,740.889,0.004
321,740.724,0.004
322,740.53,0.007
323,740.523,0.004
324,740.254,0.004
325,740.218,0.005
326,740.143,0.006
327,739.569,0.005
328,739.553,0.005
329,739.231,0.004
330,739.151,0.004
331,737.826,0.004
332,737.49,0.005
333,737.441,0.004
334,737.4,0.007
335,737.289,0.004
336,737.154,0.005
337,736.846,0.004
338,736.802,0.004
339,736.443,0.005
340,736.434,0.004
341,735.917,0.004
342,735.885,0.004
343,735.797,0.005
344,735.617,0.005
345,735.593,0.004
346,735.377,0.004
347,735.369,0.004
348,735.155,0.004
349,735.009,0.004
350,734.855,0.005
351,734.832,0.004
352,734.584,0.004
353,734.541,0.005
354,734.442,0.004
355,734.375,0.005
356,734.352,0.005
357,733.937,0.004
358,733.862,0.005
359,733.849,0.004
360,733.826,0.005
361,733.781,0.007
362,733.775,0.007
363,733.596,0.004
364,733.517,0.004
365,733.054,0.006
366,732.916,0.005
367,732.914,0.004
368,732.785,0.004
369,732.411,0.004
370,732.332,0.004
371,731.683,0.004
372,731.264,0.004
373,731.051,0.006
374,730.965,0.005
375,730.755,0.005
376,730.419,0.004
377,730.375,0.005
378,730.32,0.004
379,730.121,0.004
380,730.08,0.005
381,729.866,0.004
382,729.779,0.005
383,729.37,0.004
384,729.242,0.007
385,728.976,0.004
386,728.85,0.004
387,728.604,0.006
388,728.147,0.004
389,727.698,0.004
390,727.171,0.004
391,727.132,0.004
392,727.089,0.004
393,727.038,0.005
394,726.835,0.007
395,726.46,0.004
396,726.337,0.003
397,726.319,0.005
398,726.286,0.004
399,726.28,0.004
400,726.239,0.005
401,726.151,0.004
402,726.125,0.004
403,726.116,0.004
404,725.934,0.004
405,725.473,0.004
406,725.309,0.005
407,724.947,0.005
408,724.625,0.005
409,724.557,0.004
410,724.537,0.004
411,724.07,0.008
412,723.667,0.004
413,723.397,0.004
414,723.387,0.004
415,723.382,0.004
416,723.214,0.006
417,723.144,0.005
418,723.124,0.005
419,722.998,0.004
420,722.994,0.004
421,722.97,0.004
422,722.912,0.005
423,722.547,0.005
424,722.256,0.004
425,722.146,0.004
426,722.126,0.004
427,722.116,0.005
428,721.755,0.005
429,721.746,0.005
430,721.415,0.005
431,721.075,0.004
432,721.018,0.004
433,720.802,0.004
434,720.518,0.004
435,720.448,0.006
436,720.143,0.004
437,720.056,0.004
438,719.939,0.004
439,719.893,0.005
440,719.876,0.004
441,719.767,0.004
442,719.742,0.004
443,719.193,0.004
444,718.852,0.004
445,718.759,0.004
446,718.451,0.005
447,718.275,0.004
448,718.168,0.004
449,718.099,0.004
450,718.08,0.004
451,717.812,0.004
452,717.662,0.005
453,717.59,0.007
454,717.497,0.004
455,717.419,0.005
456,717.412,0.004
457,717.365,0.004
458,717.344,0.006
459,717.219,0.004
460,717.129,0.004
461,717.084,0.004
462,717.04,0.004
463,716.995,0.004
464,716.643,0.005
465,716.435,0.004
466,716.412,0.005
467,716.216,0.005
468,716.16,0.004
469,716.035,0.004
470,715.268,0.005
471,715.235,0.004
472,715.137,0.004
473,714.956,0.004
474,714.916,0.005
475,714.88,0.004
476,714.847,0.004
477,714.797,0.004
478,714.783,0.004
479,714.733,0.004
480,714.68,0.004
481,713.914,0.006
482,713.821,0.005
483,713.668,0.004
484,713.345,0.005
485,713.335,0.004
486,713.257,0.005
487,713.085,0.004
488,712.744,0.004
489,712.74,0.006
490,712.74,0.004
491,712.722,0.004
492,712.586,0.004
493,712.531,0.004
494,712.018,0.006
495,711.838,0.004
496,711.832,0.005
497,711.776,0.004
498,711.555,0.004
499,711.306,0.005
500,711.095,0.004
501,711.07,0.005
502,711.026,0.005
503,710.976,0.004
504,710.957,0.005
505,710.871,0.004
506,710.58,0.005
507,710.476,0.004
508,710.291,0.004
509,710.234,0.005
510,710.03,0.004
511,710.016,0.008
