rank,zdock_score,dockq
1,973.428,0.08
2,908.888,0.057
3,879.984,0.061
4,861.769,0.052
5,849.143,0.105
6,847.853,0.072
7,843.148,0.173
8,837.78,0.056
9,837.491,0.04
10,835.656,0.078
11,828.176,0.081
12,821.656,0.076
13,809.179,0.055
14,808.443,0.065
15,804.034,0.038
16,801.571,0.061
17,800.185,0.045
18,793.85,0.059
19,787.827,0.061
20,782.809,0.058
21,776.359,0.076
22,766.574,0.074
23,759.022,0.071
24,756.198,0.087
25,749.714,0.134
26,748.848,0.078
27,747.937,0.08
28,746.922,0.096
29,745.505,0.051
30,745.501,0.113
31,745.248,0.032
32,743.78,0.064
33,742.995,0.056
34,742.569,0.049
35,742.054,0.08
36,738.943,0.054
37,735.314,0.053
38,732.728,0.052
39,732.33,0.109
40,729.709,0.056
41,728.106,0.065
42,726.756,0.147
43,725.244,0.07
44,722.853,0.064
45,722.411,0.047
46,721.277,0.135
47,720.844,0.179
48,720.523,0.083
49,719.99,0.047
50,717.223,0.092
51,717.081,0.044
52,714.605,0.05
53,714.359,0.142
54,714.337,0.064
55,713.703,0.043
56,712.288,0.059
57,709.39,0.043
58,706.647,0.074
59,705.56,0.062
60,705.505,0.093
61,702.952,0.065
62,702.738,0.039
63,702.416,0.047
64,701.337,0.068
65,700.825,0.048
66,699.538,0.054
67,698.956,0.05
68,696.728,0.057
69,696.051,0.06
70,695.655,0.375
71,695.383,0.068
72,694.815,0.053
73,693.327,0.048
74,689.787,0.06
75,688.922,0.042
76,685.683,0.091
77,684.184,0.057
78,684.069,0.074
79,683.54,0.093
80,683.318,0.049
81,680.42,0.042
82,674.418,0.084
83,672.931,0.085
84,671.758,0.068
85,671.737,0.065
86,671.693,0.119
87,670.517,0.05
88,670.319,0.067
89,669.811,0.073
90,669.676,0.093
91,669.291,0.065
92,668.437,0.072
93,668.346,0.053
94,667.798,0.066
95,667.725,0.054
96,667.037,0.06
97,666.071,0.039
98,665.83,0.098
99,665.693,0.083
100,665.588,0.044
101,664.941,0.109
102,662.5,0.04
103,661.963,0.048
104,661.556,0.044
105,660.834,0.054
106,660.763,0.138
107,660.019,0.08
108,659.609,0.112
109,658.266,0.053
110,657.648,0.076
111,656.368,0.062
112,655.423,0.067
113,654.847,0.09
114,653.355,0.076
115,652.407,0.133
116,651.841,0.063
117,651.578,0.087
118,651.473,0.046
