rank,zdock_score,dockq
1,988.769,0.009
2,960.411,0.011
3,940.034,0.009
4,935.915,0.009
5,897.179,0.013
6,888.391,0.009
7,883.625,0.011
8,882.131,0.019
9,880.761,0.012
10,879.167,0.009
11,877.921,0.023
12,877.011,0.019
13,859.106,0.014
14,854.472,0.008
15,852.882,0.053
16,850.425,0.012
17,845.3,0.018
18,843.759,0.014
19,842.804,0.017
20,839.751,0.008
21,835.729,0.015
22,832.886,0.018
23,830.333,0.018
24,829.333,0.009
25,822.956,0.016
26,820.694,0.025
27,819.881,0.008
28,819.384,0.008
29,816.264,0.008
30,813.735,0.012
31,810.923,0.008
32,809.958,0.011
33,809.619,0.019
34,806.399,0.012
35,801.057,0.025
36,800.474,0.01
37,798.509,0.012
38,796.111,0.008
39,794.319,0.015
40,793.749,0.013
41,793.084,0.012
42,792.703,0.011
43,791.569,0.008
44,789.01,0.014
45,788.772,0.012
46,787.146,0.009
47,786.573,0.018
48,785.723,0.015
49,785.68,0.008
50,785.455,0.012
51,785.289,0.013
52,783.809,0.011
53,783.761,0.02
54,779.602,0.008
55,777.529,0.008
56,775.303,0.011
57,775.27,0.012
58,775.202,0.009
59,774.82,0.01
60,772.832,0.008
61,771.106,0.015
62,769.201,0.017
63,768.693,0.016
64,768.511,0.013
65,768.064,0.016
66,767.213,0.008
67,767.006,0.011
68,766.657,0.016
69,766.383,0.024
70,765.697,0.016
71,765.63,0.038
72,763.688,0.017
73,762.324,0.011
74,761.606,0.011
75,760.231,0.015
76,759.946,0.012
77,755.853,0.009
78,753.454,0.01
79,752.607,0.011
80,752.036,0.01
81,751.996,0.011
82,751.297,0.009
83,750.418,0.011
84,750.074,0.019
85,749.454,0.012
86,745.58,0.008
87,745.368,0.029
88,744.766,0.016
89,744.358,0.018
90,744.162,0.014
91,744.156,0.01
92,742.855,0.011
93,742.524,0.011
94,742.497,0.025
95,742.305,0.009
96,742.227,0.015
97,741.585,0.01
98,741.159,0.01
99,740.22,0.027
100,740.175,0.017
101,740.073,0.014
102,739.878,0.013
103,739.407,0.03
104,739.381,0.017
105,738.717,0.034
106,737.45,0.007
107,737.109,0.018
108,735.816,0.024
109,735.726,0.033
110,735.725,0.013
111,735.578,0.025
112,735.451,0.03
113,735.314,0.012
114,735.186,0.009
115,734.708,0.014
116,734.657,0.008
117,733.501,0.01
118,733.435,0.031
119,733.009,0.013
120,731.954,0.019
121,730.007,0.006
122,729.56,0.014
123,729.499,0.01
124,729.331,0.046
125,729.051,0.026
126,727.852,0.01
127,727.697,0.011
128,727.457,0.017
129,726.84,0.017
130,726.71,0.015
131,726.479,0.01
132,726.138,0.035
133,725.942,0.01
134,724.741,0.016
135,724.694,0.023
136,723.308,0.016
137,722.778,0.02
138,721.392,0.016
139,720.869,0.012
140,720.338,0.01
141,719.665,0.009
142,719.332,0.011
143,719.288,0.024
144,718.62,0.013
145,718.542,0.018
146,718.343,0.009
147,718.163,0.007
148,717.497,0.014
149,717.191,0.016
150,717.128,0.011
151,715.642,0.015
152,715.626,0.011
153,715.069,0.014
154,714.558,0.009
155,714.507,0.02
156,714.319,0.011
157,714.252,0.01
158,714.123,0.008
159,714.039,0.021
160,714.016,0.009
161,713.994,0.007
162,713.274,0.014
163,713.058,0.012
164,713.031,0.012
165,712.931,0.011
166,712.211,0.01
167,711.74,0.008
168,711.615,0.014
169,711.321,0.011
170,710.538,0.008
171,710.171,0.012
172,709.983,0.021
173,709.517,0.02
174,709.17,0.012
175,708.823,0.01
176,708.216,0.01
177,708.024,0.014
178,707.975,0.015
179,707.493,0.008
180,707.487,0.014
181,707.032,0.01
182,706.813,0.028
