rank,zdock_score,dockq
1,1140.535,0.043
2,1090.128,0.031
3,1059.536,0.874
4,1057.711,0.224
5,1036.024,0.044
6,1026.166,0.596
7,1007.048,0.131
8,1006.421,0.033
9,999.76,0.043
10,991.136,0.044
11,972.684,0.713
12,964.343,0.075
13,963.447,0.18
14,957.275,0.062
15,957.068,0.076
16,952.823,0.037
17,952.796,0.037
18,952.576,0.132
19,948.283,0.701
20,948.052,0.034
21,948.022,0.035
22,945.707,0.043
23,945.656,0.034
24,944.745,0.031
25,944.476,0.05
26,937.34,0.046
27,936.318,0.028
28,934.705,0.037
29,934.275,0.041
30,929.146,0.032
31,921.494,0.029
32,918.317,0.037
33,913.916,0.036
34,912.154,0.151
35,911.585,0.03
36,909.683,0.045
37,908.406,0.032
38,907.435,0.045
39,906.453,0.043
40,904.261,0.029
41,898.765,0.037
42,898.024,0.038
43,897.949,0.072
44,897.167,0.05
45,896.186,0.107
46,896.155,0.034
47,895.946,0.044
48,894.762,0.029
49,894.031,0.033
50,891.577,0.812
51,888.573,0.043
52,887.484,0.082
53,886.978,0.137
54,886.885,0.038
55,886.405,0.032
56,885.146,0.043
57,884.377,0.128
58,882.366,0.03
59,879.855,0.057
60,878.419,0.073
61,876.94,0.076
62,872.499,0.047
63,872.058,0.105
64,871.53,0.033
65,870.485,0.038
66,869.447,0.045
67,869.267,0.031
68,868.443,0.04
69,867.875,0.043
70,866.95,0.104
71,865.379,0.053
72,864.986,0.141
73,864.857,0.053
74,863.521,0.034
75,862.201,0.032
76,861.68,0.061
77,861.075,0.061
78,861.031,0.026
79,860.792,0.032
80,860.706,0.038
81,860.554,0.061
82,858.978,0.04
83,858.369,0.044
84,855.824,0.035
85,855.529,0.081
86,855.136,0.043
87,853.795,0.039
88,853.13,0.033
89,847.61,0.03
90,846.026,0.076
91,846.001,0.037
92,844.21,0.059
93,843.834,0.034
94,843.698,0.06
95,843.116,0.057
96,841.989,0.035
97,841.33,0.204
98,840.354,0.051
99,839.175,0.038
100,838.246,0.03
101,838.2,0.085
102,837.3,0.026
103,837.222,0.108
104,837.15,0.037
105,837.137,0.03
106,835.329,0.045
107,835.246,0.038
108,833.31,0.043
109,833.238,0.043
110,833.088,0.035
111,832.744,0.036
112,832.587,0.033
113,832.486,0.034
114,831.401,0.027
115,830.763,0.044
116,830.264,0.028
117,828.905,0.077
118,828.483,0.046
119,828.451,0.099
120,827.634,0.034
121,827.532,0.032
122,827.246,0.041
123,827.229,0.051
124,827.129,0.039
125,826.985,0.072
126,826.474,0.048
127,826.366,0.046
128,825.183,0.044
129,824.76,0.03
130,824.707,0.037
131,823.264,0.032
132,823.256,0.205
133,822.28,0.079
134,820.926,0.037
135,820.299,0.038
136,819.54,0.104
137,818.553,0.044
138,818.488,0.034
139,818.47,0.064
140,817.651,0.056
141,816.759,0.033
142,816.728,0.071
143,816.416,0.037
144,815.432,0.036
145,815.071,0.035
146,814.96,0.192
147,814.775,0.039
148,814.568,0.03
149,814.427,0.043
150,814.424,0.032
151,813.453,0.031
152,812.967,0.066
153,812.428,0.08
154,811.574,0.041
155,810.299,0.053
156,809.817,0.039
157,809.518,0.033
158,808.187,0.513
159,808.147,0.03
160,808.115,0.033
161,808.009,0.05
162,807.301,0.033
163,806.929,0.029
164,806.808,0.039
165,804.045,0.053
166,802.34,0.034
167,802.067,0.038
168,801.375,0.033
169,801.217,0.076
170,799.889,0.06
171,799.789,0.044
172,799.362,0.034
173,799.298,0.038
174,796.849,0.041
175,796.68,0.069
176,795.938,0.042
177,795.234,0.029
178,795.137,0.037
179,795.099,0.041
180,793.948,0.029
181,793.54,0.082
182,793.012,0.028
183,792.701,0.07
184,792.527,0.031
185,792.373,0.037
186,792.164,0.029
187,791.922,0.044
188,791.909,0.041
189,790.852,0.076
190,789.991,0.032
191,789.826,0.044
192,789.613,0.044
193,789.454,0.044
194,788.401,0.054
195,788.177,0.034
196,787.84,0.036
197,787.731,0.027
198,787.568,0.036
199,787.516,0.034
200,787.49,0.042
201,786.984,0.224
202,786.892,0.041
203,786.722,0.032
204,786.599,0.025
205,786.403,0.036
206,786.148,0.052
207,786.052,0.066
208,785.763,0.063
209,785.65,0.034
210,784.816,0.079
211,784.495,0.037
212,781.985,0.062
213,781.9,0.046
214,781.339,0.045
215,781.182,0.033
216,780.971,0.04
217,780.906,0.042
218,780.509,0.039
219,780.457,0.069
220,779.733,0.064
221,779.621,0.041
222,779.307,0.036
223,779.201,0.031
224,779.034,0.036
225,778.866,0.075
226,778.693,0.033
227,778.616,0.042
228,778.56,0.035
229,778.09,0.069
230,778.062,0.036
231,777.932,0.039
232,777.612,0.024
233,777.587,0.048
234,776.88,0.082
235,776.851,0.031
236,776.107,0.03
237,775.578,0.037
238,775.577,0.034
239,774.794,0.024
240,774.581,0.04
241,772.859,0.034
242,772.723,0.028
243,772.359,0.042
244,772.125,0.029
245,771.791,0.045
246,771.514,0.036
247,771.371,0.026
248,769.151,0.08
249,769.102,0.033
250,768.167,0.05
251,768.044,0.046
252,767.838,0.071
253,767.501,0.049
254,766.907,0.041
255,766.842,0.055
256,766.059,0.082
257,765.325,0.064
258,764.903,0.036
259,764.851,0.035
260,764.744,0.031
261,764.737,0.029
262,764.281,0.042
263,764.28,0.04
264,764.238,0.038
265,764.211,0.037
266,764.077,0.034
267,763.55,0.044
268,763.548,0.031
269,762.59,0.028
270,762.124,0.606
271,762.009,0.028
272,761.983,0.108
273,761.375,0.05
274,760.505,0.031
275,760.341,0.087
276,759.856,0.11
277,759.584,0.047
278,759.495,0.025
279,759.322,0.042
280,759.181,0.028
281,758.684,0.042
282,757.912,0.031
283,757.853,0.03
284,757.048,0.035
285,755.736,0.075
286,754.852,0.035
287,754.835,0.127
288,754.612,0.044
289,754.546,0.03
290,753.959,0.098
291,753.89,0.026
292,753.561,0.312
293,753.3,0.056
294,752.958,0.037
295,752.628,0.024
296,752.625,0.035
297,752.313,0.033
298,751.425,0.031
299,750.997,0.037
300,750.89,0.041
301,749.443,0.037
302,749.259,0.083
303,749.091,0.027
304,748.81,0.029
305,748.516,0.042
306,748.329,0.044
307,748.169,0.054
308,747.925,0.037
309,747.646,0.023
310,747.2,0.034
311,747.075,0.039
312,747.031,0.027
313,746.801,0.015
314,746.219,0.033
315,746.133,0.035
316,745.885,0.076
317,745.854,0.023
318,745.849,0.027
319,744.946,0.075
320,744.933,0.033
321,744.596,0.057
322,744.584,0.026
323,744.317,0.064
324,744.156,0.038
325,743.997,0.035
326,743.675,0.049
327,743.453,0.031
328,743.215,0.075
329,742.906,0.033
330,742.749,0.034
331,742.728,0.03
332,742.685,0.056
333,741.886,0.032
334,741.572,0.039
335,741.443,0.041
336,741.275,0.056
337,741.252,0.056
338,741.145,0.112
339,740.925,0.045
340,740.908,0.039
341,740.405,0.034
342,740.371,0.036
343,740.302,0.041
344,740.292,0.037
345,740.29,0.041
346,740.13,0.036
347,739.577,0.071
348,738.995,0.033
349,738.95,0.048
350,738.849,0.041
351,738.843,0.035
352,738.684,0.052
353,738.615,0.069
354,738.314,0.029
355,738.287,0.041
356,737.862,0.087
357,737.857,0.074
358,737.847,0.057
359,737.259,0.034
360,736.804,0.035
361,736.105,0.039
362,735.828,0.058
363,734.936,0.035
364,734.657,0.041
365,733.945,0.042
366,733.314,0.022
367,733.01,0.035
368,732.947,0.034
369,732.909,0.042
370,732.745,0.031
371,732.344,0.039
372,731.29,0.133
373,731.041,0.036
374,730.448,0.046
375,729.199,0.043
376,729.071,0.032
377,728.741,0.083
378,728.677,0.036
379,728.345,0.03
380,727.935,0.04
381,727.529,0.033
382,727.451,0.065
383,727.333,0.044
384,727.195,0.073
385,726.864,0.062
386,726.585,0.035
387,726.479,0.033
388,726.463,0.035
389,725.758,0.04
390,725.692,0.045
391,725.393,0.026
392,724.999,0.077
393,724.972,0.083
394,724.917,0.04
395,724.812,0.072
396,724.368,0.05
397,723.953,0.094
398,723.326,0.045
399,723.171,0.03
400,723.057,0.028
401,722.619,0.164
402,722.371,0.035
403,721.887,0.082
404,721.788,0.033
405,720.994,0.069
406,720.975,0.054
407,720.881,0.045
408,720.881,0.038
409,720.825,0.076
410,720.69,0.053
411,720.624,0.03
412,720.106,0.036
413,719.822,0.039
414,719.478,0.05
415,718.92,0.042
416,718.574,0.043
417,718.489,0.033
418,718.196,0.043
419,718.105,0.04
420,717.977,0.028
421,717.91,0.073
422,717.831,0.029
423,717.561,0.032
424,717.273,0.078
425,717.177,0.038
426,716.904,0.023
427,716.901,0.087
428,716.844,0.036
429,716.821,0.044
430,716.519,0.033
431,716.26,0.028
432,716.185,0.035
433,715.926,0.057
434,715.84,0.084
435,715.496,0.041
436,715.397,0.041
437,715.062,0.026
438,714.826,0.027
439,714.819,0.088
440,714.776,0.051
441,714.312,0.038
442,713.887,0.051
443,713.473,0.032
444,713.27,0.065
445,713.244,0.033
446,713.223,0.026
447,712.787,0.077
448,712.027,0.056
449,711.594,0.029
450,711.129,0.028
451,711.042,0.033
452,710.885,0.04
453,710.422,0.031
454,710.361,0.034
455,710.113,0.032
456,710.102,0.079
457,710.088,0.027
458,709.947,0.043
459,709.821,0.036
460,709.771,0.027
461,709.545,0.042
462,709.063,0.029
463,708.956,0.034
464,708.858,0.047
465,708.701,0.055
466,708.669,0.017
467,708.482,0.09
468,707.811,0.079
469,707.755,0.038
470,707.175,0.031
471,707.15,0.043
472,707.069,0.034
473,706.879,0.064
474,706.685,0.035
475,706.234,0.037
476,706.2,0.036
477,706.17,0.046
478,705.785,0.031
479,705.726,0.024
480,705.519,0.042
481,705.424,0.044
482,705.39,0.021
483,705.39,0.051
484,705.184,0.033
485,705.137,0.03
486,705.032,0.041
487,704.758,0.049
488,704.706,0.028
489,704.696,0.038
490,704.175,0.027
491,703.722,0.046
492,703.462,0.044
493,703.424,0.038
494,703.31,0.028
495,703.093,0.043
496,702.795,0.191
497,702.137,0.026
498,702.02,0.057
499,701.791,0.079
500,701.357,0.037
501,701.325,0.041
502,701.24,0.114
503,701.141,0.031
504,700.875,0.028
505,700.828,0.083
506,700.688,0.041
507,700.219,0.031
508,700.104,0.051
509,699.95,0.064
510,699.941,0.059
511,699.787,0.041
512,699.656,0.044
513,699.637,0.04
514,699.539,0.034
515,699.504,0.081
516,699.461,0.093
517,699.086,0.057
518,698.551,0.058
519,698.541,0.036
520,698.399,0.059
521,698.317,0.07
522,698.01,0.033
523,697.971,0.03
524,697.099,0.067
525,696.953,0.028
526,696.927,0.068
527,696.905,0.063
528,696.861,0.032
529,696.749,0.035
530,696.541,0.029
531,696.444,0.043
532,696.419,0.043
533,696.154,0.036
534,696.139,0.034
535,695.677,0.028
536,695.561,0.029
537,695.324,0.036
538,695.233,0.033
539,695.125,0.029
540,694.941,0.025
541,694.897,0.022
542,694.873,0.04
543,694.693,0.03
544,694.455,0.065
545,694.414,0.029
546,694.187,0.041
547,693.893,0.031
548,693.307,0.026
549,693.201,0.041
550,692.996,0.039
551,692.886,0.024
552,692.648,0.028
553,692.403,0.049
554,692.355,0.148
555,692.152,0.061
556,692.083,0.037
557,691.881,0.03
558,691.579,0.095
559,691.503,0.042
560,691.494,0.038
561,691.483,0.029
562,691.431,0.033
563,691.412,0.022
564,691.394,0.028
565,691.207,0.038
566,691.191,0.034
567,690.804,0.028
568,689.873,0.029
569,689.803,0.04
570,689.607,0.058
571,689.485,0.028
572,689.118,0.042
573,688.811,0.029
574,688.475,0.038
575,687.606,0.023
576,687.53,0.033
577,687.451,0.035
578,687.356,0.151
579,686.483,0.037
580,686.415,0.045
581,686.34,0.052
582,686.082,0.033
583,686.048,0.024
584,686.012,0.036
585,685.907,0.028
586,685.794,0.069
587,685.632,0.431
588,685.118,0.043
589,685.059,0.056
590,685.049,0.043
591,684.928,0.027
592,684.109,0.037
593,684.064,0.029
594,683.983,0.094
595,683.84,0.028
596,683.497,0.037
597,683.131,0.033
598,683.095,0.032
599,683.04,0.027
600,682.728,0.028
601,682.466,0.03
602,682.366,0.045
603,682.219,0.056
604,682.177,0.027
605,681.983,0.032
606,681.943,0.061
607,681.803,0.065
608,681.743,0.027
609,681.729,0.178
610,681.486,0.032
611,681.384,0.035
612,681.345,0.034
613,681.136,0.025
614,680.99,0.036
615,680.983,0.027
616,680.982,0.039
617,680.632,0.048
618,680.596,0.026
619,680.4,0.072
620,680.095,0.075
621,679.981,0.107
622,679.924,0.042
623,679.753,0.033
624,679.665,0.051
625,679.002,0.02
626,678.886,0.026
627,678.864,0.105
628,678.733,0.034
629,678.575,0.045
630,678.534,0.035
631,678.5,0.031
632,678.48,0.03
633,677.983,0.151
634,677.929,0.066
635,677.735,0.051
636,677.648,0.056
637,677.577,0.046
638,677.22,0.035
639,676.973,0.075
640,676.698,0.043
641,676.345,0.089
642,676.05,0.046
643,675.616,0.04
644,675.3,0.033
645,675.104,0.054
646,675.075,0.045
647,674.757,0.037
648,674.718,0.04
649,674.688,0.034
650,674.307,0.042
651,674.224,0.05
652,674.173,0.035
653,674.161,0.038
654,674.088,0.03
655,674.011,0.049
656,673.962,0.667
657,673.468,0.035
658,673.414,0.033
659,673.19,0.079
660,672.982,0.032
661,672.925,0.038
662,672.79,0.033
663,672.618,0.051
664,672.542,0.043
665,672.487,0.646
666,672.433,0.025
667,672.351,0.037
668,672.317,0.035
669,672.266,0.033
670,671.661,0.038
671,671.592,0.031
672,671.3,0.031
673,671.242,0.03
674,670.536,0.428
675,670.462,0.038
676,670.446,0.041
677,670.295,0.032
678,670.237,0.035
679,670.206,0.037
680,670.065,0.028
681,669.996,0.039
682,669.973,0.02
683,669.908,0.078
684,669.872,0.035
685,669.832,0.035
686,669.799,0.087
687,669.79,0.022
688,669.784,0.027
689,669.663,0.045
690,669.438,0.039
691,669.323,0.038
692,669.291,0.021
693,669.249,0.05
694,669.187,0.024
695,669.102,0.045
696,668.784,0.054
697,668.204,0.032
698,668.203,0.125
699,667.622,0.062
700,667.562,0.039
701,667.56,0.209
702,667.539,0.033
703,667.461,0.22
704,667.379,0.029
705,667.286,0.062
706,667.175,0.026
707,667.053,0.046
708,666.938,0.553
709,666.442,0.022
710,666.409,0.04
711,666.341,0.041
712,666.196,0.036
713,666.167,0.071
714,666.006,0.071
715,665.85,0.064
716,665.494,0.043
717,665.358,0.068
718,665.254,0.022
719,664.022,0.055
