rank,zdock_score,dockq
1,885.769,0.053
2,783.516,0.023
3,782.8,0.019
4,781.011,0.02
5,773.92,0.13
6,773.6,0.027
7,768.385,0.027
8,752.059,0.025
9,744.289,0.032
10,725.901,0.015
11,722.332,0.019
12,714.427,0.013
13,700.405,0.011
14,696.339,0.014
15,692.652,0.015
16,690.661,0.019
17,688.021,0.012
18,688.019,0.027
19,684.838,0.01
20,683.104,0.02
21,681.972,0.012
22,681.684,0.109
23,677.944,0.038
24,677.204,0.017
25,676.896,0.026
26,676.493,0.02
27,676.233,0.019
28,673.863,0.012
29,669.664,0.01
30,665.435,0.013
31,664.723,0.019
32,664.312,0.04
33,661.58,0.012
34,661.214,0.027
35,659.868,0.013
36,656.513,0.012
37,654.866,0.012
38,653.783,0.012
39,653.735,0.016
40,653.695,0.021
41,652.926,0.015
42,652.731,0.011
43,652.175,0.015
44,649.922,0.011
45,647.547,0.047
46,647.174,0.014
47,645.706,0.013
48,642.879,0.081
49,641.249,0.024
50,639.316,0.012
51,638.837,0.01
52,637.86,0.015
53,637.158,0.168
54,635.745,0.014
55,635.569,0.019
56,633.844,0.043
57,632.897,0.018
58,632.349,0.036
59,631.874,0.011
60,629.983,0.021
61,629.457,0.022
62,629.098,0.025
63,628.849,0.018
64,628.018,0.017
65,627.482,0.012
66,625.315,0.012
67,623.203,0.013
68,622.45,0.023
69,620.539,0.012
70,620.212,0.011
71,617.551,0.041
72,617.378,0.011
73,617.126,0.01
74,616.554,0.01
75,615.79,0.029
76,615.474,0.013
77,615.193,0.01
78,615.177,0.02
79,613.637,0.032
80,613.135,0.017
81,613.073,0.032
82,612.503,0.029
83,612.329,0.037
84,611.709,0.012
85,610.838,0.036
86,610.73,0.036
87,610.539,0.017
88,610.06,0.012
89,609.886,0.013
90,608.547,0.034
91,608.469,0.032
92,607.671,0.022
93,606.767,0.011
94,606.044,0.014
95,605.874,0.033
96,605.729,0.018
97,603.033,0.017
98,602.921,0.018
99,602.894,0.017
100,602.28,0.012
101,601.962,0.012
102,601.319,0.025
103,599.894,0.02
104,599.621,0.022
105,599.202,0.013
106,598.62,0.027
107,598.598,0.015
108,598.419,0.022
109,598.215,0.009
110,598.202,0.022
111,598.105,0.014
112,597.738,0.017
113,596.488,0.035
114,596.295,0.019
115,595.763,0.012
116,595.27,0.016
117,594.673,0.01
118,594.28,0.013
119,594.051,0.013
120,593.975,0.017
121,592.95,0.019
122,592.486,0.047
123,592.315,0.071
124,592.092,0.025
125,591.915,0.018
126,591.182,0.016
127,590.527,0.011
128,589.847,0.019
129,589.707,0.01
130,589.663,0.026
131,589.612,0.009
132,589.493,0.01
133,589.468,0.012
134,588.89,0.017
135,588.5,0.034
136,588.35,0.009
137,588.339,0.026
138,588.035,0.017
139,588.02,0.014
140,587.579,0.023
141,587.568,0.011
142,587.521,0.034
143,587.254,0.038
144,586.965,0.017
145,586.924,0.017
146,586.804,0.019
147,586.624,0.023
148,586.574,0.012
149,586.479,0.02
150,586.442,0.035
151,586.376,0.009
152,586.349,0.024
153,585.926,0.012
154,585.713,0.029
155,585.688,0.027
156,585.453,0.016
157,584.482,0.021
158,583.368,0.028
159,583.234,0.022
160,583.186,0.022
161,582.411,0.018
162,582.378,0.014
163,582.212,0.02
164,582.111,0.012
165,582.024,0.028
166,581.946,0.018
167,581.384,0.015
168,581.265,0.032
169,580.352,0.032
170,580.263,0.021
171,579.175,0.034
172,579.06,0.012
173,578.786,0.017
174,578.435,0.012
175,578.386,0.023
176,578.155,0.02
177,578.105,0.028
178,578.046,0.044
179,577.634,0.02
180,577.616,0.019
181,577.452,0.023
182,577.39,0.018
183,577.139,0.011
184,576.863,0.035
185,576.782,0.014
186,576.727,0.024
187,576.662,0.029
188,576.615,0.011
189,575.481,0.03
190,575.128,0.022
191,575.116,0.01
192,575.1,0.027
193,574.515,0.012
194,574.506,0.026
195,573.887,0.01
196,573.828,0.024
197,573.805,0.025
198,573.691,0.018
199,573.559,0.012
200,573.21,0.03
201,572.689,0.024
202,572.663,0.017
203,572.447,0.017
204,572.07,0.036
205,572.021,0.031
206,571.898,0.01
207,571.681,0.017
208,571.305,0.066
209,570.835,0.024
210,570.648,0.016
211,570.606,0.014
212,570.532,0.044
213,570.271,0.029
214,570.125,0.014
215,569.845,0.011
216,569.837,0.023
217,569.755,0.014
218,569.345,0.015
219,568.778,0.027
220,568.546,0.013
221,568.479,0.018
222,567.684,0.012
223,567.575,0.021
224,567.047,0.019
225,566.868,0.025
226,566.817,0.014
227,566.746,0.015
228,566.526,0.029
229,566.451,0.01
230,566.333,0.022
231,565.976,0.019
232,565.963,0.08
233,565.837,0.013
234,565.235,0.012
235,565.12,0.012
236,565.076,0.016
237,564.075,0.029
238,563.932,0.042
239,563.903,0.009
240,563.829,0.012
241,563.632,0.033
242,563.456,0.012
243,563.31,0.02
244,563.037,0.013
245,562.848,0.03
246,562.741,0.013
247,562.553,0.01
248,562.467,0.022
249,561.91,0.032
250,561.113,0.022
251,561.097,0.026
252,561.045,0.042
253,560.752,0.012
254,560.724,0.013
255,560.584,0.027
256,560.554,0.055
257,560.343,0.02
258,560.342,0.175
259,559.763,0.022
260,559.448,0.027
261,558.967,0.017
262,558.509,0.016
263,558.055,0.012
264,558.008,0.026
265,557.852,0.013
266,557.519,0.019
267,557.241,0.008
268,557.096,0.039
269,557.047,0.035
270,556.724,0.012
271,556.466,0.016
272,556.318,0.022
273,556.263,0.035
274,556.26,0.012
275,556.051,0.023
276,556.015,0.017
277,555.715,0.018
278,555.713,0.01
279,555.705,0.01
280,555.648,0.031
281,555.259,0.021
282,555.136,0.012
283,555.023,0.019
284,554.508,0.026
285,554.502,0.01
286,554.24,0.013
287,554.135,0.021
288,554.132,0.032
289,553.68,0.011
290,553.455,0.046
291,553.45,0.038
292,553.182,0.026
293,553.048,0.02
294,552.96,0.012
295,552.609,0.02
296,552.407,0.014
297,552.406,0.01
298,551.89,0.027
299,551.723,0.013
300,551.659,0.025
301,551.54,0.028
302,551.485,0.023
303,551.407,0.021
304,551.268,0.01
305,551.229,0.013
306,551.203,0.011
307,550.956,0.032
308,550.937,0.02
309,550.769,0.026
310,550.615,0.009
311,550.195,0.022
312,549.985,0.012
313,549.75,0.012
314,549.697,0.021
315,549.295,0.016
316,549.276,0.02
317,549.242,0.025
318,548.688,0.016
319,548.619,0.013
320,548.416,0.018
321,547.674,0.017
322,547.674,0.016
323,547.386,0.029
324,547.274,0.026
325,546.401,0.024
326,546.239,0.016
327,546.212,0.019
328,545.757,0.014
329,545.128,0.022
330,545.009,0.011
331,544.992,0.02
332,544.948,0.019
333,544.915,0.016
334,544.812,0.032
335,544.7,0.015
336,544.675,0.018
337,544.586,0.037
338,544.374,0.039
339,544.138,0.056
340,544.131,0.017
341,543.967,0.025
342,543.891,0.015
343,543.715,0.02
344,543.589,0.01
345,543.505,0.022
346,543.365,0.011
347,543.081,0.012
348,542.965,0.014
349,542.693,0.05
350,542.589,0.011
351,542.553,0.031
352,541.994,0.026
353,541.994,0.017
354,541.62,0.023
355,541.598,0.021
356,541.56,0.013
357,541.283,0.02
358,541.135,0.027
359,541.067,0.012
360,540.881,0.015
361,540.785,0.008
362,540.711,0.012
363,540.67,0.013
364,540.357,0.025
365,539.988,0.02
366,539.354,0.012
367,539.34,0.012
368,538.992,0.022
369,538.429,0.022
370,538.41,0.058
371,538.319,0.009
372,538.29,0.023
373,538.193,0.045
374,538.089,0.011
375,537.247,0.035
376,536.963,0.019
377,536.953,0.024
378,536.816,0.034
379,536.698,0.02
380,536.522,0.028
381,536.5,0.024
382,536.419,0.054
383,536.288,0.028
384,536.086,0.01
385,536.036,0.031
386,535.789,0.044
387,535.547,0.026
388,535.469,0.032
389,535.461,0.012
390,535.434,0.011
391,535.359,0.008
392,535.348,0.026
393,535.274,0.016
394,534.96,0.029
395,534.828,0.015
396,534.635,0.02
397,534.593,0.01
398,534.511,0.011
399,534.257,0.029
400,534.113,0.019
401,534.044,0.034
402,533.957,0.019
403,533.784,0.044
404,533.771,0.013
405,533.516,0.039
406,533.223,0.015
407,532.789,0.022
408,532.576,0.034
409,532.519,0.015
410,532.354,0.015
411,532.312,0.009
412,532.179,0.014
413,532.154,0.013
414,532.132,0.017
415,532.073,0.011
416,531.978,0.023
417,531.97,0.014
418,531.946,0.018
419,531.779,0.016
420,531.621,0.02
421,531.436,0.027
422,531.111,0.02
423,531.105,0.032
424,531.035,0.017
425,531.004,0.036
426,530.883,0.028
427,530.758,0.012
428,530.755,0.013
429,530.58,0.378
430,530.452,0.01
431,530.408,0.054
432,530.112,0.032
433,529.903,0.013
434,529.898,0.012
435,529.766,0.034
436,529.715,0.012
437,529.644,0.012
438,529.47,0.016
439,529.385,0.017
440,529.378,0.032
441,529.318,0.011
442,529.221,0.013
443,529.017,0.026
444,528.96,0.042
445,528.73,0.023
446,528.593,0.016
447,528.548,0.016
448,528.525,0.011
449,528.381,0.033
450,527.895,0.018
451,527.764,0.015
452,527.463,0.012
453,527.446,0.02
454,527.392,0.014
455,527.202,0.015
456,527.062,0.049
457,526.719,0.011
458,526.453,0.011
459,526.446,0.01
460,526.342,0.038
461,526.153,0.024
462,526.056,0.016
463,526.01,0.013
464,525.772,0.015
465,525.699,0.022
466,525.636,0.02
467,525.5,0.028
468,525.491,0.109
469,525.345,0.018
470,525.024,0.028
471,524.789,0.021
472,524.789,0.015
473,524.766,0.013
474,524.68,0.011
475,524.648,0.155
476,524.462,0.016
477,524.435,0.038
478,524.398,0.016
479,524.348,0.015
480,524.251,0.011
481,524.237,0.023
482,524.172,0.041
483,524.101,0.23
484,524.057,0.045
485,523.943,0.02
486,523.894,0.03
487,523.883,0.013
488,523.778,0.011
489,523.734,0.019
490,523.44,0.026
491,523.384,0.01
492,523.066,0.017
493,523.026,0.011
494,522.915,0.011
495,522.888,0.012
496,522.831,0.012
497,522.787,0.086
498,522.702,0.011
499,522.635,0.037
500,522.324,0.016
501,522.196,0.012
502,522.114,0.016
503,521.938,0.019
504,521.922,0.012
505,521.676,0.011
506,521.67,0.019
507,521.658,0.022
508,521.562,0.02
509,521.299,0.027
510,521.162,0.021
511,520.884,0.013
512,520.88,0.04
513,520.686,0.029
514,520.597,0.026
515,520.578,0.035
516,520.555,0.013
517,520.485,0.022
518,520.339,0.018
519,520.199,0.012
520,520.091,0.036
521,519.994,0.014
522,519.886,0.012
523,519.795,0.022
524,519.551,0.032
525,519.488,0.009
526,519.452,0.014
527,519.338,0.074
528,519.068,0.013
529,518.925,0.03
530,518.671,0.02
531,518.625,0.012
532,518.526,0.012
533,518.273,0.016
534,518.199,0.011
535,517.943,0.021
536,517.935,0.022
537,517.878,0.032
538,517.708,0.023
539,517.492,0.014
540,517.398,0.011
541,517.016,0.024
542,516.971,0.015
543,516.841,0.026
544,516.815,0.017
545,516.728,0.022
546,516.644,0.043
547,516.463,0.036
548,516.31,0.019
549,516.149,0.01
550,516.128,0.019
551,516.026,0.022
552,515.773,0.015
553,515.54,0.021
554,515.534,0.019
555,515.528,0.028
556,515.413,0.019
557,515.295,0.029
558,515.258,0.012
559,514.857,0.018
560,514.847,0.021
561,514.812,0.024
562,514.806,0.01
563,514.666,0.017
564,514.58,0.016
565,514.482,0.023
566,514.434,0.029
567,514.334,0.084
568,514.257,0.022
569,514.008,0.012
570,513.769,0.031
571,513.733,0.012
572,513.509,0.024
573,513.465,0.022
574,513.347,0.013
575,513.209,0.041
576,513.103,0.016
577,513.027,0.033
578,512.913,0.028
579,512.743,0.024
580,512.721,0.012
581,512.584,0.017
582,512.577,0.03
583,511.979,0.033
584,511.792,0.026
585,511.694,0.023
586,511.505,0.017
587,511.499,0.018
588,511.373,0.022
589,511.302,0.027
590,511.248,0.024
591,511.016,0.011
592,510.947,0.121
593,510.883,0.018
594,510.83,0.011
595,510.79,0.023
596,510.625,0.024
597,510.586,0.011
598,510.478,0.027
599,510.391,0.015
600,510.385,0.018
601,510.298,0.024
602,510.215,0.016
603,510.13,0.012
604,510.062,0.029
605,510.032,0.03
606,509.916,0.013
607,509.902,0.049
608,509.838,0.082
609,509.743,0.015
610,509.314,0.019
611,509.188,0.02
612,509.148,0.027
613,509.146,0.02
614,509.117,0.021
