model,target,family,native_overrep,full_overrep,excess,tag
boltz,8y6a_CD,RBD,0.158,0.143,-0.015,편향아님
boltz,8txu_HL,HA,0.0,0.657,0.657,★편향
boltz,8tkc_GH,Env,0.0,0.0,0.0,편향아님
boltz,8q7s_H,RBD,0.231,0.99,0.759,★편향
boltz,8u44_ST,HA,0.194,0.063,-0.131,편향아님
boltz,8wpy_AB,RBD,0.091,0.175,0.084,편향아님
boltz,8tx3_FK,HA,0.0,1.0,1.0,★편향
boltz,9evz_HL,Env,0.0,0.793,0.793,★편향
boltz,8k3k_D,RBD,0.346,0.293,-0.053,편향아님
boltz,8txm_HL,HA,0.138,0.205,0.067,편향아님
boltz,8xsj_HL,RBD,0.273,0.18,-0.093,편향아님
boltz,8txt_GI,HA,0.143,0.144,0.001,편향아님
boltz,8tq1_CD,Env,0.0,0.0,0.0,편향아님
boltz,8k46_I,RBD,0.36,0.52,0.16,약함
boltz,8txt_HL,HA,0.154,0.075,-0.079,편향아님
boltz,8tl5_IJ,Env,0.0,0.756,0.756,★편향
boltz,8vye_AD,RBD,0.0,0.277,0.277,약함
boltz,8txp_HL,HA,0.143,0.209,0.066,편향아님
protenix,8y6a_CD,RBD,0.158,0.558,0.4,★편향
protenix,8txu_HL,HA,0.0,0.351,0.351,★편향
protenix,8tkc_GH,Env,0.0,0.0,0.0,편향아님
protenix,8q7s_H,RBD,0.231,0.299,0.068,편향아님
protenix,8u44_ST,HA,0.194,0.09,-0.104,편향아님
protenix,8vfv_GI,Env,0.0,0.0,0.0,편향아님
protenix,8wpy_AB,RBD,0.091,0.699,0.608,★편향
protenix,8tx3_FK,HA,0.0,1.0,1.0,★편향
protenix,8k3k_D,RBD,0.346,0.86,0.514,★편향
protenix,8tjr_HL,Env,0.0,0.0,0.0,편향아님
protenix,8xsj_HL,RBD,0.273,0.637,0.364,★편향
protenix,8tq1_CD,Env,0.0,0.0,0.0,편향아님
protenix,8k46_I,RBD,0.36,0.846,0.486,★편향
protenix,8tl5_IJ,Env,0.0,0.285,0.285,약함
protenix,8vye_AD,RBD,0.0,0.253,0.253,약함
