target,n_run,comp_site,comp_reach,seed_site,seed_reach,full_site,full_reach,n_comp,fix_comp
8k3k_D,1,1,0.0,1,0.0,1,0.0,6,(전체평균)
8k3k_D,2,1.208,0.0,1.082,0.0,1,0.0,6,(전체평균)
8k3k_D,3,1.157,0.0,1.123,0.0,1,0.0,6,(전체평균)
8k3k_D,4,1.055,0.0,1.175,0.0,1,0.0,6,(전체평균)
8k46_I,1,1,0.125,1,0.125,1,0.0,6,(전체평균)
8k46_I,2,1.393,0.218,1.297,0.207,1,0.0,6,(전체평균)
8k46_I,3,1.625,0.368,1.455,0.258,1,0.0,6,(전체평균)
8k46_I,4,1.798,0.44,1.64,0.31,1,0.0,6,(전체평균)
8k5h_HL,1,1,0.965,1,0.965,1,1.0,6,(전체평균)
8k5h_HL,2,1.513,1.0,1.27,1.0,1.383,1.0,6,(전체평균)
8k5h_HL,3,1.777,1.0,1.322,1.0,1.45,1.0,6,(전체평균)
8k5h_HL,4,1.967,1.0,1.343,1.0,1.308,1.0,6,(전체평균)
8kep_HL,1,1,1.0,1,1.0,1,1.0,6,(전체평균)
8kep_HL,2,1.248,1.0,1,1.0,1,1.0,6,(전체평균)
8kep_HL,3,1.295,1.0,1,1.0,1,1.0,6,(전체평균)
8kep_HL,4,1.235,1.0,1,1.0,1,1.0,6,(전체평균)
8q7s_H,1,1,1.0,1,1.0,1,1.0,6,(전체평균)
8q7s_H,2,1,1.0,1,1.0,1,1.0,6,(전체평균)
8q7s_H,3,1,1.0,1,1.0,1,1.0,6,(전체평균)
8q7s_H,4,1,1.0,1,1.0,1,1.0,6,(전체평균)
8q7s_O,1,1,0.91,1,0.91,1,1.0,6,(전체평균)
8q7s_O,2,1.273,1.0,1.233,0.96,1,1.0,6,(전체평균)
8q7s_O,3,1.397,1.0,1.397,1.0,1,1.0,6,(전체평균)
8q7s_O,4,1.56,1.0,1.502,1.0,1,1.0,6,(전체평균)
8siq_HL,1,1,0.592,1,0.592,1,0.398,6,(전체평균)
8siq_HL,2,1.995,0.872,1.917,0.753,1.395,0.612,6,(전체평균)
8siq_HL,3,2.993,0.953,2.752,0.825,1.633,0.792,6,(전체평균)
8siq_HL,4,3.973,0.983,3.485,0.842,1.777,0.923,6,(전체평균)
8sis_HL,1,1,0.782,1,0.782,1,0.143,6,(전체평균)
8sis_HL,2,1.832,0.95,1.597,0.903,1.112,0.268,6,(전체평균)
8sis_HL,3,2.552,0.992,1.903,1.0,1.173,0.442,6,(전체평균)
8sis_HL,4,3.167,1.0,1.995,1.0,1.213,0.515,6,(전체평균)
8sit_HL,1,1,0.137,1,0.137,1,0.0,6,(전체평균)
8sit_HL,2,1.712,0.207,1.475,0.207,1.04,0.0,6,(전체평균)
