target,selector,cand,n_comp,n_res,true_covered,precision,f1,from_full_msa
8k3k_D,ncomp_x_abemax,1,5,62,0.9615,0.4032,0.5681,False
8k46_I,ncomp_x_abemax,1,5,52,0.24,0.1154,0.1559,True
8siq_HL,ncomp_x_abemax,7,1,36,0.5926,0.4444,0.5079,True
8sis_HL,ncomp_x_abemax,1,5,107,1.0,0.2523,0.4029,True
8sit_HL,ncomp_x_abemax,1,6,63,0.8966,0.4127,0.5652,False
8t4a_PR,ncomp_x_abemax,1,4,90,1.0,0.1778,0.3019,False
8t4d_OQ,ncomp_x_abemax,1,3,123,1.0,0.2033,0.3379,False
8tp5_HL,ncomp_x_abemax,1,3,107,0.6296,0.1589,0.2538,True
8u44_ST,ncomp_x_abemax,1,6,57,0.7742,0.4211,0.5455,True
8ulr_HL,ncomp_x_abemax,2,4,71,0.9667,0.4085,0.5743,False
8ume_HL,ncomp_x_abemax,1,3,41,0.9545,0.5122,0.6667,False
9azr_HL,ncomp_x_abemax,1,6,48,0.9583,0.4792,0.6389,True
9azt_HL,ncomp_x_abemax,7,1,50,0.875,0.42,0.5676,True
9azv_HL,ncomp_x_abemax,2,2,60,0.0417,0.0167,0.0238,False
9mqr_DE,ncomp_x_abemax,1,3,56,0.0,0.0,0.0,False
9w43_AB,ncomp_x_abemax,1,6,41,0.4091,0.2195,0.2857,True
9zdu_HL,ncomp_x_abemax,1,6,80,1.0,0.325,0.4906,True
