target,model,family,ab,label,rung,neff80,n_pose,n_pop,native_overrep,mean_overrep,oracle_overrep,mean_recall,oracle_recall,mean_true_rank,oracle_true_rank,mean_pop_rank,oracle_pop_rank,mean_dcc_true,oracle_dcc_true,mean_dcc_pop,oracle_dcc_pop
8q7s_O,protenix,RBD,A,class1/2(RBM),0,35.589,5,73,0.958,0.816,0.889,0.592,0.704,0.89,0.91,0.737,0.749,3.916,3.254,4.078,3.972
8q7s_O,protenix,RBD,A,class1/2(RBM),1,27.526,5,73,0.958,0.865,0.931,0.575,0.655,0.883,0.89,0.748,0.763,4.669,3.43,4.496,4.086
8q7s_O,protenix,RBD,A,class1/2(RBM),2,21.933,5,73,0.958,0.854,0.926,0.565,0.667,0.874,0.886,0.741,0.75,5.84,5.498,4.703,4.088
8q7s_O,protenix,RBD,A,class1/2(RBM),3,14.733,5,73,0.958,0.847,0.962,0.63,0.769,0.874,0.92,0.725,0.762,4.325,1.077,5.614,4.241
8q7s_O,protenix,RBD,A,class1/2(RBM),4,14.0,5,73,0.958,0.851,0.962,0.61,0.846,0.814,0.921,0.698,0.754,4.739,1.034,6.303,4.594
8q7s_O,protenix,RBD,A,class1/2(RBM),5,8.0,5,73,0.958,0.451,0.65,0.115,0.225,0.473,0.636,0.513,0.613,16.095,10.761,13.392,8.314
8q7s_O,protenix,RBD,A,class1/2(RBM),6,7.0,5,73,0.958,0.606,0.629,0.163,0.257,0.578,0.64,0.597,0.596,12.414,11.287,9.251,9.503
8q7s_O,protenix,RBD,A,class1/2(RBM),7,4.0,5,73,0.958,0.375,0.414,0.074,0.103,0.377,0.395,0.434,0.448,16.246,15.413,14.349,13.803
8q7s_O,protenix,RBD,A,class1/2(RBM),8,3.0,5,73,0.958,0.41,0.871,0.177,0.323,0.458,0.756,0.467,0.703,16.547,10.174,15.238,8.128
8q7s_O,protenix,RBD,A,class1/2(RBM),9,2.0,5,73,0.958,0.346,0.472,0.152,0.194,0.472,0.431,0.441,0.42,11.353,10.886,11.36,9.561
8q7s_O,protenix,RBD,A,class1/2(RBM),10,1.0,5,73,0.958,0.272,0.361,0.103,0.139,0.399,0.425,0.414,0.444,14.635,15.068,14.056,14.091
8q7s_O,protenix,RBD,A,class1/2(RBM),11,1.0,5,73,0.958,0.231,0.487,0.088,0.154,0.398,0.558,0.4,0.586,15.264,12.207,13.724,10.075
8y6a_CD,protenix,RBD,B,class3,0,33.388,5,72,0.158,0.558,0.556,0.047,0.086,0.333,0.482,0.615,0.597,17.944,17.079,8.092,7.402
8y6a_CD,protenix,RBD,B,class3,1,26.079,5,72,0.158,0.839,0.816,0.012,0.061,0.293,0.49,0.735,0.735,25.458,24.415,3.516,1.783
8y6a_CD,protenix,RBD,B,class3,2,22.568,5,72,0.158,0.63,0.517,0.011,0.033,0.176,0.196,0.655,0.61,22.696,19.451,6.775,10.008
8y6a_CD,protenix,RBD,B,class3,3,16.2,5,72,0.158,0.595,0.549,0.086,0.113,0.469,0.58,0.638,0.607,17.554,16.771,7.484,7.465
8y6a_CD,protenix,RBD,B,class3,4,13.333,5,72,0.158,0.489,0.454,0.045,0.111,0.272,0.462,0.567,0.528,17.752,15.321,9.495,10.569
8y6a_CD,protenix,RBD,B,class3,5,10.0,5,72,0.158,0.374,0.435,0.134,0.261,0.531,0.745,0.496,0.574,11.935,9.596,13.921,13.35
8y6a_CD,protenix,RBD,B,class3,6,5.0,5,72,0.158,0.31,0.257,0.009,0.043,0.216,0.359,0.45,0.393,17.045,14.383,15.109,17.105
8y6a_CD,protenix,RBD,B,class3,7,6.0,5,72,0.158,0.322,0.0,0.104,0.147,0.481,0.612,0.431,0.256,13.986,12.314,18.24,29.498
8y6a_CD,protenix,RBD,B,class3,8,3.0,5,72,0.158,0.476,0.238,0.156,0.27,0.625,0.815,0.551,0.39,11.163,5.894,9.339,14.267
8y6a_CD,protenix,RBD,B,class3,9,2.0,5,72,0.158,0.498,0.582,0.071,0.09,0.393,0.431,0.575,0.627,16.308,17.603,9.955,8.877
8y6a_CD,protenix,RBD,B,class3,10,2.0,5,72,0.158,0.552,0.621,0.068,0.091,0.458,0.507,0.599,0.653,15.503,14.525,8.489,7.466
8y6a_CD,protenix,RBD,B,class3,11,1.0,5,72,0.158,0.477,0.506,0.162,0.19,0.629,0.646,0.564,0.596,7.124,6.456,6.969,3.78
9azr_HL,protenix,HA,A,head,0,120.544,5,207,0.958,0.964,0.982,0.077,0.298,0.386,0.778,0.5,0.506,21.401,11.196,12.12,7.104
9azr_HL,protenix,HA,A,head,1,91.887,5,207,0.958,0.968,0.97,0.162,0.667,0.495,0.926,0.499,0.504,15.279,2.087,11.801,14.663
9azr_HL,protenix,HA,A,head,2,68.359,5,207,0.958,0.945,0.944,0.043,0.056,0.367,0.399,0.494,0.495,18.515,17.482,10.13,9.876
9azr_HL,protenix,HA,A,head,3,51.422,5,207,0.958,0.957,0.966,0.281,0.724,0.596,0.924,0.5,0.503,13.755,3.356,13.037,15.18
9azr_HL,protenix,HA,A,head,4,28.345,5,207,0.958,0.963,0.96,0.798,0.88,0.936,0.94,0.504,0.504,2.149,1.256,15.513,15.379
9azr_HL,protenix,HA,A,head,5,22.355,5,207,0.958,0.966,0.982,0.084,0.321,0.437,0.827,0.499,0.501,20.609,13.383,12.319,8.306
