target,family,ab,n_ref,min_dist,nearest,mean_knn,frac_ndup,n_0.02,n_0.03,n_0.04,n_0.05,n_0.06
8t4b_OQ,Env,A,209,0.0146,R-6WIX_A_B,0.0152,0.866,45,159,181,195,197
8tkc_GH,Env,B,209,0.024,R-6NFC_A_B,0.0251,0.2679,0,12,56,163,194
9bnp_HL,Env,A,209,0.0122,R-6XCJ_A_B,0.0132,0.9091,86,167,190,196,198
8vfv_GI,Env,B,209,0.0242,R-8F92_A_B,0.0275,0.0909,0,4,19,117,187
8ulr_HL,Env,A,209,0.0118,R-6UDJ_A_B,0.0126,0.9139,57,164,191,196,199
9evz_HL,Env,B,209,0.0111,R-5V7J_A_B,0.0118,0.8756,96,162,183,195,197
8t49_PR,Env,A,209,0.0147,R-2NXZ_A_B,0.016,0.8612,43,156,180,194,199
8tjr_HL,Env,B,209,0.0224,R-8F92_A_B,0.0246,0.2775,0,13,58,160,195
8t4d_OQ,Env,A,209,0.0115,R-7SX7_A_B,0.0123,0.8995,83,162,188,194,200
8tq1_CD,Env,B,209,0.0231,R-8F92_A_B,0.0252,0.1579,0,13,33,162,196
8t4a_PR,Env,A,209,0.0112,R-5W6D_A_B,0.0126,0.8804,72,163,184,195,198
8tl5_IJ,Env,B,209,0.0134,R-8EUW_A_B,0.0145,0.866,31,155,181,195,197
9azr_HL,HA,A,132,0.0254,R-6Q0E_A_B,0.0284,0.6439,0,5,85,123,126
8txu_HL,HA,B,132,0.0146,R-7KC1_A_B,0.0155,0.8788,10,66,116,125,127
9azv_HL,HA,A,132,0.0189,R-6Q0E_A_B,0.0227,0.7955,1,20,105,124,127
8u44_ST,HA,B,132,0.0093,R-8IV0_A_B,0.013,0.8939,21,89,118,125,126
9azt_HL,HA,A,132,0.0228,R-6Q0E_A_B,0.0251,0.6667,0,10,88,120,127
8tx3_FK,HA,B,132,0.015,R-7KC1_A_B,0.0174,0.8561,5,51,113,124,127
8tp5_HL,HA,A,132,0.0168,R-7SCO_A_B,0.0178,0.8561,6,74,113,125,126
8txm_HL,HA,B,132,0.0252,R-7FAH_A_B,0.0261,0.6667,0,14,88,115,127
9b7g_QP,HA,A,132,0.0112,R-5UMN_A_B,0.0136,0.8712,19,85,115,126,126
8txt_GI,HA,B,132,0.0117,R-5K9O_A_B,0.0131,0.8939,27,94,118,126,128
9bdg_FI,HA,A,132,0.016,R-7TZ5_A_B,0.0164,0.8864,12,77,117,124,127
8txt_HL,HA,B,132,0.0106,R-3GBM_A_B,0.0117,0.8864,32,95,117,126,128
8ume_HL,HA,A,132,0.0144,R-7T3D_A_B,0.0162,0.8864,19,79,117,125,127
8txp_HL,HA,B,132,0.0146,R-5K9O_A_B,0.0157,0.7955,6,65,105,123,128
8q7s_O,RBD,A,442,0.0168,R-7WM0_A_B,0.0195,0.8394,2,129,371,420,430
8y6a_CD,RBD,B,442,0.01,R-7L0N_A_B,0.0108,0.9253,131,346,409,426,432
8q7s_C,RBD,A,442,0.0183,R-7WM0_A_B,0.0204,0.8665,2,123,383,420,430
8q7s_H,RBD,B,442,0.0156,R-7WD2_A_B,0.017,0.9186,22,254,406,422,432
8kep_HL,RBD,A,442,0.0099,R-7L0N_A_B,0.0106,0.9231,131,359,408,423,433
8wpy_AB,RBD,B,442,0.0084,R-7L0N_A_B,0.0094,0.9276,186,357,410,423,431
8k5g_HL,RBD,A,442,0.0084,R-7WED_A_B,0.0108,0.9299,112,370,411,425,432
8k3k_D,RBD,B,442,0.0236,R-7X2K_A_B,0.0251,0.6041,0,35,267,416,430
8k5h_HL,RBD,A,442,0.0092,R-7WED_A_B,0.0121,0.9253,76,363,409,424,433
8xsj_HL,RBD,B,442,0.0097,R-7MZH_A_B,0.0107,0.9276,86,338,410,424,432
8q5y_GH,RBD,A,442,0.0119,R-7EY0_A_B,0.0125,0.9344,128,361,413,425,433
8k46_I,RBD,B,442,0.016,R-7C8V_A_B,0.0175,0.9253,13,247,409,425,431
8kdm_GF,RBD,A,442,0.0089,R-7L0N_A_B,0.0115,0.9072,135,323,401,420,429
8vye_AD,RBD,B,442,0.0171,R-7K9I_A_B,0.018,0.8846,6,270,391,420,428
