target,model,depth,seed,pose,dockq,recall,overrep,n_contact
8siq_HL,protenix,d670,seed0_r0,8siq_hl_sample_0.cif,0.023,0.0606,0.4242,33
8siq_HL,protenix,d670,seed0_r0,8siq_hl_sample_1.cif,0.023,0.0833,0.4444,36
8siq_HL,protenix,d670,seed0_r0,8siq_hl_sample_2.cif,0.04,0.0323,0.2581,31
8siq_HL,protenix,d670,seed0_r0,8siq_hl_sample_3.cif,0.016,0.1071,0.1786,28
8siq_HL,protenix,d670,seed0_r0,8siq_hl_sample_4.cif,0.123,0.4167,0.0,24
8siq_HL,protenix,d670,seed0_r1,8siq_hl_sample_0.cif,0.043,0.3,0.0,20
8siq_HL,protenix,d670,seed0_r1,8siq_hl_sample_1.cif,0.021,0.0,0.0,23
8siq_HL,protenix,d670,seed0_r1,8siq_hl_sample_2.cif,0.025,0.0938,0.1875,32
8siq_HL,protenix,d670,seed0_r1,8siq_hl_sample_3.cif,0.141,0.4231,0.0,26
8siq_HL,protenix,d670,seed0_r1,8siq_hl_sample_4.cif,0.02,0.1364,0.0,22
8siq_HL,protenix,d670,seed0_r2,8siq_hl_sample_0.cif,0.046,0.2745,0.1569,51
8siq_HL,protenix,d670,seed0_r2,8siq_hl_sample_1.cif,0.029,0.375,0.5625,48
8siq_HL,protenix,d670,seed0_r2,8siq_hl_sample_2.cif,0.017,0.087,0.0,23
8siq_HL,protenix,d670,seed0_r2,8siq_hl_sample_3.cif,0.066,0.44,0.0,25
8siq_HL,protenix,d670,seed0_r2,8siq_hl_sample_4.cif,0.036,0.0,0.4444,36
8siq_HL,protenix,d670,seed0_r3,8siq_hl_sample_0.cif,0.009,0.0769,0.4103,39
8siq_HL,protenix,d670,seed0_r3,8siq_hl_sample_1.cif,0.008,0.0577,0.4808,52
8siq_HL,protenix,d670,seed0_r3,8siq_hl_sample_2.cif,0.007,0.098,0.3529,51
8siq_HL,protenix,d670,seed0_r3,8siq_hl_sample_3.cif,0.069,0.194,0.2687,67
8siq_HL,protenix,d670,seed0_r3,8siq_hl_sample_4.cif,0.009,0.1,0.35,40
8siq_HL,protenix,d670,seed1_r0,8siq_hl_sample_0.cif,0.021,0.1644,0.4795,73
8siq_HL,protenix,d670,seed1_r0,8siq_hl_sample_1.cif,0.094,0.1912,0.3824,68
8siq_HL,protenix,d670,seed1_r0,8siq_hl_sample_2.cif,0.018,0.1867,0.4133,75
8siq_HL,protenix,d670,seed1_r0,8siq_hl_sample_3.cif,0.025,0.1455,0.1636,55
8siq_HL,protenix,d670,seed1_r0,8siq_hl_sample_4.cif,0.019,0.1163,0.1163,43
8siq_HL,protenix,d670,seed1_r1,8siq_hl_sample_0.cif,0.031,0.2286,0.2,35
8siq_HL,protenix,d670,seed1_r1,8siq_hl_sample_1.cif,0.023,0.0,0.2963,27
8siq_HL,protenix,d670,seed1_r1,8siq_hl_sample_2.cif,0.03,0.1562,0.0938,32
8siq_HL,protenix,d670,seed1_r1,8siq_hl_sample_3.cif,0.031,0.1786,0.0714,28
8siq_HL,protenix,d670,seed1_r1,8siq_hl_sample_4.cif,0.032,0.0667,0.1667,30
8siq_HL,protenix,d670,seed1_r2,8siq_hl_sample_0.cif,0.028,0.2692,0.3974,78
8siq_HL,protenix,d670,seed1_r2,8siq_hl_sample_1.cif,0.019,0.1868,0.3626,91
8siq_HL,protenix,d670,seed1_r2,8siq_hl_sample_2.cif,0.028,0.2203,0.339,59
8siq_HL,protenix,d670,seed1_r2,8siq_hl_sample_3.cif,0.021,0.0517,0.3276,58
8siq_HL,protenix,d670,seed1_r2,8siq_hl_sample_4.cif,0.024,0.0968,0.2581,31
8siq_HL,protenix,d670,seed1_r3,8siq_hl_sample_0.cif,0.092,0.25,0.4107,56
8siq_HL,protenix,d670,seed1_r3,8siq_hl_sample_1.cif,0.015,0.098,0.2745,51
8siq_HL,protenix,d670,seed1_r3,8siq_hl_sample_2.cif,0.017,0.0714,0.2857,42
8siq_HL,protenix,d670,seed1_r3,8siq_hl_sample_3.cif,0.053,0.2162,0.2432,37
8siq_HL,protenix,d670,seed1_r3,8siq_hl_sample_4.cif,0.027,0.0938,0.0312,32
8siq_HL,protenix,d670,seed2_r0,8siq_hl_sample_0.cif,0.103,0.3585,0.283,53
8siq_HL,protenix,d670,seed2_r0,8siq_hl_sample_1.cif,0.133,0.2879,0.4242,66
