path,target,run,pose,score
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed0_r1/results/8kep_hl/seed_0/predictions/8kep_hl_sample_1.cif,8kep_HL,seed0_r1,8kep_hl_sample_1.cif,0.03143
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed0_r1/results/8kep_hl/seed_0/predictions/8kep_hl_sample_4.cif,8kep_HL,seed0_r1,8kep_hl_sample_4.cif,0.04379
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed0_r2/results/8kep_hl/seed_0/predictions/8kep_hl_sample_2.cif,8kep_HL,seed0_r2,8kep_hl_sample_2.cif,0.07479
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed0_r2/results/8kep_hl/seed_0/predictions/8kep_hl_sample_1.cif,8kep_HL,seed0_r2,8kep_hl_sample_1.cif,0.10784
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed0_r0/results/8kep_hl/seed_0/predictions/8kep_hl_sample_2.cif,8kep_HL,seed0_r0,8kep_hl_sample_2.cif,0.03365
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed0_r1/results/8kep_hl/seed_0/predictions/8kep_hl_sample_3.cif,8kep_HL,seed0_r1,8kep_hl_sample_3.cif,0.06643
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed0_r1/results/8kep_hl/seed_0/predictions/8kep_hl_sample_2.cif,8kep_HL,seed0_r1,8kep_hl_sample_2.cif,0.05349
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed0_r2/results/8kep_hl/seed_0/predictions/8kep_hl_sample_0.cif,8kep_HL,seed0_r2,8kep_hl_sample_0.cif,0.08461
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed0_r0/results/8kep_hl/seed_0/predictions/8kep_hl_sample_4.cif,8kep_HL,seed0_r0,8kep_hl_sample_4.cif,0.03978
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed0_r2/results/8kep_hl/seed_0/predictions/8kep_hl_sample_4.cif,8kep_HL,seed0_r2,8kep_hl_sample_4.cif,0.10477
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed0_r0/results/8kep_hl/seed_0/predictions/8kep_hl_sample_0.cif,8kep_HL,seed0_r0,8kep_hl_sample_0.cif,0.08687
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed0_r3/results/8kep_hl/seed_0/predictions/8kep_hl_sample_2.cif,8kep_HL,seed0_r3,8kep_hl_sample_2.cif,0.0532
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed0_r0/results/8kep_hl/seed_0/predictions/8kep_hl_sample_1.cif,8kep_HL,seed0_r0,8kep_hl_sample_1.cif,0.11069
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed0_r3/results/8kep_hl/seed_0/predictions/8kep_hl_sample_0.cif,8kep_HL,seed0_r3,8kep_hl_sample_0.cif,0.03268
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed0_r3/results/8kep_hl/seed_0/predictions/8kep_hl_sample_3.cif,8kep_HL,seed0_r3,8kep_hl_sample_3.cif,0.04108
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed0_r3/results/8kep_hl/seed_0/predictions/8kep_hl_sample_4.cif,8kep_HL,seed0_r3,8kep_hl_sample_4.cif,0.03092
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed0_r0/results/8kep_hl/seed_0/predictions/8kep_hl_sample_3.cif,8kep_HL,seed0_r0,8kep_hl_sample_3.cif,0.06917
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed0_r3/results/8kep_hl/seed_0/predictions/8kep_hl_sample_1.cif,8kep_HL,seed0_r3,8kep_hl_sample_1.cif,0.07123
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed0_r2/results/8kep_hl/seed_0/predictions/8kep_hl_sample_3.cif,8kep_HL,seed0_r2,8kep_hl_sample_3.cif,0.05954
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed0_r1/results/8kep_hl/seed_0/predictions/8kep_hl_sample_0.cif,8kep_HL,seed0_r1,8kep_hl_sample_0.cif,0.0658
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed1_r1/results/8kep_hl/seed_0/predictions/8kep_hl_sample_4.cif,8kep_HL,seed1_r1,8kep_hl_sample_4.cif,0.03629
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed1_r3/results/8kep_hl/seed_0/predictions/8kep_hl_sample_2.cif,8kep_HL,seed1_r3,8kep_hl_sample_2.cif,0.12996
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed1_r3/results/8kep_hl/seed_0/predictions/8kep_hl_sample_4.cif,8kep_HL,seed1_r3,8kep_hl_sample_4.cif,0.05737
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed1_r3/results/8kep_hl/seed_0/predictions/8kep_hl_sample_0.cif,8kep_HL,seed1_r3,8kep_hl_sample_0.cif,0.12172
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed1_r0/results/8kep_hl/seed_0/predictions/8kep_hl_sample_2.cif,8kep_HL,seed1_r0,8kep_hl_sample_2.cif,0.03482
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed1_r3/results/8kep_hl/seed_0/predictions/8kep_hl_sample_3.cif,8kep_HL,seed1_r3,8kep_hl_sample_3.cif,0.03809
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed1_r1/results/8kep_hl/seed_0/predictions/8kep_hl_sample_2.cif,8kep_HL,seed1_r1,8kep_hl_sample_2.cif,0.03227
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed1_r2/results/8kep_hl/seed_0/predictions/8kep_hl_sample_4.cif,8kep_HL,seed1_r2,8kep_hl_sample_4.cif,0.03931
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed1_r0/results/8kep_hl/seed_0/predictions/8kep_hl_sample_1.cif,8kep_HL,seed1_r0,8kep_hl_sample_1.cif,0.02991
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed1_r3/results/8kep_hl/seed_0/predictions/8kep_hl_sample_1.cif,8kep_HL,seed1_r3,8kep_hl_sample_1.cif,0.04716
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed1_r2/results/8kep_hl/seed_0/predictions/8kep_hl_sample_3.cif,8kep_HL,seed1_r2,8kep_hl_sample_3.cif,0.0301
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed1_r2/results/8kep_hl/seed_0/predictions/8kep_hl_sample_2.cif,8kep_HL,seed1_r2,8kep_hl_sample_2.cif,0.04417
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed1_r1/results/8kep_hl/seed_0/predictions/8kep_hl_sample_1.cif,8kep_HL,seed1_r1,8kep_hl_sample_1.cif,0.19816
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed1_r0/results/8kep_hl/seed_0/predictions/8kep_hl_sample_4.cif,8kep_HL,seed1_r0,8kep_hl_sample_4.cif,0.03555
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed1_r2/results/8kep_hl/seed_0/predictions/8kep_hl_sample_0.cif,8kep_HL,seed1_r2,8kep_hl_sample_0.cif,0.157
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed1_r1/results/8kep_hl/seed_0/predictions/8kep_hl_sample_3.cif,8kep_HL,seed1_r1,8kep_hl_sample_3.cif,0.09706
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed1_r0/results/8kep_hl/seed_0/predictions/8kep_hl_sample_3.cif,8kep_HL,seed1_r0,8kep_hl_sample_3.cif,0.03132
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed1_r2/results/8kep_hl/seed_0/predictions/8kep_hl_sample_1.cif,8kep_HL,seed1_r2,8kep_hl_sample_1.cif,0.19095
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed1_r1/results/8kep_hl/seed_0/predictions/8kep_hl_sample_0.cif,8kep_HL,seed1_r1,8kep_hl_sample_0.cif,0.03215
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed1_r0/results/8kep_hl/seed_0/predictions/8kep_hl_sample_0.cif,8kep_HL,seed1_r0,8kep_hl_sample_0.cif,0.04245
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed2_r2/results/8kep_hl/seed_0/predictions/8kep_hl_sample_2.cif,8kep_HL,seed2_r2,8kep_hl_sample_2.cif,0.15677
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed2_r0/results/8kep_hl/seed_0/predictions/8kep_hl_sample_1.cif,8kep_HL,seed2_r0,8kep_hl_sample_1.cif,0.04727
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed2_r1/results/8kep_hl/seed_0/predictions/8kep_hl_sample_1.cif,8kep_HL,seed2_r1,8kep_hl_sample_1.cif,0.08501
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed2_r1/results/8kep_hl/seed_0/predictions/8kep_hl_sample_4.cif,8kep_HL,seed2_r1,8kep_hl_sample_4.cif,0.16463
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed2_r2/results/8kep_hl/seed_0/predictions/8kep_hl_sample_3.cif,8kep_HL,seed2_r2,8kep_hl_sample_3.cif,0.10628
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed2_r0/results/8kep_hl/seed_0/predictions/8kep_hl_sample_2.cif,8kep_HL,seed2_r0,8kep_hl_sample_2.cif,0.06067
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed2_r3/results/8kep_hl/seed_0/predictions/8kep_hl_sample_2.cif,8kep_HL,seed2_r3,8kep_hl_sample_2.cif,0.09678
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed2_r3/results/8kep_hl/seed_0/predictions/8kep_hl_sample_1.cif,8kep_HL,seed2_r3,8kep_hl_sample_1.cif,0.12909
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed2_r3/results/8kep_hl/seed_0/predictions/8kep_hl_sample_3.cif,8kep_HL,seed2_r3,8kep_hl_sample_3.cif,0.0844
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed2_r1/results/8kep_hl/seed_0/predictions/8kep_hl_sample_2.cif,8kep_HL,seed2_r1,8kep_hl_sample_2.cif,0.07122
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed2_r2/results/8kep_hl/seed_0/predictions/8kep_hl_sample_1.cif,8kep_HL,seed2_r2,8kep_hl_sample_1.cif,0.02978
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed2_r2/results/8kep_hl/seed_0/predictions/8kep_hl_sample_0.cif,8kep_HL,seed2_r2,8kep_hl_sample_0.cif,0.09179
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed2_r1/results/8kep_hl/seed_0/predictions/8kep_hl_sample_0.cif,8kep_HL,seed2_r1,8kep_hl_sample_0.cif,0.05377
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed2_r3/results/8kep_hl/seed_0/predictions/8kep_hl_sample_0.cif,8kep_HL,seed2_r3,8kep_hl_sample_0.cif,0.08263
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed2_r0/results/8kep_hl/seed_0/predictions/8kep_hl_sample_3.cif,8kep_HL,seed2_r0,8kep_hl_sample_3.cif,0.04637
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8kep_HL/d37/seed2_r3/results/8kep_hl/seed_0/predictions/8kep_hl_sample_4.cif,8kep_HL,seed2_r3,8kep_hl_sample_4.cif,0.0857
