target,model,n_run,n_site,reach,n_total,n_hit,sat_site,sat_reach
8k3k_D,protenix,1,1,0.0,20,0,1,
8k3k_D,protenix,2,1,0.0,20,0,1,
8k3k_D,protenix,3,1,0.0,20,0,1,
8k3k_D,protenix,4,1,0.0,20,0,1,
8k3k_D,protenix,5,1,0.0,20,0,1,
8k3k_D,protenix,6,1,0.0,20,0,1,
8k3k_D,protenix,7,1,0.0,20,0,1,
8k3k_D,protenix,8,1,0.0,20,0,1,
8k3k_D,protenix,9,1,0.0,20,0,1,
8k3k_D,protenix,10,1,0.0,20,0,1,
8k3k_D,protenix,11,1,0.0,20,0,1,
8k3k_D,protenix,12,1,0.0,20,0,1,
8k3k_D,protenix,13,1,0.0,20,0,1,
8k3k_D,protenix,14,1,0.0,20,0,1,
8k3k_D,protenix,15,1,0.0,20,0,1,
8k3k_D,protenix,16,1,0.0,20,0,1,
8k3k_D,protenix,17,1,0.0,20,0,1,
8k3k_D,protenix,18,1,0.0,20,0,1,
8k3k_D,protenix,19,1,0.0,20,0,1,
8k3k_D,protenix,20,1,0.0,20,0,1,
8k46_I,protenix,1,1,0.0,20,0,1,
8k46_I,protenix,2,1,0.0,20,0,1,
8k46_I,protenix,3,1,0.0,20,0,1,
8k46_I,protenix,4,1,0.0,20,0,1,
8k46_I,protenix,5,1,0.0,20,0,1,
8k46_I,protenix,6,1,0.0,20,0,1,
8k46_I,protenix,7,1,0.0,20,0,1,
8k46_I,protenix,8,1,0.0,20,0,1,
8k46_I,protenix,9,1,0.0,20,0,1,
8k46_I,protenix,10,1,0.0,20,0,1,
8k46_I,protenix,11,1,0.0,20,0,1,
8k46_I,protenix,12,1,0.0,20,0,1,
8k46_I,protenix,13,1,0.0,20,0,1,
8k46_I,protenix,14,1,0.0,20,0,1,
8k46_I,protenix,15,1,0.0,20,0,1,
8k46_I,protenix,16,1,0.0,20,0,1,
8k46_I,protenix,17,1,0.0,20,0,1,
8k46_I,protenix,18,1,0.0,20,0,1,
8k46_I,protenix,19,1,0.0,20,0,1,
8k46_I,protenix,20,1,0.0,20,0,1,
8k5h_HL,protenix,1,1,1.0,8,8,1,1
8k5h_HL,protenix,2,1.383,1.0,8,8,1,1
8k5h_HL,protenix,3,1.462,1.0,8,8,1,1
8k5h_HL,protenix,4,1.315,1.0,8,8,1,1
8k5h_HL,protenix,5,1.123,1.0,8,8,1,1
8k5h_HL,protenix,6,1.042,1.0,8,8,1,1
8k5h_HL,protenix,7,1,1.0,8,8,1,1
8k5h_HL,protenix,8,1,1.0,8,8,1,1
8kep_HL,protenix,1,1,1.0,8,8,1,1
8kep_HL,protenix,2,1,1.0,8,8,1,1
8kep_HL,protenix,3,1,1.0,8,8,1,1
8kep_HL,protenix,4,1,1.0,8,8,1,1
8kep_HL,protenix,5,1,1.0,8,8,1,1
8kep_HL,protenix,6,1,1.0,8,8,1,1
8kep_HL,protenix,7,1,1.0,8,8,1,1
8kep_HL,protenix,8,1,1.0,8,8,1,1
8q7s_H,protenix,1,1,1.0,8,8,1,1
8q7s_H,protenix,2,1,1.0,8,8,1,1
8q7s_H,protenix,3,1,1.0,8,8,1,1
8q7s_H,protenix,4,1,1.0,8,8,1,1
8q7s_H,protenix,5,1,1.0,8,8,1,1
8q7s_H,protenix,6,1,1.0,8,8,1,1
8q7s_H,protenix,7,1,1.0,8,8,1,1
8q7s_H,protenix,8,1,1.0,8,8,1,1
8q7s_O,protenix,1,1,1.0,8,8,1,1
8q7s_O,protenix,2,1,1.0,8,8,1,1
8q7s_O,protenix,3,1,1.0,8,8,1,1
8q7s_O,protenix,4,1,1.0,8,8,1,1
8q7s_O,protenix,5,1,1.0,8,8,1,1
8q7s_O,protenix,6,1,1.0,8,8,1,1
8q7s_O,protenix,7,1,1.0,8,8,1,1
8q7s_O,protenix,8,1,1.0,8,8,1,1
8siq_HL,protenix,1,1,0.405,8,3,6,5
8siq_HL,protenix,2,1.445,0.647,8,3,6,5
8siq_HL,protenix,3,1.657,0.85,8,3,6,5
8siq_HL,protenix,4,1.782,0.935,8,3,6,5
8siq_HL,protenix,5,1.88,0.983,8,3,6,5
8siq_HL,protenix,6,1.972,1.0,8,3,6,5
8siq_HL,protenix,7,2,1.0,8,3,6,5
8siq_HL,protenix,8,2,1.0,8,3,6,5
8sis_HL,protenix,1,1,0.142,20,3,19,12
8sis_HL,protenix,2,1.147,0.312,20,3,19,12
8sis_HL,protenix,3,1.135,0.405,20,3,19,12
8sis_HL,protenix,4,1.2,0.512,20,3,19,12
8sis_HL,protenix,5,1.265,0.608,20,3,19,12
8sis_HL,protenix,6,1.31,0.662,20,3,19,12
8sis_HL,protenix,7,1.345,0.775,20,3,19,12
8sis_HL,protenix,8,1.407,0.82,20,3,19,12
8sis_HL,protenix,9,1.45,0.86,20,3,19,12
8sis_HL,protenix,10,1.538,0.907,20,3,19,12
8sis_HL,protenix,11,1.55,0.917,20,3,19,12
8sis_HL,protenix,12,1.577,0.953,20,3,19,12
8sis_HL,protenix,13,1.643,0.963,20,3,19,12
8sis_HL,protenix,14,1.728,0.985,20,3,19,12
8sis_HL,protenix,15,1.718,0.998,20,3,19,12
8sis_HL,protenix,16,1.808,0.998,20,3,19,12
8sis_HL,protenix,17,1.885,1.0,20,3,19,12
8sis_HL,protenix,18,1.867,1.0,20,3,19,12
8sis_HL,protenix,19,1.972,1.0,20,3,19,12
8sis_HL,protenix,20,2,1.0,20,3,19,12
8sit_HL,protenix,1,1,0.0,8,0,1,
8sit_HL,protenix,2,1.028,0.0,8,0,1,
8sit_HL,protenix,3,1,0.0,8,0,1,
8sit_HL,protenix,4,1,0.0,8,0,1,
8sit_HL,protenix,5,1,0.0,8,0,1,
8sit_HL,protenix,6,1,0.0,8,0,1,
8sit_HL,protenix,7,1,0.0,8,0,1,
8sit_HL,protenix,8,1,0.0,8,0,1,
8t4a_PR,protenix,1,1,1.0,8,8,8,1
