target,grp,site,antigen,full_recall,full_overrep,full_dockq,best_rung,recall,overrep,dockq,d_recall,d_overrep,shift,n_rung_ok
8k3k_D,B,class4,RBD,0.111,0.963,0.01,2,0.571,0.171,0.039,0.46,-0.792,1.252,8
8tx3_FK,B,stem,HA,0.0,1.0,0.004,1,0.286,0.048,0.06,0.286,-0.952,1.238,6
8k46_I,B,class4,RBD,0.179,0.667,0.029,4,0.667,0.267,0.087,0.488,-0.4,0.888,4
8y6a_CD,B,class3,RBD,0.086,0.556,0.018,7,0.147,0.0,0.016,0.061,-0.556,0.617,6
8xsj_HL,B,class3,RBD,0.159,0.73,0.018,6,0.226,0.242,0.017,0.067,-0.488,0.555,7
8wpy_AB,B,class3,RBD,0.246,0.561,0.02,11,0.269,0.119,0.013,0.023,-0.442,0.465,3
8u44_ST,B,stem,HA,0.629,0.171,0.056,1,0.677,0.032,0.032,0.048,-0.139,0.187,1
8tl5_IJ,B,gp120gp41,Env,0.0,0.179,0.007,10,0.059,0.108,0.016,0.059,-0.071,0.13,2
8kdm_GF,A,class1/2(RBM),RBD,0.0,0.971,0.02,10,0.203,0.253,0.022,0.203,-0.718,0.921,10
9azr_HL,A,head,HA,0.298,0.982,0.076,4,0.88,0.96,0.492,0.582,-0.022,0.604,3
8q5y_GH,A,class1/2(RBM),RBD,0.073,0.341,0.011,10,0.22,0.22,0.025,0.147,-0.121,0.268,2
8ume_HL,A,head,HA,0.556,0.815,0.199,1,0.679,0.714,0.321,0.123,-0.101,0.224,3
9azv_HL,A,head,HA,0.434,0.981,0.05,2,0.647,0.971,0.063,0.213,-0.01,0.223,1
8k5h_HL,A,class1/2(RBM),RBD,0.281,0.781,0.049,2,0.357,0.643,0.026,0.076,-0.138,0.214,1
8k5g_HL,A,class1/2(RBM),RBD,0.281,0.969,0.03,1,0.417,0.917,0.042,0.136,-0.052,0.188,3
8t4b_OQ,A,N332,Env,0.151,0.129,0.031,5,0.197,0.076,0.006,0.046,-0.053,0.099,1
