path,target,run,pose,score
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed0_r1/results/9w43_ab/seed_0/predictions/9w43_ab_sample_1.cif,9w43_AB,seed0_r1,9w43_ab_sample_1.cif,0.03134
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed0_r1/results/9w43_ab/seed_0/predictions/9w43_ab_sample_4.cif,9w43_AB,seed0_r1,9w43_ab_sample_4.cif,0.11392
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed0_r2/results/9w43_ab/seed_0/predictions/9w43_ab_sample_2.cif,9w43_AB,seed0_r2,9w43_ab_sample_2.cif,0.0676
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed0_r2/results/9w43_ab/seed_0/predictions/9w43_ab_sample_1.cif,9w43_AB,seed0_r2,9w43_ab_sample_1.cif,0.20062
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed0_r0/results/9w43_ab/seed_0/predictions/9w43_ab_sample_2.cif,9w43_AB,seed0_r0,9w43_ab_sample_2.cif,0.12728
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed0_r1/results/9w43_ab/seed_0/predictions/9w43_ab_sample_3.cif,9w43_AB,seed0_r1,9w43_ab_sample_3.cif,0.04148
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed0_r1/results/9w43_ab/seed_0/predictions/9w43_ab_sample_2.cif,9w43_AB,seed0_r1,9w43_ab_sample_2.cif,0.07612
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed0_r2/results/9w43_ab/seed_0/predictions/9w43_ab_sample_0.cif,9w43_AB,seed0_r2,9w43_ab_sample_0.cif,0.03866
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed0_r0/results/9w43_ab/seed_0/predictions/9w43_ab_sample_4.cif,9w43_AB,seed0_r0,9w43_ab_sample_4.cif,0.12086
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed0_r2/results/9w43_ab/seed_0/predictions/9w43_ab_sample_4.cif,9w43_AB,seed0_r2,9w43_ab_sample_4.cif,0.06759
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed0_r0/results/9w43_ab/seed_0/predictions/9w43_ab_sample_0.cif,9w43_AB,seed0_r0,9w43_ab_sample_0.cif,0.07125
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed0_r3/results/9w43_ab/seed_0/predictions/9w43_ab_sample_2.cif,9w43_AB,seed0_r3,9w43_ab_sample_2.cif,0.02922
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed0_r0/results/9w43_ab/seed_0/predictions/9w43_ab_sample_1.cif,9w43_AB,seed0_r0,9w43_ab_sample_1.cif,0.04706
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed0_r3/results/9w43_ab/seed_0/predictions/9w43_ab_sample_0.cif,9w43_AB,seed0_r3,9w43_ab_sample_0.cif,0.07706
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed0_r3/results/9w43_ab/seed_0/predictions/9w43_ab_sample_3.cif,9w43_AB,seed0_r3,9w43_ab_sample_3.cif,0.03103
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed0_r3/results/9w43_ab/seed_0/predictions/9w43_ab_sample_4.cif,9w43_AB,seed0_r3,9w43_ab_sample_4.cif,0.08391
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed0_r0/results/9w43_ab/seed_0/predictions/9w43_ab_sample_3.cif,9w43_AB,seed0_r0,9w43_ab_sample_3.cif,0.03821
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed0_r3/results/9w43_ab/seed_0/predictions/9w43_ab_sample_1.cif,9w43_AB,seed0_r3,9w43_ab_sample_1.cif,0.04904
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed0_r2/results/9w43_ab/seed_0/predictions/9w43_ab_sample_3.cif,9w43_AB,seed0_r2,9w43_ab_sample_3.cif,0.05755
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed0_r1/results/9w43_ab/seed_0/predictions/9w43_ab_sample_0.cif,9w43_AB,seed0_r1,9w43_ab_sample_0.cif,0.04085
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed1_r1/results/9w43_ab/seed_0/predictions/9w43_ab_sample_4.cif,9w43_AB,seed1_r1,9w43_ab_sample_4.cif,0.10304
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed1_r3/results/9w43_ab/seed_0/predictions/9w43_ab_sample_2.cif,9w43_AB,seed1_r3,9w43_ab_sample_2.cif,0.0859
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed1_r3/results/9w43_ab/seed_0/predictions/9w43_ab_sample_4.cif,9w43_AB,seed1_r3,9w43_ab_sample_4.cif,0.22698
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed1_r3/results/9w43_ab/seed_0/predictions/9w43_ab_sample_0.cif,9w43_AB,seed1_r3,9w43_ab_sample_0.cif,0.05638
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed1_r0/results/9w43_ab/seed_0/predictions/9w43_ab_sample_2.cif,9w43_AB,seed1_r0,9w43_ab_sample_2.cif,0.057
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed1_r3/results/9w43_ab/seed_0/predictions/9w43_ab_sample_3.cif,9w43_AB,seed1_r3,9w43_ab_sample_3.cif,0.05995
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed1_r1/results/9w43_ab/seed_0/predictions/9w43_ab_sample_2.cif,9w43_AB,seed1_r1,9w43_ab_sample_2.cif,0.17434
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9w43_AB/d51/seed1_r2/results/9w43_ab/seed_0/predictions/9w43_ab_sample_4.cif,9w43_AB,seed1_r2,9w43_ab_sample_4.cif,0.03074
