target,tier,full,peak,gain,peak_rung,peak_neff,n_rungs_better,n_rungs_succ
8ulr_HL,A,0.013,0.662,0.649,2,701.8,4,3
9azr_HL,A,0.076,0.492,0.416,4,28.3,1,1
8k5g_HL,B,0.03,0.341,0.311,2,16.2,1,0
8q7s_C,C,0.09,0.253,0.163,3,14.7,1,0
8vye_AD,C,0.016,0.17,0.154,11,1.0,1,0
8ume_HL,C,0.199,0.321,0.122,1,121.4,0,0
9ly5_AB,D,0.008,0.08,0.072,10,2.0,0,0
8k5h_HL,D,0.049,0.117,0.068,10,1.0,0,0
8t49_PR,D,0.011,0.078,0.067,9,3.0,0,0
8txu_HL,D,0.03,0.097,0.067,2,28.1,0,0
8t4d_OQ,D,0.007,0.072,0.065,3,319.1,0,0
8tx3_FK,D,0.004,0.063,0.059,11,1.0,0,0
8k46_I,D,0.029,0.087,0.058,4,13.0,0,0
9y0a_AB,D,0.06,0.109,0.049,3,221.4,0,0
8tp5_HL,D,0.006,0.052,0.046,2,73.2,0,0
8t4a_PR,D,0.015,0.059,0.044,2,640.6,0,0
8q5y_GH,D,0.011,0.052,0.041,11,1.0,0,0
8tl5_IJ,D,0.008,0.047,0.039,10,1.0,0,0
9kkj_HL,D,0.009,0.047,0.038,11,1.0,0,0
8k3k_D,D,0.014,0.049,0.035,2,14.3,0,0
9mqr_DE,D,0.062,0.095,0.033,1,391.2,0,0
8vfv_GI,D,0.011,0.043,0.032,9,3.0,0,0
9w43_AB,D,0.058,0.083,0.025,6,48.0,0,0
9azv_HL,D,0.05,0.074,0.024,2,68.9,0,0
8t4b_OQ,D,0.031,0.052,0.021,9,3.0,0,0
8q7s_H,D,0.047,0.063,0.016,2,22.4,0,0
8xsj_HL,D,0.019,0.034,0.015,6,7.0,0,0
9bnp_HL,D,0.006,0.021,0.015,11,1.0,0,0
8tq1_CD,D,0.012,0.026,0.014,8,6.3,0,0
9j4c_HL,D,0.006,0.02,0.014,11,1.0,0,0
9xf9_HL,D,0.014,0.025,0.011,5,10.0,0,0
8q7s_O,D,0.111,0.116,0.005,1,27.5,0,0
8u44_ST,D,0.077,0.082,0.005,5,10.1,0,0
8y6a_CD,D,0.024,0.029,0.005,9,2.0,0,0
9bdg_FI,D,0.078,0.081,0.003,7,10.0,0,0
8kdm_GF,D,0.02,0.022,0.002,10,1.0,0,0
8tjr_HL,D,0.031,0.033,0.002,5,25.6,0,0
9vxl_BC,D,0.014,0.014,0.0,8,6.0,0,0
8wpy_AB,D,0.023,0.022,-0.001,3,18.0,0,0
9yc6_HL,D,0.076,0.073,-0.003,5,19.0,0,0
8tkc_GH,D,0.051,0.047,-0.004,1,145.8,0,0
9azt_HL,D,0.078,0.036,-0.042,9,3.0,0,0
8kep_HL,D,0.099,0.042,-0.057,3,11.8,0,0
9b7g_QP,D,0.282,0.111,-0.171,1,127.6,0,0
