path,target,run,pose,score
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed0_r1/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_1.cif,9y0a_AB,seed0_r1,9y0a_ab_sample_1.cif,0.23988
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed0_r1/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_4.cif,9y0a_AB,seed0_r1,9y0a_ab_sample_4.cif,0.45435
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed0_r2/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_2.cif,9y0a_AB,seed0_r2,9y0a_ab_sample_2.cif,0.15435
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed0_r2/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_1.cif,9y0a_AB,seed0_r2,9y0a_ab_sample_1.cif,0.3928
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed0_r0/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_2.cif,9y0a_AB,seed0_r0,9y0a_ab_sample_2.cif,0.21686
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed0_r1/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_3.cif,9y0a_AB,seed0_r1,9y0a_ab_sample_3.cif,0.31068
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed0_r1/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_2.cif,9y0a_AB,seed0_r1,9y0a_ab_sample_2.cif,0.2057
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed0_r2/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_0.cif,9y0a_AB,seed0_r2,9y0a_ab_sample_0.cif,0.36471
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed0_r0/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_4.cif,9y0a_AB,seed0_r0,9y0a_ab_sample_4.cif,0.45531
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed0_r2/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_4.cif,9y0a_AB,seed0_r2,9y0a_ab_sample_4.cif,0.19405
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed0_r0/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_0.cif,9y0a_AB,seed0_r0,9y0a_ab_sample_0.cif,0.26371
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed0_r3/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_2.cif,9y0a_AB,seed0_r3,9y0a_ab_sample_2.cif,0.26955
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed0_r0/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_1.cif,9y0a_AB,seed0_r0,9y0a_ab_sample_1.cif,0.26696
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed0_r3/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_0.cif,9y0a_AB,seed0_r3,9y0a_ab_sample_0.cif,0.30155
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed0_r3/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_3.cif,9y0a_AB,seed0_r3,9y0a_ab_sample_3.cif,0.29893
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed0_r3/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_4.cif,9y0a_AB,seed0_r3,9y0a_ab_sample_4.cif,0.22662
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed0_r0/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_3.cif,9y0a_AB,seed0_r0,9y0a_ab_sample_3.cif,0.22072
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed0_r3/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_1.cif,9y0a_AB,seed0_r3,9y0a_ab_sample_1.cif,0.29838
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed0_r2/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_3.cif,9y0a_AB,seed0_r2,9y0a_ab_sample_3.cif,0.43714
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed0_r1/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_0.cif,9y0a_AB,seed0_r1,9y0a_ab_sample_0.cif,0.18922
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed1_r1/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_4.cif,9y0a_AB,seed1_r1,9y0a_ab_sample_4.cif,0.26457
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed1_r3/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_2.cif,9y0a_AB,seed1_r3,9y0a_ab_sample_2.cif,0.42358
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed1_r3/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_4.cif,9y0a_AB,seed1_r3,9y0a_ab_sample_4.cif,0.15929
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed1_r3/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_0.cif,9y0a_AB,seed1_r3,9y0a_ab_sample_0.cif,0.2315
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed1_r0/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_2.cif,9y0a_AB,seed1_r0,9y0a_ab_sample_2.cif,0.37352
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed1_r3/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_3.cif,9y0a_AB,seed1_r3,9y0a_ab_sample_3.cif,0.27229
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed1_r1/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_2.cif,9y0a_AB,seed1_r1,9y0a_ab_sample_2.cif,0.28371
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed1_r2/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_4.cif,9y0a_AB,seed1_r2,9y0a_ab_sample_4.cif,0.16803
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed1_r0/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_1.cif,9y0a_AB,seed1_r0,9y0a_ab_sample_1.cif,0.39903
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed1_r3/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_1.cif,9y0a_AB,seed1_r3,9y0a_ab_sample_1.cif,0.46011
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed1_r2/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_3.cif,9y0a_AB,seed1_r2,9y0a_ab_sample_3.cif,0.23458
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9y0a_AB/d289/seed1_r2/results/9y0a_ab/seed_0/predictions/9y0a_ab_sample_2.cif,9y0a_AB,seed1_r2,9y0a_ab_sample_2.cif,0.20867
