target,epitope_class,experiment,model,condition,epitope_recall,rbm_frac,n_poses,dockq
8P5M,RBM_edge,cofolder,Boltz-2,server,0.667,1.000,5,
8SDF,cryptic,cofolder,Boltz-2,server,0.000,1.000,5,
8SIQ,core,cofolder,Boltz-2,server,0.000,1.000,5,
8SIS,core_other,cofolder,Boltz-2,server,0.000,1.000,5,
8SIT,core,cofolder,Boltz-2,server,1.000,0.000,5,
8XSI,cryptic,cofolder,Boltz-2,server,0.000,1.000,5,
9ML8,cryptic,cofolder,Boltz-2,server,0.000,1.000,5,
9ML9,core,cofolder,Boltz-2,server,0.875,0.000,5,
9SBB,other,cofolder,Boltz-2,server,0.000,0.286,5,
9ZDU,core,cofolder,Boltz-2,server,0.824,0.000,5,
8P5M,RBM_edge,cofolder,Chai-1,server,0.417,1.000,5,
8SDF,cryptic,cofolder,Chai-1,server,0.000,0.214,5,
8SIQ,core,cofolder,Chai-1,server,0.083,0.889,5,
8SIS,core_other,cofolder,Chai-1,server,0.000,1.000,5,
8SIT,core,cofolder,Chai-1,server,0.947,0.000,5,
8XSI,cryptic,cofolder,Chai-1,server,0.000,1.000,5,
9ML8,cryptic,cofolder,Chai-1,server,0.000,1.000,5,
9ML9,core,cofolder,Chai-1,server,0.000,0.786,5,
9SBB,other,cofolder,Chai-1,server,0.455,0.875,5,
9ZDU,core,cofolder,Chai-1,server,0.882,0.000,5,
8P5M,RBM_edge,cofolder,Protenix-base,server,0.667,1.000,5,
8SDF,cryptic,cofolder,Protenix-base,server,0.000,1.000,5,
8SIQ,core,cofolder,Protenix-base,server,0.875,0.000,5,
8SIS,core_other,cofolder,Protenix-base,server,0.000,1.000,5,
8SIT,core,cofolder,Protenix-base,server,1.000,0.000,5,
8XSI,cryptic,cofolder,Protenix-base,server,0.000,1.000,5,
9ML8,cryptic,cofolder,Protenix-base,server,0.000,0.867,5,
9ML9,core,cofolder,Protenix-base,server,0.938,0.000,5,
9SBB,other,cofolder,Protenix-base,server,0.182,1.000,5,
9ZDU,core,cofolder,Protenix-base,server,1.000,0.000,5,
8P5M,RBM_edge,cofolder,AF2-Multimer,server,0.583,1.000,5,
8SDF,cryptic,cofolder,AF2-Multimer,server,0.000,1.000,5,
8SIQ,core,cofolder,AF2-Multimer,server,0.000,1.000,5,
8SIS,core_other,cofolder,AF2-Multimer,server,0.000,1.000,5,
8SIT,core,cofolder,AF2-Multimer,server,0.000,1.000,5,
8XSI,cryptic,cofolder,AF2-Multimer,server,0.000,1.000,5,
9ML8,cryptic,cofolder,AF2-Multimer,server,0.000,0.962,5,
9ML9,core,cofolder,AF2-Multimer,server,0.000,1.000,5,
9SBB,other,cofolder,AF2-Multimer,server,0.000,1.000,5,
9ZDU,core,cofolder,AF2-Multimer,server,0.000,0.941,5,
8P5M,RBM_edge,cofolder,tFold-Ag,server,0.583,1.000,5,
8SDF,cryptic,cofolder,tFold-Ag,server,0.000,0.711,5,
8SIQ,core,cofolder,tFold-Ag,server,0.000,0.636,5,
8SIS,core_other,cofolder,tFold-Ag,server,0.130,0.600,5,
8SIT,core,cofolder,tFold-Ag,server,0.000,0.636,5,
8XSI,cryptic,cofolder,tFold-Ag,server,0.000,0.818,5,
9ML8,cryptic,cofolder,tFold-Ag,server,0.000,0.941,5,
9ML9,core,cofolder,tFold-Ag,server,0.000,0.526,5,
9SBB,other,cofolder,tFold-Ag,server,0.000,0.844,5,
9ZDU,core,cofolder,tFold-Ag,server,0.059,0.825,5,
8P5M,RBM_edge,msa_depth,Boltz-2,d143,0.917,1.000,5,
8SDF,cryptic,msa_depth,Boltz-2,d143,0.000,1.000,5,
8SIQ,core,msa_depth,Boltz-2,d143,0.042,0.875,5,
8SIS,core_other,msa_depth,Boltz-2,d143,0.043,0.938,5,
8SIT,core,msa_depth,Boltz-2,d143,0.000,1.000,5,
8XSI,cryptic,msa_depth,Boltz-2,d143,0.000,1.000,5,
9ML8,cryptic,msa_depth,Boltz-2,d143,0.000,1.000,5,
9ML9,core,msa_depth,Boltz-2,d143,0.000,0.200,5,
9SBB,other,msa_depth,Boltz-2,d143,0.000,0.000,5,
9ZDU,core,msa_depth,Boltz-2,d143,1.000,0.000,5,
8P5M,RBM_edge,msa_depth,Boltz-2,d8,0.583,1.000,5,
8SDF,cryptic,msa_depth,Boltz-2,d8,0.000,1.000,5,
8SIQ,core,msa_depth,Boltz-2,d8,0.500,0.000,5,
8SIS,core_other,msa_depth,Boltz-2,d8,0.000,1.000,5,
8SIT,core,msa_depth,Boltz-2,d8,1.000,0.000,5,
8XSI,cryptic,msa_depth,Boltz-2,d8,0.000,1.000,5,
9ML8,cryptic,msa_depth,Boltz-2,d8,0.000,1.000,5,
9ML9,core,msa_depth,Boltz-2,d8,0.875,0.000,5,
9SBB,other,msa_depth,Boltz-2,d8,0.000,0.000,5,
9ZDU,core,msa_depth,Boltz-2,d8,1.000,0.000,5,
8P5M,RBM_edge,msa_depth,Boltz-2,d1,0.333,1.000,5,
8SDF,cryptic,msa_depth,Boltz-2,d1,0.000,1.000,5,
8SIQ,core,msa_depth,Boltz-2,d1,0.500,0.118,5,
8SIS,core_other,msa_depth,Boltz-2,d1,0.000,1.000,5,
8SIT,core,msa_depth,Boltz-2,d1,1.000,0.000,5,
8XSI,cryptic,msa_depth,Boltz-2,d1,0.000,1.000,5,
9ML8,cryptic,msa_depth,Boltz-2,d1,0.412,0.550,5,
9ML9,core,msa_depth,Boltz-2,d1,0.875,0.000,5,
9SBB,other,msa_depth,Boltz-2,d1,0.000,1.000,5,
9ZDU,core,msa_depth,Boltz-2,d1,1.000,0.000,5,
8P5M,RBM_edge,msa_depth,Protenix-base,d143,0.167,0.857,5,
8SDF,cryptic,msa_depth,Protenix-base,d143,0.133,0.938,5,
8SIQ,core,msa_depth,Protenix-base,d143,0.083,0.917,5,
8SIS,core_other,msa_depth,Protenix-base,d143,0.696,0.429,5,
8SIT,core,msa_depth,Protenix-base,d143,0.000,1.000,5,
8XSI,cryptic,msa_depth,Protenix-base,d143,0.000,0.920,5,
9ML8,cryptic,msa_depth,Protenix-base,d143,0.000,1.000,5,
9ML9,core,msa_depth,Protenix-base,d143,0.688,0.389,5,
9SBB,other,msa_depth,Protenix-base,d143,0.000,0.857,5,
9ZDU,core,msa_depth,Protenix-base,d143,0.882,0.357,5,
8P5M,RBM_edge,msa_depth,Protenix-base,d8,0.000,0.000,5,
8SDF,cryptic,msa_depth,Protenix-base,d8,0.000,0.200,5,
8SIQ,core,msa_depth,Protenix-base,d8,0.042,0.795,5,
8SIS,core_other,msa_depth,Protenix-base,d8,0.000,1.000,5,
8SIT,core,msa_depth,Protenix-base,d8,0.316,0.556,5,
8XSI,cryptic,msa_depth,Protenix-base,d8,0.000,1.000,5,
9ML8,cryptic,msa_depth,Protenix-base,d8,0.000,0.323,5,
9ML9,core,msa_depth,Protenix-base,d8,0.688,0.000,5,
9SBB,other,msa_depth,Protenix-base,d8,0.000,0.533,5,
9ZDU,core,msa_depth,Protenix-base,d8,0.941,0.000,5,
8P5M,RBM_edge,msa_depth,Protenix-base,d1,0.167,0.500,5,
8SDF,cryptic,msa_depth,Protenix-base,d1,0.200,0.846,5,
8SIQ,core,msa_depth,Protenix-base,d1,0.042,0.545,5,
8SIS,core_other,msa_depth,Protenix-base,d1,0.000,0.867,5,
8SIT,core,msa_depth,Protenix-base,d1,0.105,0.792,5,
8XSI,cryptic,msa_depth,Protenix-base,d1,0.455,0.909,5,
9ML8,cryptic,msa_depth,Protenix-base,d1,0.294,0.000,5,
9ML9,core,msa_depth,Protenix-base,d1,0.125,0.385,5,
9SBB,other,msa_depth,Protenix-base,d1,0.364,0.519,5,
9ZDU,core,msa_depth,Protenix-base,d1,0.000,0.111,5,
8P5M,RBM_edge,msa_depth,Chai-1,d1,0.333,1.000,5,
8SDF,cryptic,msa_depth,Chai-1,d1,0.000,0.286,5,
8SIQ,core,msa_depth,Chai-1,d1,0.042,0.692,5,
8SIS,core_other,msa_depth,Chai-1,d1,0.087,0.929,5,
8SIT,core,msa_depth,Chai-1,d1,0.053,0.812,5,
8XSI,cryptic,msa_depth,Chai-1,d1,0.091,0.667,5,
9ML8,cryptic,msa_depth,Chai-1,d1,0.118,0.789,5,
9ML9,core,msa_depth,Chai-1,d1,0.000,0.571,5,
9SBB,other,msa_depth,Chai-1,d1,0.000,0.000,5,
9ZDU,core,msa_depth,Chai-1,d1,0.000,0.500,5,
8P5M,RBM_edge,msa_depth,AF2-Multimer,d1,0.333,0.425,5,
8SDF,cryptic,msa_depth,AF2-Multimer,d1,0.000,0.371,5,
8SIQ,core,msa_depth,AF2-Multimer,d1,0.167,0.400,5,
8SIS,core_other,msa_depth,AF2-Multimer,d1,0.043,0.225,5,
8SIT,core,msa_depth,AF2-Multimer,d1,0.053,0.650,5,
8XSI,cryptic,msa_depth,AF2-Multimer,d1,0.000,0.400,5,
9ML8,cryptic,msa_depth,AF2-Multimer,d1,0.118,0.093,5,
9ML9,core,msa_depth,AF2-Multimer,d1,0.188,0.286,5,
9SBB,other,msa_depth,AF2-Multimer,d1,0.000,0.176,5,
9ZDU,core,msa_depth,AF2-Multimer,d1,0.176,0.415,5,
8P5M,RBM_edge,msa_depth,tFold,d8,0.333,1.000,5,
8SDF,cryptic,msa_depth,tFold,d8,0.333,0.663,5,
8SIQ,core,msa_depth,tFold,d8,0.042,0.738,5,
8SIS,core_other,msa_depth,tFold,d8,0.130,0.634,5,
8SIT,core,msa_depth,tFold,d8,0.000,0.932,5,
8XSI,cryptic,msa_depth,tFold,d8,0.000,0.900,5,
9ML8,cryptic,msa_depth,tFold,d8,0.118,0.979,5,
9ML9,core,msa_depth,tFold,d8,0.000,0.681,5,
9SBB,other,msa_depth,tFold,d8,0.000,0.891,5,
9ZDU,core,msa_depth,tFold,d8,0.000,0.803,5,
8P5M,RBM_edge,msa_depth,tFold,d1,0.083,1.000,5,
8SDF,cryptic,msa_depth,tFold,d1,0.000,,5,
8SIQ,core,msa_depth,tFold,d1,0.000,,5,
8SIS,core_other,msa_depth,tFold,d1,0.043,0.000,5,
8SIT,core,msa_depth,tFold,d1,0.000,,5,
8XSI,cryptic,msa_depth,tFold,d1,0.000,0.468,5,
