path,target,run,pose,score
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9ml9_HL/d8769/seed0_r1/results/9ml9_hl/seed_0/predictions/9ml9_hl_sample_1.cif,9ml9_HL,seed0_r1,9ml9_hl_sample_1.cif,0.04854
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9ml9_HL/d8769/seed0_r1/results/9ml9_hl/seed_0/predictions/9ml9_hl_sample_4.cif,9ml9_HL,seed0_r1,9ml9_hl_sample_4.cif,0.1442
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9ml9_HL/d8769/seed0_r2/results/9ml9_hl/seed_0/predictions/9ml9_hl_sample_2.cif,9ml9_HL,seed0_r2,9ml9_hl_sample_2.cif,0.05246
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9ml9_HL/d8769/seed0_r2/results/9ml9_hl/seed_0/predictions/9ml9_hl_sample_1.cif,9ml9_HL,seed0_r2,9ml9_hl_sample_1.cif,0.03298
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9ml9_HL/d8769/seed0_r0/results/9ml9_hl/seed_0/predictions/9ml9_hl_sample_2.cif,9ml9_HL,seed0_r0,9ml9_hl_sample_2.cif,0.0747
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9ml9_HL/d8769/seed0_r1/results/9ml9_hl/seed_0/predictions/9ml9_hl_sample_3.cif,9ml9_HL,seed0_r1,9ml9_hl_sample_3.cif,0.02461
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9ml9_HL/d8769/seed0_r1/results/9ml9_hl/seed_0/predictions/9ml9_hl_sample_2.cif,9ml9_HL,seed0_r1,9ml9_hl_sample_2.cif,0.1302
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9ml9_HL/d8769/seed0_r2/results/9ml9_hl/seed_0/predictions/9ml9_hl_sample_0.cif,9ml9_HL,seed0_r2,9ml9_hl_sample_0.cif,0.07458
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9ml9_HL/d8769/seed0_r0/results/9ml9_hl/seed_0/predictions/9ml9_hl_sample_4.cif,9ml9_HL,seed0_r0,9ml9_hl_sample_4.cif,0.03949
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9ml9_HL/d8769/seed0_r2/results/9ml9_hl/seed_0/predictions/9ml9_hl_sample_4.cif,9ml9_HL,seed0_r2,9ml9_hl_sample_4.cif,0.03195
