path,target,run,pose,score
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8tp5_HL/d307/seed0_r1/results/8tp5_hl/seed_0/predictions/8tp5_hl_sample_1.cif,8tp5_HL,seed0_r1,8tp5_hl_sample_1.cif,0.24439
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8tp5_HL/d307/seed0_r1/results/8tp5_hl/seed_0/predictions/8tp5_hl_sample_4.cif,8tp5_HL,seed0_r1,8tp5_hl_sample_4.cif,0.12717
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8tp5_HL/d307/seed0_r2/results/8tp5_hl/seed_0/predictions/8tp5_hl_sample_2.cif,8tp5_HL,seed0_r2,8tp5_hl_sample_2.cif,0.18351
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8tp5_HL/d307/seed0_r2/results/8tp5_hl/seed_0/predictions/8tp5_hl_sample_1.cif,8tp5_HL,seed0_r2,8tp5_hl_sample_1.cif,0.12527
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8tp5_HL/d307/seed0_r0/results/8tp5_hl/seed_0/predictions/8tp5_hl_sample_2.cif,8tp5_HL,seed0_r0,8tp5_hl_sample_2.cif,0.1791
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8tp5_HL/d307/seed0_r1/results/8tp5_hl/seed_0/predictions/8tp5_hl_sample_3.cif,8tp5_HL,seed0_r1,8tp5_hl_sample_3.cif,0.16691
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8tp5_HL/d307/seed0_r1/results/8tp5_hl/seed_0/predictions/8tp5_hl_sample_2.cif,8tp5_HL,seed0_r1,8tp5_hl_sample_2.cif,0.03476
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8tp5_HL/d307/seed0_r2/results/8tp5_hl/seed_0/predictions/8tp5_hl_sample_0.cif,8tp5_HL,seed0_r2,8tp5_hl_sample_0.cif,0.15959
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8tp5_HL/d307/seed0_r0/results/8tp5_hl/seed_0/predictions/8tp5_hl_sample_4.cif,8tp5_HL,seed0_r0,8tp5_hl_sample_4.cif,0.17787
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8tp5_HL/d307/seed0_r2/results/8tp5_hl/seed_0/predictions/8tp5_hl_sample_4.cif,8tp5_HL,seed0_r2,8tp5_hl_sample_4.cif,0.3101
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8tp5_HL/d307/seed0_r0/results/8tp5_hl/seed_0/predictions/8tp5_hl_sample_0.cif,8tp5_HL,seed0_r0,8tp5_hl_sample_0.cif,0.11674
